age_td,policy,campaigns,CAGR_Median,CAGR_Min,MDD_Median,MDD_Worst,WinRate,DiffCAGR_Median,DiffCAGR_Min
1009,I25_N3_K2,2,0.038140220310911244,-0.012401965083109312,-0.1948532569317996,-0.21502279148807657,0.5,0.01423362904261416,-0.05459934448286208
1009,I25_W9_K3,2,0.03573211787987535,-0.01188340832341861,-0.1948532569317996,-0.21502279148807657,0.5,0.011825526611578263,-0.054080787723171375
1009,I25_W9_K5,2,0.038140220310911244,-0.012401965083109312,-0.1948532569317996,-0.21502279148807657,0.5,0.01423362904261416,-0.05459934448286208
1009,I25_W9_K7,2,0.02689497808602792,-0.020224666293210847,-0.20159862698155873,-0.21502279148807657,0.5,0.002988386817730837,-0.06242204569296361
1009,I50_N3_K2,2,0.041122998808741706,-0.06750842961421077,-0.30797737350829285,-0.31657953910795433,0.5,0.017216407540444623,-0.10970580901396354
1009,I50_W9_K3,2,0.03748646010563478,-0.06646141519562943,-0.30797737350829285,-0.31657953910795433,0.5,0.013579868837337694,-0.10865879459538219
1009,I50_W9_K5,2,0.041122998808741706,-0.06750842961421077,-0.30797737350829285,-0.31657953910795433,0.5,0.017216407540444623,-0.10970580901396354
1009,I50_W9_K7,2,0.02166691387493075,-0.0833159415990804,-0.32025389556955874,-0.3411325832304861,0.5,-0.002239677393366335,-0.12551332099883317
1009,L25_50_PB5_N3_K2,2,0.05617495461966354,-0.03477656076346414,-0.3184946749299126,-0.33911969720114166,0.5,0.03226836335136646,-0.0769739401632169
1009,L25_50_PB5_W9_K3,2,0.052648489493123396,-0.03357910097014494,-0.3184946749299126,-0.33911969720114166,0.5,0.028741898224826312,-0.0757764803698977
1009,L25_50_PB5_W9_K5,2,0.05617495461966354,-0.03477656076346414,-0.3184946749299126,-0.33911969720114166,0.5,0.03226836335136646,-0.0769739401632169
1009,L25_50_PB5_W9_K7,2,0.03568070479091745,-0.05285833898559744,-0.33164982078466154,-0.3654299889106395,0.5,0.011774113522620366,-0.09505571838535021
1009,WAIT_NEXT,2,0.023906591268297084,0.005615803136841402,0.0,0.0,0.0,0.0,0.0
