campaign_full_date,age_td,policy,family,votes_required,CAGR,MDD,Return,WinWait,DiffCAGR
2002-12-12,1009,I50_N3_K2,N3,2,-0.06750842961421077,-0.31657953910795433,-0.07828767450488527,False,-0.10970580901396354
2002-12-12,1009,L25_50_PB5_N3_K2,N3,2,-0.03477656076346414,-0.33911969720114166,-0.04044310834507725,False,-0.0769739401632169
2002-12-12,1009,I25_W9_K3,W9,3,-0.01188340832341861,-0.17468372237552265,-0.013846449302620911,False,-0.054080787723171375
2002-12-12,1009,I25_W9_K5,W9,5,-0.012401965083109312,-0.17468372237552265,-0.014450039229727762,False,-0.05459934448286208
2002-12-12,1009,I25_W9_K7,W9,7,-0.020224666293210847,-0.18817446247504088,-0.023549101039746834,False,-0.06242204569296361
2002-12-12,1009,I50_W9_K3,W9,3,-0.06646141519562943,-0.31657953910795433,-0.0770804946506719,False,-0.10865879459538219
2002-12-12,1009,I50_W9_K5,W9,5,-0.06750842961421077,-0.31657953910795433,-0.07828767450488527,False,-0.10970580901396354
2002-12-12,1009,I50_W9_K7,W9,7,-0.0833159415990804,-0.3411325832304861,-0.09648579812492342,False,-0.12551332099883317
2002-12-12,1009,L25_50_PB5_W9_K3,W9,3,-0.03357910097014494,-0.33911969720114166,-0.039054509188121145,False,-0.0757764803698977
2002-12-12,1009,L25_50_PB5_W9_K5,W9,5,-0.03477656076346414,-0.33911969720114166,-0.04044310834507725,False,-0.0769739401632169
2002-12-12,1009,L25_50_PB5_W9_K7,W9,7,-0.05285833898559744,-0.3654299889106395,-0.061376111019671775,False,-0.09505571838535021
2002-12-12,1009,WAIT_NEXT,NONE,0,0.042197379399752766,0.0,0.049387596045428195,False,0.0
2009-04-22,505,I25_N3_K2,N3,2,-0.003960693615126631,-0.10339535035938474,-0.029975921654269655,False,-0.008247061365707964
2009-04-22,505,I50_N3_K2,N3,2,-0.01268995546164664,-0.20469098381692152,-0.09329711916685846,False,-0.016976323212227973
2009-04-22,505,L25_50_PB5_N3_K2,N3,2,-0.008581683452966393,-0.21963081307998122,-0.06395890053083242,False,-0.012868051203547726
2009-04-22,505,I25_W9_K3,W9,3,-0.005672514186001676,-0.10339535035938474,-0.042687756487692075,False,-0.009958881936583008
2009-04-22,505,I25_W9_K5,W9,5,-0.005672514186001676,-0.10339535035938474,-0.042687756487692075,False,-0.009958881936583008
2009-04-22,505,I25_W9_K7,W9,7,-0.0046337368354907316,-0.10339535035938474,-0.03499128512018146,False,-0.008920104586072064
2009-04-22,505,I50_W9_K3,W9,3,-0.01634464965930682,-0.20469098381692152,-0.1187207888336933,False,-0.020631017409888153
