strategy,trend_ma,slope_lb,yellow_buy_cap,red_dd,red_target,rec_fast_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount
V4_M100_S5_YBC50_RD22_RT0_RF60,100,5,0.5,-0.22,0.0,60,0.12397447691515051,-0.47813417741991293,0.2592880466820762,24.12337848528399,1696,-0.3840153937073323,-0.47813417741991293,-0.04082917084662585,-0.24822937578559734,-0.35866326452151276,-0.46735853173936637,-0.1506654524033515,-0.2538928605862506,7.966016075658716,-0.46735853173936637,0.143949590851858,-0.46735853173936637,0.5917980151780502,0.20780237894815964,181
V4_M100_S5_YBC50_RD22_RT15_RF40,100,5,0.5,-0.22,0.15,40,0.11264437978986352,-0.6470162174540197,0.17409823239533964,18.306053405724775,3695,-0.5798661446935216,-0.6470162174540197,-0.09323892888516228,-0.34040849017308616,-0.2338933729987963,-0.4673585317393665,-0.20140973747064606,-0.31956913147950106,9.552160336558217,-0.4673585317393665,0.15543174352217548,-0.4673585317393665,0.7161412726211325,0.22061092186035985,261
V4_M100_S5_YBC50_RD22_RT15_RF60,100,5,0.5,-0.22,0.15,60,0.11646980116457262,-0.6381091527705016,0.18252332012304082,20.099895652601738,2716,-0.5728419424098157,-0.6381091527705016,-0.06934816816100264,-0.3050886401596419,-0.23389337299879642,-0.4673585317393665,-0.19698785884105197,-0.3158015138943614,9.292612670321006,-0.4673585317393665,0.15366879809331824,-0.4673585317393665,0.7162872154115587,0.225825339147713,215
V4_M100_S5_YBC50_RD22_RT25_RF40,100,5,0.5,-0.22,0.25,40,0.09317869615205754,-0.7832907431941758,0.11895799479524652,11.319297222091102,4511,-0.7304731233617656,-0.7832907431941758,-0.15747981358001084,-0.41304525322423236,-0.18552345162680928,-0.4673585317393667,-0.2256692561324528,-0.3727762524213385,9.621524564705794,-0.4673585317393667,0.15589599778326368,-0.4673585317393667,0.7288382953882078,0.23762543653148127,268
V4_M100_S5_YBC50_RD22_RT25_RF60,100,5,0.5,-0.22,0.25,60,0.09192322293324517,-0.7245884565768931,0.12686266541908442,10.97050955063243,4465,-0.6749178354653296,-0.7245884565768931,-0.15220517881002127,-0.4023694192295335,-0.18552345162680894,-0.46735853173936637,-0.2072610381391795,-0.35786521916142167,9.01331160924996,-0.46735853173936637,0.15172444187812162,-0.46735853173936637,0.7389083479276124,0.2741308299230942,201
V4_M100_S5_YBC50_RD25_RT0_RF40,100,5,0.5,-0.25,0.0,40,0.10203830227633937,-0.6638137174069039,0.15371526619687498,14.102578131700906,2991,-0.6031823392835352,-0.6638137174069039,-0.08467438647500924,-0.3523374439038688,-0.35866326452151276,-0.4673585317393665,-0.3000646391789885,-0.3678183153023977,7.526270571267908,-0.4673585317393665,0.14042776767478382,-0.4673585317393665,0.6052247518972563,0.22403049257376523,207
V4_M100_S5_YBC50_RD25_RT0_RF60,100,5,0.5,-0.25,0.0,60,0.11382010051358327,-0.5733927913190424,0.1985028452341537,18.840284263162975,2115,-0.49645395020934513,-0.5733927913190424,-0.05959769118826197,-0.3345937728780882,-0.35866326452151254,-0.4673585317393665,-0.28276644525245376,-0.35219458489695665,7.7369887176391785,-0.4673585317393665,0.14213611936291404,-0.4673585317393665,0.5971978984238179,0.22037533015102087,165
V4_M100_S5_YBC50_RD25_RT15_RF40,100,5,0.5,-0.25,0.15,40,0.10081367827544674,-0.7214746644775148,0.1397328045447792,13.681908506947243,4020,-0.6684892371837248,-0.7214746644775148,-0.15304724006601533,-0.42587168352804294,-0.20871286548148615,-0.4673585317393665,-0.2904761280307766,-0.38583450779822837,9.70082013440048,-0.4673585317393665,0.1564232488402344,-0.4673585317393665,0.7173088149445418,0.23577650485737076,240
V4_M100_S5_YBC50_RD25_RT15_RF60,100,5,0.5,-0.25,0.15,60,0.1089592767985228,-0.7108546012617588,0.15327927343386583,16.724480116452305,3828,-0.6587070719480222,-0.7108546012617588,-0.10965413264056278,-0.39645656985085964,-0.20871286548148726,-0.4673585317393666,-0.2571105272921459,-0.3569531672122158,10.204029830769644,-0.4673585317393666,0.15968610262606409,-0.4673585317393666,0.7168709865732633,0.23903848708163478,186
V4_M100_S5_YBC50_RD25_RT25_RF40,100,5,0.5,-0.25,0.25,40,0.09155935830241835,-0.8215990576226906,0.11144043734342485,10.871373484974981,5330,-0.7781181593393679,-0.8215990576226906,-0.21326710370447532,-0.48886574499520785,-0.10874593278813605,-0.46735853173936637,-0.2613175124398699,-0.3978417845760446,12.091762303126476,-0.46735853173936637,0.17081070607602555,-0.46735853173936637,0.7260653823701109,0.2525895257700507,248
V4_M100_S5_YBC50_RD25_RT25_RF60,100,5,0.5,-0.25,0.25,60,0.09523573345319902,-0.7709399671397685,0.12353197072727862,11.913976399187815,5200,-0.7296288660777339,-0.7709399671397685,-0.20095955116463093,-0.48086962365846553,-0.10874593278813649,-0.4673585317393665,-0.24260489389892148,-0.38258765688750995,12.433449896643424,-0.4673585317393665,0.17266171208815972,-0.4673585317393665,0.7399299474605955,0.28697974138303695,174
V4_M100_S5_YBC65_RD12_RT0_RF40,100,5,0.65,-0.12,0.0,40,0.09851566013329527,-0.5644880999703301,0.1745221203750324,12.92491251941726,4329,-0.48594329295366234,-0.5644880999703301,-0.057369880260514594,-0.2611935100806362,-0.3586632645215124,-0.46735853173936637,0.00878589593953838,-0.09501544963754271,6.924971300952947,-0.46735853173936637,0.1353254951671674,-0.46735853173936637,0.545826036193812,0.1882877359780677,278
V4_M100_S5_YBC65_RD12_RT0_RF60,100,5,0.65,-0.12,0.0,60,0.0987291488494133,-0.46735853173936637,0.21124927040910846,12.99350213508236,2582,-0.32889778690879556,-0.4662421370762363,-0.06918798563108641,-0.27045620258694214,-0.3586632645215131,-0.46735853173936637,-0.07495452548137949,-0.17013920774301283,5.1615596580460315,-0.46735853173936637,0.11793983243098705,-0.46735853173936637,0.5043782837127846,0.16602883424096343,214
V4_M100_S5_YBC65_RD12_RT15_RF40,100,5,0.65,-0.12,0.15,40,0.09927022928219742,-0.6047666820078526,0.1641463265678192,13.168914454462781,4041,-0.5295792445875835,-0.6047666820078526,-0.07114438407453327,-0.302548189766356,-0.2619666919825807,-0.46735853173936637,-0.10634435607084769,-0.22241127025111007,6.959865513156155,-0.46735853173936637,0.135631363085023,-0.46735853173936637,0.7267950963222417,0.20426215993904112,336
