start_year,date,reason,target_weight,price
2000,2001-12-24,REVERSAL_ENTRY,0.35,1.257756
2000,2002-02-05,BULL_EXIT,0.0,0.95029
2000,2002-11-15,REVERSAL_ENTRY,0.35,0.226152
2000,2002-12-12,BULL_FULL,1.0,0.204519
2000,2008-02-13,BULL_EXIT,0.0,0.446508
2000,2009-04-01,REVERSAL_ENTRY,0.35,0.080306
2000,2009-04-22,BULL_FULL,1.0,0.095538
2000,2018-12-21,BULL_EXIT,0.0,3.910327911376953
2001,2001-12-24,REVERSAL_ENTRY,0.35,1.257756
2001,2002-02-05,BULL_EXIT,0.0,0.95029
2001,2002-11-15,REVERSAL_ENTRY,0.35,0.226152
2001,2002-12-12,BULL_FULL,1.0,0.204519
2001,2008-02-13,BULL_EXIT,0.0,0.446508
2001,2009-04-01,REVERSAL_ENTRY,0.35,0.080306
2001,2009-04-22,BULL_FULL,1.0,0.095538
2001,2018-12-21,BULL_EXIT,0.0,3.910327911376953
2001,2020-05-11,REVERSAL_ENTRY,0.35,9.15132999420166
2001,2020-05-12,BULL_FULL,1.0,8.606905937194824
2002,2002-11-15,REVERSAL_ENTRY,0.35,0.226152
2002,2002-12-12,BULL_FULL,1.0,0.204519
2002,2008-02-13,BULL_EXIT,0.0,0.446508
2002,2009-04-01,REVERSAL_ENTRY,0.35,0.080306
2002,2009-04-22,BULL_FULL,1.0,0.095538
2002,2018-12-21,BULL_EXIT,0.0,3.910327911376953
2002,2020-05-11,REVERSAL_ENTRY,0.35,9.15132999420166
2002,2020-05-12,BULL_FULL,1.0,8.606905937194824
2003,2003-04-23,REVERSAL_ENTRY,0.35,0.225024
2003,2003-04-24,BULL_FULL,1.0,0.221323
2003,2008-02-13,BULL_EXIT,0.0,0.446508
2003,2009-04-01,REVERSAL_ENTRY,0.35,0.080306
2003,2009-04-22,BULL_FULL,1.0,0.095538
2003,2018-12-21,BULL_EXIT,0.0,3.910327911376953
2003,2020-05-11,REVERSAL_ENTRY,0.35,9.15132999420166
2003,2020-05-12,BULL_FULL,1.0,8.606905937194824
2003,2022-03-08,BULL_EXIT,0.0,20.119792938232425
2004,2009-04-01,REVERSAL_ENTRY,0.35,0.080306
2004,2009-04-22,BULL_FULL,1.0,0.095538
2004,2018-12-21,BULL_EXIT,0.0,3.910327911376953
2004,2020-05-11,REVERSAL_ENTRY,0.35,9.15132999420166
2004,2020-05-12,BULL_FULL,1.0,8.606905937194824
2004,2022-03-08,BULL_EXIT,0.0,20.119792938232425
2004,2023-02-03,REVERSAL_ENTRY,0.35,12.25070095062256
2004,2023-02-28,BULL_FULL,1.0,10.623353004455566
2005,2009-04-01,REVERSAL_ENTRY,0.35,0.080306
2005,2009-04-22,BULL_FULL,1.0,0.095538
2005,2018-12-21,BULL_EXIT,0.0,3.910327911376953
2005,2020-05-11,REVERSAL_ENTRY,0.35,9.15132999420166
2005,2020-05-12,BULL_FULL,1.0,8.606905937194824
2005,2022-03-08,BULL_EXIT,0.0,20.119792938232425
2005,2023-02-03,REVERSAL_ENTRY,0.35,12.25070095062256
2005,2023-02-28,BULL_FULL,1.0,10.623353004455566
2006,2009-04-01,REVERSAL_ENTRY,0.35,0.080306
2006,2009-04-22,BULL_FULL,1.0,0.095538
2006,2018-12-21,BULL_EXIT,0.0,3.910327911376953
2006,2020-05-11,REVERSAL_ENTRY,0.35,9.15132999420166
2006,2020-05-12,BULL_FULL,1.0,8.606905937194824
2006,2022-03-08,BULL_EXIT,0.0,20.119792938232425
2006,2023-02-03,REVERSAL_ENTRY,0.35,12.25070095062256
2006,2023-02-28,BULL_FULL,1.0,10.623353004455566
