strategy,activate_mult,trail_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,score
V12_A4p0_T50,4.0,-0.5,0.24725393668815965,-0.5637273396039275,0.43860554441421845,410.67121856109287,750,-0.22223753493752263,-0.3825580141011322,-0.20100044756273983,-0.5217664391976711,1.1938242172670082,-0.14723087963306436,-0.32513122628410684,-0.5614916416879034,86.46967046144388,-0.5637273396039275,0.31541085350778464,-0.5637273396039275,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.9318729758387365,0.0909737578850864,2023-02-03,2023-02-28,0.0,1.0000000000000002,0,0.664888038315891
V12_A3p0_T50,3.0,-0.5,0.24725393668815965,-0.5637273396039275,0.43860554441421845,410.67121856109287,750,-0.22223753493752263,-0.3825580141011322,-0.20100044756273983,-0.5217664391976711,1.1938242172670082,-0.14723087963306436,-0.32513122628410684,-0.5614916416879034,86.46967046144388,-0.5637273396039275,0.31541085350778464,-0.5637273396039275,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.9318729758387365,0.0909737578850864,2023-02-03,2023-02-28,0.0,1.0000000000000002,0,0.664888038315891
V12_A3p0_T55,3.0,-0.55,0.2438683026535713,-0.5643134086518344,0.4321504662385777,381.36586758221273,750,-0.22223753493752263,-0.3825580141011322,-0.2580167692766966,-0.5643134086518344,1.1938242172670073,-0.14723087963306447,-0.3251312262841074,-0.5614916416879038,86.46967046144384,-0.5637273396039275,0.31541085350778464,-0.5637273396039275,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.9318729758387367,0.09097375788508642,2023-02-03,2023-02-28,0.0,1.0,0,0.6500661909331747
V12_A4p0_T55,4.0,-0.55,0.2438683026535713,-0.5643134086518344,0.4321504662385777,381.36586758221273,750,-0.22223753493752263,-0.3825580141011322,-0.2580167692766966,-0.5643134086518344,1.1938242172670073,-0.14723087963306447,-0.3251312262841074,-0.5614916416879038,86.46967046144384,-0.5637273396039275,0.31541085350778464,-0.5637273396039275,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.9318729758387367,0.09097375788508642,2023-02-03,2023-02-28,0.0,1.0,0,0.6500661909331747
V12_A5p0_T40,5.0,-0.4,0.19900797412073645,-0.5804007047324977,0.34288031096112764,140.23390462767597,3265,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670077,-0.14723087963306447,-0.3251312262841066,-0.5614916416879034,27.7976629008791,-0.5804007047324977,0.22879038831128473,-0.5804007047324977,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630214,0.6711748523590749,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.6236979311123513
V12_A4p0_T30,4.0,-0.3,0.18700710239267537,-0.4881698347900857,0.3830779557960375,106.62587112710365,3265,-0.22223753493752263,-0.3825580141011322,0.2900987239621129,-0.3161763396632925,1.1938242172670086,-0.14723087963306436,-0.09191707606389665,-0.40995647199094665,13.065313164679747,-0.4309192757855549,0.1759711554633827,-0.4309192757855549,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.7689008622863036,0.17268829866379026,2023-02-03,2023-02-28,0.0,1.0,0,0.40901100760632414
V12_A4p0_T35,4.0,-0.35,0.17927657939354535,-0.4881698347900857,0.36724223132433975,89.24307688722104,3265,-0.22223753493752263,-0.3825580141011322,0.06438426344157189,-0.36375119577023407,1.1938242172670086,-0.14723087963306447,-0.07878298117396754,-0.4014223530445531,13.26874740277855,-0.4309192757855549,0.17700699925021568,-0.4309192757855549,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.768900862286305,0.1726882986637904,2023-02-03,2023-02-28,0.0,1.0,0,0.38240854992112283
V12_A3p0_T30,3.0,-0.3,0.1667404713449041,-0.4881698347900857,0.3415624224643109,66.70491397584081,3724,-0.22223753493752263,-0.3825580141011322,0.2900987239621129,-0.3161763396632925,1.193824217267009,-0.14723087963306447,-0.09191707606389521,-0.40995647199094565,7.7992294438074,-0.40995647199094565,0.14263332565605302,-0.40995647199094565,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.5620865084504807,0.1524981231346775,2023-02-03,2023-02-28,0.0,1.0,0,0.29679586550183656
V12_A5p0_T30,5.0,-0.3,0.16546775355062082,-0.5804007047324977,0.2850922684990254,64.7511683812592,3265,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670077,-0.14723087963306447,-0.3251312262841066,-0.5614916416879034,12.296943591725094,-0.5804007047324977,0.1719275843986483,-0.5804007047324977,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.5222161338471594,0.24623042608135268,2023-02-03,2023-02-28,0.0,1.0000000000000002,0,0.279177853804488
V12_A5p0_T35,5.0,-0.35,0.1644685767792169,-0.5804007047324977,0.28337073928092354,63.256077555021776,3265,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670077,-0.14723087963306447,-0.3251312262841066,-0.5614916416879034,11.989919967627237,-0.5804007047324977,0.17025022445890392,-0.5804007047324977,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.440888905916172,0.2382908852479041,2023-02-03,2023-02-28,0.0,1.0000000000000002,0,0.27082393923522907
V12_A3p0_T35,3.0,-0.35,0.1582554859674683,-0.4881698347900857,0.3241812063941201,54.67896711912985,3724,-0.22223753493752263,-0.3825580141011322,0.06438426344157189,-0.36375119577023407,1.1938242172670095,-0.14723087963306436,-0.0787829811739662,-0.4014223530445524,7.742418989583458,-0.4014223530445524,0.14217963092968366,-0.4014223530445524,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.6255875479561657,0.1586973888535293,2023-02-03,2023-02-28,0.0,1.0,0,0.2684733269020956
V12_A4p0_T40,4.0,-0.4,0.1619414203427343,-0.5569996475923158,0.2907388201101052,59.621560859613275,3265,-0.22223753493752263,-0.3825580141011322,0.043346740080554724,-0.41319231145891766,1.1938242172670077,-0.14723087963306447,-0.09675493555050907,-0.41786163736418147,8.724884175008537,-0.5569996475923158,0.14966237265848448,-0.5569996475923158,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.9246969130390732,0.09027319738313906,2023-02-03,2023-02-28,0.0,1.0,0,0.20876403715674913
V12_A3p0_T40,3.0,-0.4,0.13862422308067845,-0.5569996475923158,0.2488766800479945,34.325469775866864,3752,-0.22223753493752263,-0.3825580141011322,0.043346740080554724,-0.41319231145891766,1.193824217267009,-0.14723087963306436,-0.09675493555051051,-0.41786163736418147,4.598833928703468,-0.5569996475923158,0.11139446024132105,-0.5569996475923158,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.924696913039072,0.09027319738313895,2023-02-03,2023-02-28,0.0,1.0,0,0.08906415922826909
