start_date,full_date,age_td,age_bucket,horizon_y,policy,CAGR,MDD,Final,late_entry_date,late_entry_qqq_drawdown
2017-05-01,2009-04-22,2020,1009_plus,3,PB15_50,-0.01545537473458769,-0.09868872443748888,0.9543356994391713,2018-12-17,-0.15543941592599309
2017-05-01,2009-04-22,2020,1009_plus,3,PB15_100,-0.049719627973789815,-0.19599048111471407,0.8581016810196116,2018-12-17,-0.15543941592599309
2017-05-01,2009-04-22,2020,1009_plus,3,WAIT_NEXT,0.016607042458332222,0.0,1.0506660000182317,,
2017-05-01,2009-04-22,2020,1009_plus,5,IMM25,0.19058415976016096,-0.524568880861692,2.3896900476400527,2017-05-02,0.0
2017-05-01,2009-04-22,2020,1009_plus,5,IMM50,0.18908857501380383,-0.524568880861692,2.374736419407304,2017-05-02,0.0
2017-05-01,2009-04-22,2020,1009_plus,5,IMM100,0.18607769420754572,-0.5637273396039272,2.344859055252113,2017-05-02,0.0
2017-05-01,2009-04-22,2020,1009_plus,5,PB5_50,0.15031444854772813,-0.524568880861692,2.012400749007812,2018-02-05,-0.07494272532786073
2017-05-01,2009-04-22,2020,1009_plus,5,PB5_100,0.10149706386411617,-0.5637273396039273,1.6205498690462363,2018-02-05,-0.07494272532786073
2017-05-01,2009-04-22,2020,1009_plus,5,PB10_50,0.15976859503668694,-0.524568880861692,2.096364444549159,2018-02-08,-0.10226372108070536
2017-05-01,2009-04-22,2020,1009_plus,5,PB10_100,0.12345027762625804,-0.5637273396039271,1.7883933383942592,2018-02-08,-0.10226372108070536
2017-05-01,2009-04-22,2020,1009_plus,5,PB15_50,0.16933717057463338,-0.524568880861692,2.184173947073787,2018-12-17,-0.15543941592599309
2017-05-01,2009-04-22,2020,1009_plus,5,PB15_100,0.14471157086091635,-0.524568880861692,1.9639245778238,2018-12-17,-0.15543941592599309
2017-05-01,2009-04-22,2020,1009_plus,5,WAIT_NEXT,0.19207227843766672,-0.5245688808616921,2.4046436758727996,,
2017-06-01,2009-04-22,2042,1009_plus,3,IMM25,0.04869050676779585,-0.23780883109869233,1.153340159024448,2017-06-02,0.0
2017-06-01,2009-04-22,2042,1009_plus,3,IMM50,0.036140638532268454,-0.38076941418980437,1.1124170230898367,2017-06-02,0.0
2017-06-01,2009-04-22,2042,1009_plus,3,IMM100,0.010112335903069702,-0.5637273396039275,1.0306525565897975,2017-06-02,0.0
2017-06-01,2009-04-22,2042,1009_plus,3,PB5_50,-0.00018121028553352847,-0.3499590032229092,0.9994563325128925,2018-02-05,-0.07494272532786073
2017-06-01,2009-04-22,2042,1009_plus,3,PB5_100,-0.06979557969475902,-0.5637273396039271,0.8048440796743694,2018-02-05,-0.07494272532786073
