horizon_y,age_bucket,policy,n_month_starts,n_distinct_campaigns,CAGR_Median,CAGR_P10,MDD_Median,MDD_Worst,Final_Median,WinRate_vs_Wait,CAGR_Diff_vs_Wait_Median,CAGR_Diff_vs_Wait_P10,EntryRate
3,757_1008,PB5_100,24,2,0.36789649702270755,0.004772611478338544,-0.5048412675972811,-0.5643134086518345,2.5731018852044594,0.5833333333333334,0.25187540790094265,-0.05273913539594486,1.0
3,757_1008,PB5_50,24,2,0.2552128008394158,0.022093112741403423,-0.35766807993160127,-0.39977690852664194,1.9780133881127624,0.5833333333333334,0.14481307357300566,-0.02582775311579657,1.0
3,757_1008,WAIT_NEXT,24,2,0.0167506660255321,0.00035670744302553905,0.0,-0.19099267454029012,1.0518162400789404,0.0,0.0,0.0,0.0
5,1009_plus,IMM100,82,2,0.26622772779783255,0.14411842529764446,-0.5637273396039271,-0.5643134086518345,3.254714344487896,0.5853658536585366,0.10991680779979796,-0.11644070343940541,1.0
5,1009_plus,IMM25,82,2,0.24448979717737296,0.06891261197434104,-0.3700231030824622,-0.5614916416879039,2.9856000577530497,0.5853658536585366,0.03166202496109549,-0.02523895601252788,1.0
5,1009_plus,IMM50,82,2,0.2561041732992576,0.10759345689172972,-0.4534041237589121,-0.5614916416879038,3.125461294334958,0.5853658536585366,0.06014620354771982,-0.052722705963574736,1.0
5,1009_plus,PB10_100,82,2,0.21467839295313218,0.12480816042328575,-0.561491641687903,-0.5637273396039282,2.644150076972572,0.4024390243902439,-0.0685975629584652,-0.09300047792615815,0.9878048780487805
5,1009_plus,PB10_50,82,2,0.20031964751073505,0.10028179748374604,-0.44889651886607607,-0.5614916416879039,2.4901273032896274,0.4024390243902439,-0.03229190216538658,-0.043490999614679574,0.9878048780487805
5,1009_plus,PB15_100,82,2,0.247156688077799,0.14610580906495282,-0.524568880861692,-0.563727339603928,3.0134934878363513,0.4146341463414634,-0.038205715903200654,-0.05180520808584963,0.975609756097561
5,1009_plus,PB15_50,82,2,0.22497226229708311,0.13994276370347575,-0.4676996596199869,-0.5614916416879041,2.755958750267998,0.4146341463414634,-0.018585651597049724,-0.024868394503803293,0.975609756097561
5,1009_plus,PB5_100,82,2,0.2410746837872193,0.10288515263439998,-0.5637273396039265,-0.5643134086518347,2.944255388363721,0.47560975609756095,-0.04147439475625103,-0.12659758839420668,1.0
5,1009_plus,PB5_50,82,2,0.24720654305811218,0.13017621417040115,-0.45905737071614056,-0.5614916416879037,3.017424171849048,0.47560975609756095,-0.02011922218957063,-0.05662240796222551,1.0
5,1009_plus,WAIT_NEXT,82,2,0.19431189346776023,0.0064553901212762495,-0.35375006727834124,-0.5614916416879039,2.429177550242012,0.0,0.0,0.0,0.0
5,505_756,IMM100,26,2,0.3314199819525018,0.17836741139710988,-0.5048412675972811,-0.5643134086518345,4.181554089051189,0.5769230769230769,0.18105007392115002,-0.055056092992086136,1.0
5,505_756,IMM25,26,2,0.20338751552848366,0.14554373755682393,-0.3015810629527684,-0.430919275785555,2.5240935258270305,0.5769230769230769,0.06615133971294218,-0.01286728547215421,1.0
5,505_756,IMM50,26,2,0.266652140455663,0.19500930578758413,-0.3843253586126338,-0.430919275785555,3.2572981009993427,0.5769230769230769,0.11283547746119427,-0.026296736878971938,1.0
5,505_756,PB10_100,26,2,0.3723539204857439,0.22419880968275896,-0.5048412675972811,-0.5643134086518345,4.894258130512149,1.0,0.21176690566268852,0.006833072606685864,1.0
5,505_756,PB10_50,26,2,0.30833955819216563,0.22080310160205463,-0.39963082211844153,-0.430919275785555,3.8321326763427725,1.0,0.13685984186364508,0.0034373645259815344,1.0
5,505_756,PB15_100,26,2,0.290354600694511,0.11150056688739796,-0.5048412675972811,-0.5643134086518344,3.5767006984452427,1.0,0.08591356079608636,0.06251280023127925,1.0
5,505_756,PB15_50,26,2,0.2604320552982502,0.0619225568509959,-0.4035412948498725,-0.430919275785555,3.1808292246429146,1.0,0.046349668993753035,0.03283318843025462,1.0
5,505_756,PB5_100,26,2,0.3372881532932841,0.21077301960493156,-0.5048412675972811,-0.5643134086518345,4.28164526639743,0.6153846153846154,0.19454344479364538,-0.024823116837900616,1.0
5,505_756,PB5_50,26,2,0.27012878097063286,0.21326866315595816,-0.38642307391152747,-0.4309192757855549,3.3077353333836,0.6153846153846154,0.12173868511596053,-0.01216724955061299,1.0
5,505_756,WAIT_NEXT,26,2,0.09061699741133489,0.0006291630622897726,-0.09549633727014506,-0.4309192757855549,1.6468510624030779,0.0,0.0,0.0,0.0
5,757_1008,IMM100,24,2,0.45503175540864116,0.2938296012086375,-0.5048412675972811,-0.5643134086518344,6.523325227803262,0.625,0.26259374960932713,-0.06702590823219767,1.0
5,757_1008,IMM25,24,2,0.300392838202869,0.21737744656041097,-0.3633246452266257,-0.4391139408805492,3.722339235467685,0.625,0.10531654285058445,-0.015564804109202445,1.0
5,757_1008,IMM50,24,2,0.36507908307395553,0.3139894190566793,-0.40602726278592255,-0.4391139408805492,4.740998091946734,0.625,0.17108478073507394,-0.03187118989670294,1.0
5,757_1008,PB10_100,24,2,0.3382404240697001,0.2375131282682425,-0.46356613288303794,-0.5643134086518345,4.3207120240535755,0.75,0.15798301325640685,-0.08458589386709121,1.0
5,757_1008,PB10_50,24,2,0.35486933288283073,0.15804193770580663,-0.4048341233037702,-0.4391139408805492,4.560724514854192,0.75,0.09165911888857248,-0.03955635737343717,1.0
5,757_1008,PB15_100,24,2,0.3138449089314521,0.24800502128096952,-0.3582697699617078,-0.5643134086518344,3.908417429452083,0.7083333333333334,0.15557327904031937,-0.03718584993487271,1.0
5,757_1008,PB15_50,24,2,0.25428742223540024,0.15138354517933547,-0.334538415666527,-0.4391139408805492,3.106172696607944,0.7083333333333334,0.08985279058267581,-0.018089560407499962,1.0
5,757_1008,PB5_100,24,2,0.4614896605990507,0.3002773181180066,-0.5048412675972811,-0.5643134086518345,6.660250670083187,0.5833333333333334,0.265954460559339,-0.03331150876476483,1.0
5,757_1008,PB5_50,24,2,0.3701628957165939,0.317332789740712,-0.4048341233037702,-0.4391139408805492,4.82399266150838,0.5833333333333334,0.17429809372186023,-0.016243375899065216,1.0
5,757_1008,WAIT_NEXT,24,2,0.1447114505063697,0.0016854234384947153,-0.2154596378927774,-0.4391139408805492,2.26477193389807,0.0,0.0,0.0,0.0
