start_date,full_date,age_td,age_bucket,horizon_y,policy,CAGR,MDD,Final,initial_entry_date,add_date,add_qqq_dd
2005-04-01,2002-12-12,578,505_756,3,L50_TO100_PB5_POST,0.06943554025815746,-0.5643134086518344,1.2231665335289312,2005-04-04,2005-04-15,-0.05955576053455869
2005-04-01,2002-12-12,578,505_756,3,L25_TO100_PB5_R63,0.039588975672959714,-0.5643134086518344,1.1235633809169692,2005-04-04,2005-04-05,-0.057245753837208424
2005-04-01,2002-12-12,578,505_756,3,L25_TO100_PB10_R63,0.082830742999493,-0.5643134086518347,1.2697187045859044,2005-04-04,2005-04-15,-0.10278929173775964
2005-04-01,2002-12-12,578,505_756,3,WAIT_NEXT,0.0409147470582818,0.0,1.1278685254602907,,,
2005-04-01,2002-12-12,578,505_756,5,IMM25,0.2847173068915383,-0.24310272735162097,3.4992467561716634,2005-04-04,,
2005-04-01,2002-12-12,578,505_756,5,IMM50,0.28484753124890694,-0.3758893882341736,3.5010204012347934,2005-04-04,,
2005-04-01,2002-12-12,578,505_756,5,IMM100,0.2851075616587724,-0.5643134086518345,3.504564145843712,2005-04-04,,
2005-04-01,2002-12-12,578,505_756,5,L25_TO50_PB5_POST,0.29600456453335355,-0.3946028632597376,3.6556713114457953,2005-04-04,2005-04-15,-0.05955576053455869
2005-04-01,2002-12-12,578,505_756,5,L25_TO100_PB5_POST,0.315390006904934,-0.5643134086518347,3.9373445820277886,2005-04-04,2005-04-15,-0.05955576053455869
2005-04-01,2002-12-12,578,505_756,5,L50_TO100_PB5_POST,0.3055988989290168,-0.5643134086518344,3.7929882471712517,2005-04-04,2005-04-15,-0.05955576053455869
2005-04-01,2002-12-12,578,505_756,5,L25_TO100_PB5_R63,0.2836047449438919,-0.5643134086518344,3.4841230379929033,2005-04-04,2005-04-05,-0.057245753837208424
2005-04-01,2002-12-12,578,505_756,5,L25_TO100_PB10_R63,0.315390006904934,-0.5643134086518347,3.9373445820277886,2005-04-04,2005-04-15,-0.10278929173775964
