horizon_y,age_bucket,policy,n,campaigns,CAGR_Median,CAGR_P10,MDD_Median,MDD_Worst,WinRate_vs_Wait,DiffCAGR_Median,DiffCAGR_P10,AddRate
5,505_756,L25_TO100_PB5_R63,26,2,0.343821462069823,0.19053375558253505,-0.5048412675972811,-0.5643134086518345,0.5384615384615384,0.19345155403847125,-0.04491820388806089,1.0
5,505_756,L25_TO50_PB5_POST,26,2,0.2692628482630792,0.2040171777572094,-0.38641165656356535,-0.4309192757855549,0.5769230769230769,0.1217682828937452,-0.020097644127498593,1.0
5,505_756,L50_TO100_PB5_POST,26,2,0.3325156817273671,0.1958054088378247,-0.5048412675972811,-0.5643134086518345,0.5769230769230769,0.18713441650854679,-0.04171233126998253,1.0
5,505_756,WAIT_NEXT,26,2,0.09061699741133489,0.0006291630622897726,-0.09549633727014506,-0.4309192757855549,0.0,0.0,0.0,0.0
5,757_1008,IMM100,24,2,0.45503175540864116,0.2938296012086375,-0.5048412675972811,-0.5643134086518344,0.625,0.26259374960932713,-0.06702590823219767,0.0
5,757_1008,IMM25,24,2,0.300392838202869,0.21737744656041097,-0.3633246452266257,-0.4391139408805492,0.625,0.10531654285058445,-0.015564804109202445,0.0
5,757_1008,IMM50,24,2,0.36507908307395553,0.3139894190566793,-0.40602726278592255,-0.4391139408805492,0.625,0.17108478073507394,-0.03187118989670294,0.0
5,757_1008,L25_TO100_PB10_R63,24,2,0.39308472201817435,0.26276283496960506,-0.46356613288303794,-0.5643134086518345,0.625,0.20904323889196352,-0.05927309671410659,1.0
5,757_1008,L25_TO100_PB5_POST,24,2,0.46079196950061485,0.29915367152700045,-0.5048412675972811,-0.5643134086518345,0.5833333333333334,0.26525676946090315,-0.03796506985486825,1.0
5,757_1008,L25_TO100_PB5_R63,24,2,0.4651961501002655,0.29915367152700045,-0.5048412675972811,-0.5643134086518345,0.625,0.27275814430095147,-0.050478072118814096,1.0
5,757_1008,L25_TO50_PB5_POST,24,2,0.3640564649717315,0.31619667038298943,-0.4048277444875337,-0.4391139408805492,0.625,0.17334838820039322,-0.02385785175659345,1.0
