strategy,activate_mult,trail_dd,reenter_level,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
V11_A3p0_T40_R0p980,3.0,-0.4,0.98,0.28904689056165056,-0.6992207245312605,0.4133843297557007,1007.7569583241509,669,-0.22223753493752263,-0.3825580141011322,0.043346740080554724,-0.41319231145891766,0.6475388370201063,-0.6992207245312605,-0.09675493555051007,-0.41786163736418136,163.375429877413,-0.6992207245312605,0.36728788174184657,-0.6992207245312605,24,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.1564434357534115,0.3081466340879209,2023-02-03,2023-02-28,1.0,1.0,0
V11_A3p0_T40_R1p000,3.0,-0.4,1.0,0.2785445981382002,-0.6992207245312605,0.39836433384455144,806.4702243116179,687,-0.22223753493752263,-0.3825580141011322,0.043346740080554724,-0.41319231145891766,0.6475388370201061,-0.6992207245312605,-0.09675493555050962,-0.41786163736418147,130.54351226212614,-0.6992207245312605,0.34873567584121457,-0.6992207245312605,24,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.074143212865804,0.3001121049782781,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A3p0_T40_R1p020,3.0,-0.4,1.02,0.2728128053528851,-0.6992207245312605,0.39016693267461683,713.5758142997452,687,-0.22223753493752263,-0.3825580141011322,0.043346740080554724,-0.41319231145891766,0.6475388370201063,-0.6992207245312605,-0.09675493555051118,-0.41786163736418147,115.39148730930145,-0.6992207245312605,0.33865344572761247,-0.6992207245312605,24,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.9740971303364407,0.2903451428221046,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A3p0_T45_R0p980,3.0,-0.45,0.98,0.30824096987837346,-0.6992207245312605,0.4408350025451695,1507.2628525613577,659,-0.22223753493752263,-0.3825580141011322,-0.12323915273553154,-0.4753276811071643,0.6475388370201063,-0.6992207245312605,-0.2060349576096755,-0.49034666595960474,291.56179212466026,-0.6992207245312605,0.4164837518895226,-0.6992207245312605,18,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.156443435753413,0.3081466340879211,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A3p0_T45_R1p000,3.0,-0.45,1.0,0.30403442442017803,-0.7152546967391683,0.4250715525619962,1380.680882701807,705,-0.22223753493752263,-0.3825580141011322,-0.12323915273553154,-0.4753276811071643,0.6475388370201067,-0.6992207245312605,-0.20603495760967416,-0.49034666595960474,266.99205772840145,-0.7152546967391683,0.4088859246974663,-0.7152546967391683,18,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.074143212865807,0.30011210497827834,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A3p0_T45_R1p020,3.0,-0.45,1.02,0.30002362980513,-0.7315787731325536,0.4101043398518196,1269.5674687656071,719,-0.22223753493752263,-0.3825580141011322,-0.12323915273553154,-0.4753276811071643,0.6475388370201065,-0.6992207245312605,-0.2060349576096756,-0.49034666595960474,245.42479130567878,-0.7315787731325536,0.40165693616190334,-0.7315787731325536,18,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.974097130336443,0.29034514282210483,2023-02-03,2023-02-28,1.0,1.0,0
V11_A3p0_T50_R0p980,3.0,-0.5,0.98,0.29253611826863013,-0.7179610774225003,0.40745400756102645,1084.7531780599675,750,-0.22223753493752263,-0.3825580141011322,-0.20100044756273983,-0.5217664391976711,0.6475388370201061,-0.6992207245312605,-0.3251312262841065,-0.5614916416879032,230.0437126550036,-0.7179610774225003,0.39612903857165294,-0.7179610774225003,18,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.171940368759409,0.30965951649550455,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A3p0_T50_R1p000,3.0,-0.5,1.0,0.2915873864370968,-0.7179610774225003,0.4061325824011288,1063.2743753979526,750,-0.22223753493752263,-0.3825580141011322,-0.20100044756273983,-0.5217664391976711,0.6475388370201061,-0.6992207245312605,-0.3251312262841065,-0.5614916416879032,225.46890023611638,-0.7179610774225003,0.39441812640525,-0.7179610774225003,18,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.0893332967446145,0.30159503135223076,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A3p0_T50_R1p020,3.0,-0.5,1.02,0.29040890529855523,-0.7179610774225003,0.40449115478673453,1037.1642387742586,750,-0.22223753493752263,-0.3825580141011322,-0.20100044756273983,-0.5217664391976711,0.6475388370201061,-0.6992207245312605,-0.3251312262841065,-0.5614916416879032,219.90765088881636,-0.7179610774225003,0.3922940640507193,-0.7179610774225003,18,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.988914201214488,0.2917916539385069,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A3p0_T55_R0p980,3.0,-0.55,0.98,0.289027567087333,-0.7179610774225003,0.402567181113703,1007.3455800308552,750,-0.22223753493752263,-0.3825580141011322,-0.2580167692766966,-0.5643134086518344,0.6475388370201061,-0.6992207245312605,-0.32513122628410684,-0.5614916416879033,230.0437126550036,-0.7179610774225003,0.39612903857165294,-0.7179610774225003,18,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.1719403687594125,0.3096595164955049,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
