ticker,episode,age,obs_date,gap,horizon,protocol,ret,mdd,first_entry_wait,fresh_wait
SPY,2,325,1996-04-03,0.13452707042793532,1y,LUMP,0.1640164958574042,-0.08659253539879508,0.0,
SPY,2,325,1996-04-03,0.13452707042793532,1y,HALF,0.0820082479287021,-0.04840323027088522,0.0,
SPY,2,325,1996-04-03,0.13452707042793532,1y,WAIT,0.0,0.0,,
SPY,2,325,1996-04-03,0.13452707042793532,1y,DCA3,0.15853968714146927,-0.08659253539879497,0.0,
SPY,2,325,1996-04-03,0.13452707042793532,1y,DCA6,0.1530744511472515,-0.08659253539879497,0.0,
SPY,2,325,1996-04-03,0.13452707042793532,2y,LUMP,0.7661545763861766,-0.1120298465568863,0.0,
SPY,2,325,1996-04-03,0.13452707042793532,2y,HALF,0.3830772881930882,-0.06787766878616819,0.0,
SPY,2,325,1996-04-03,0.13452707042793532,2y,WAIT,0.0,0.0,,
SPY,2,325,1996-04-03,0.13452707042793532,2y,DCA3,0.7578446505285403,-0.1120298465568863,0.0,
SPY,2,325,1996-04-03,0.13452707042793532,2y,DCA6,0.7495522838854818,-0.11202984655688619,0.0,
SPY,2,325,1996-04-03,0.13452707042793532,3y,LUMP,0.8920643757989375,-0.1906418607232413,0.0,
SPY,2,325,1996-04-03,0.13452707042793532,3y,HALF,0.5393270257858127,-0.14111597515446073,0.0,628.0
SPY,2,325,1996-04-03,0.13452707042793532,3y,WAIT,0.18658967577268837,-0.05112408851289496,628.0,628.0
SPY,2,325,1996-04-03,0.13452707042793532,3y,DCA3,0.8831620323172384,-0.1906418607232414,0.0,
SPY,2,325,1996-04-03,0.13452707042793532,3y,DCA6,0.874278499852885,-0.19064186072324119,0.0,
SPY,2,350,1996-05-09,0.09353772153977369,6m,LUMP,0.1253497016867906,-0.07624756614645611,0.0,
SPY,2,350,1996-05-09,0.09353772153977369,6m,HALF,0.06267485084339519,-0.038917056805609085,0.0,
SPY,2,350,1996-05-09,0.09353772153977369,6m,WAIT,0.0,0.0,,
SPY,2,350,1996-05-09,0.09353772153977369,6m,DCA3,0.10965663319547048,-0.0646344251874863,0.0,
SPY,2,350,1996-05-09,0.09353772153977369,6m,DCA6,0.09357155740663514,-0.03256096305920653,0.0,
SPY,2,350,1996-05-09,0.09353772153977369,1y,LUMP,0.2788803615839597,-0.10038524751291433,0.0,
SPY,2,350,1996-05-09,0.09353772153977369,1y,HALF,0.13944018079197984,-0.05618391045716642,0.0,
SPY,2,350,1996-05-09,0.09353772153977369,1y,WAIT,0.0,0.0,,
SPY,2,350,1996-05-09,0.09353772153977369,1y,DCA3,0.26104629891307685,-0.10038524751291422,0.0,
SPY,2,350,1996-05-09,0.09353772153977369,1y,DCA6,0.24276674766771977,-0.10038524751291433,0.0,
SPY,2,350,1996-05-09,0.09353772153977369,2y,LUMP,0.7568933649472316,-0.11202984655688619,0.0,
SPY,2,350,1996-05-09,0.09353772153977369,2y,HALF,0.3784466824736157,-0.06795427038332036,0.0,
SPY,2,350,1996-05-09,0.09353772153977369,2y,WAIT,0.0,0.0,,
SPY,2,350,1996-05-09,0.09353772153977369,2y,DCA3,0.7323933825268902,-0.11202984655688619,0.0,
SPY,2,350,1996-05-09,0.09353772153977369,2y,DCA6,0.7072813992156408,-0.11202984655688619,0.0,
SPY,2,350,1996-05-09,0.09353772153977369,3y,LUMP,0.92503512005579,-0.19064186072324119,0.0,
SPY,2,350,1996-05-09,0.09353772153977369,3y,HALF,0.5644245004378583,-0.14120845263890514,0.0,603.0
SPY,2,350,1996-05-09,0.09353772153977369,3y,WAIT,0.20381388081992635,-0.05112408851289496,603.0,603.0
SPY,2,350,1996-05-09,0.09353772153977369,3y,DCA3,0.8981903908645432,-0.1906418607232413,0.0,
SPY,2,350,1996-05-09,0.09353772153977369,3y,DCA6,0.8706750898378008,-0.19064186072324096,0.0,
SPY,2,400,1996-07-22,0.03211118762392329,6m,LUMP,0.23283072424580276,-0.049262842486381464,0.0,
SPY,2,400,1996-07-22,0.03211118762392329,6m,HALF,0.11641536212290138,-0.026897195997656498,0.0,
SPY,2,400,1996-07-22,0.03211118762392329,6m,WAIT,0.0,0.0,,
SPY,2,400,1996-07-22,0.03211118762392329,6m,DCA3,0.1820441025890478,-0.049262842486381686,0.0,
SPY,2,400,1996-07-22,0.03211118762392329,6m,DCA6,0.12396431408730346,-0.04174510499886419,0.0,
SPY,2,400,1996-07-22,0.03211118762392329,1y,LUMP,0.46084841992077874,-0.10038524751291422,0.0,
SPY,2,400,1996-07-22,0.03211118762392329,1y,HALF,0.23042420996038926,-0.05673580536104117,0.0,
SPY,2,400,1996-07-22,0.03211118762392329,1y,WAIT,0.0,0.0,,
SPY,2,400,1996-07-22,0.03211118762392329,1y,DCA3,0.4006685797032401,-0.10038524751291433,0.0,
SPY,2,400,1996-07-22,0.03211118762392329,1y,DCA6,0.33184666798943896,-0.10038524751291433,0.0,
SPY,2,400,1996-07-22,0.03211118762392329,2y,LUMP,0.8894757486631724,-0.11202984655688619,0.0,
SPY,2,400,1996-07-22,0.03211118762392329,2y,HALF,0.4447378743315862,-0.0685500777328395,0.0,
SPY,2,400,1996-07-22,0.03211118762392329,2y,WAIT,0.0,0.0,,
SPY,2,400,1996-07-22,0.03211118762392329,2y,DCA3,0.8116385500196401,-0.11202984655688619,0.0,
SPY,2,400,1996-07-22,0.03211118762392329,2y,DCA6,0.7226236109016466,-0.11202984655688619,0.0,
SPY,2,400,1996-07-22,0.03211118762392329,3y,LUMP,1.0259114433257581,-0.19064186072324119,0.0,
SPY,2,400,1996-07-22,0.03211118762392329,3y,HALF,0.6324098930687223,-0.1419269066762,0.0,553.0
SPY,2,400,1996-07-22,0.03211118762392329,3y,WAIT,0.2389083428116867,-0.06393670417426278,553.0,553.0
SPY,2,400,1996-07-22,0.03211118762392329,3y,DCA3,0.9424537585367783,-0.1906418607232413,0.0,
SPY,2,400,1996-07-22,0.03211118762392329,3y,DCA6,0.8470112084465329,-0.1906418607232413,0.0,
SPY,4,150,1999-05-27,0.09361124451014513,6m,LUMP,0.10641153026704453,-0.11695497580737302,0.0,
SPY,4,150,1999-05-27,0.09361124451014513,6m,HALF,0.053205765133522265,-0.06131747461239023,0.0,
SPY,4,150,1999-05-27,0.09361124451014513,6m,WAIT,0.0,0.0,,
