ticker,horizon,protocol,n,median_ret,p10_ret,worst_ret,median_mdd,worst_mdd,median_regret_vs_lump,worst_regret_vs_lump,beat_lump_rate
QQQ,6m,DCA6,15,0.04254583707645976,-0.06198220476533434,-0.09780245437054946,-0.06309938901490242,-0.12762155837112032,0.060365505005771425,0.08044990951573161,0.2
QQQ,6m,HALF,15,0.046437894122663304,-0.04826942822414959,-0.07710765614642556,-0.05551367757098602,-0.09201933144267782,0.046437894122663304,0.0902904623300862,0.3333333333333333
QQQ,6m,LUMP,15,0.09287578824532661,-0.07116230418589582,-0.12340048870414644,-0.10226384478540829,-0.17395382517595048,0.0,0.0,0.0
QQQ,6m,WAIT,15,0.0,-0.026395441461116206,-0.032290324876208976,0.0,-0.07333986756673427,0.09287578824532661,0.1805809246601724,0.3333333333333333
SPY,1y,DCA3,26,0.13146617922744053,-0.07953096881968885,-0.11773342339838844,-0.10070202437603698,-0.18755228269936963,0.010013293588457706,0.03945604580382733,0.23076923076923078
SPY,1y,DCA6,26,0.11991738664497165,-0.07524234244056499,-0.11040642160082015,-0.09643827157283547,-0.18755228269936963,0.02030665852160457,0.08176898650487607,0.2692307692307692
SPY,1y,HALF,26,0.07420407478833058,-0.058475413916978636,-0.10370189571201205,-0.05504792983290502,-0.13379920913283005,0.06753234299746191,0.14062744812133654,0.34615384615384615
SPY,1y,LUMP,26,0.13506468599492383,-0.08996028696974334,-0.15342270969559668,-0.1010188012391599,-0.2666841545845473,0.0,0.0,0.0
SPY,1y,WAIT,26,0.0,-0.026990540864213763,-0.05398108172842753,0.0,-0.09847225962014128,0.13506468599492383,0.2812548962426731,0.34615384615384615
SPY,2y,DCA3,25,0.16680977133846442,-0.044230187264327606,-0.09907528546399491,-0.13052612407158803,-0.1941096420169004,0.009543518355928704,0.04407856103297658,0.24
SPY,2y,DCA6,25,0.17019521479526567,-0.06049220576226101,-0.08286283280478557,-0.126524935799039,-0.18755228269936963,0.022250782568275174,0.09134871953920443,0.24
SPY,2y,HALF,25,0.10813576513509582,-0.019762007084303947,-0.0551982440621378,-0.0980716096899571,-0.1488549050603628,0.06941937031736667,0.3830772881930884,0.32
SPY,2y,LUMP,25,0.18022966908908167,-0.052090951045080006,-0.08888872029443373,-0.13054222357099998,-0.2666841545845473,0.0,0.0,0.0
SPY,2y,WAIT,25,0.0,-0.0374774973259798,-0.05571256645345568,-0.06149728547561095,-0.1303048325311279,0.13883874063473334,0.7661545763861766,0.32
SPY,3y,DCA3,23,0.21615843593392725,0.04992165554070117,-0.08347245152732674,-0.1510396438122027,-0.2666841545845473,0.008902343481699049,0.04238378569391643,0.2608695652173913
SPY,3y,DCA6,23,0.17940427988551066,0.03264043356436108,-0.09235285442088925,-0.14713285567850454,-0.2666841545845473,0.020606526992904106,0.08783645522063988,0.2608695652173913
SPY,3y,HALF,23,0.08640486111114098,-0.008444500116915176,-0.06400676819005835,-0.14111597515446073,-0.2666841545845473,0.06941937031736667,0.3606106196179317,0.30434782608695654
SPY,3y,LUMP,23,0.19861117057652367,0.06051585749730455,-0.10754125069944687,-0.19064186072324119,-0.2666841545845473,0.0,0.0,0.0
SPY,3y,WAIT,23,-0.020472285680669944,-0.06598545118469885,-0.07951879758070779,-0.08546427958275171,-0.2666841545845473,0.13883874063473334,0.7212212392358637,0.30434782608695654
SPY,6m,DCA3,26,0.045011399603115176,-0.056413907394107676,-0.10022251981834329,-0.06640342000374183,-0.18755228269936963,0.009491811739193723,0.03511009314090341,0.23076923076923078
SPY,6m,DCA6,26,0.03981113935518499,-0.056321222529393034,-0.07710180077338535,-0.054310640397917276,-0.145110886166678,0.019576264056350268,0.07276240367566156,0.2692307692307692
SPY,6m,HALF,26,0.028808821051961697,-0.022007209162954233,-0.10370189571201205,-0.03888976796494381,-0.13379920913283005,0.028808821051961697,0.06938914851570455,0.3076923076923077
SPY,6m,LUMP,26,0.057617642103923394,-0.05493143710415349,-0.15342270969559668,-0.07608964043452354,-0.2666841545845473,0.0,0.0,0.0
SPY,6m,WAIT,26,0.0,0.0,-0.05398108172842753,0.0,-0.09847225962014128,0.057617642103923394,0.1387782970314091,0.3076923076923077
