strategy,trend_ma,slope_lb,yellow_cap,red_dd,red_target,rec_fast_ma,rec_fast_days,rec_mid_ma,release_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,InvestedDayPct,AvgWeight,TradeCount,ActualEra_CAGR,ActualEra_MDD
V2_M150_S20_YC15_RD15_RT15_RF40x5_RM100_RL180,150,20,0.15,-0.15,0.15,40,5,100,180,0.027192163025064442,-0.6201200498675139,0.04384983686767415,2.0766044035369307,6986,-0.5963175078964496,-0.6201200498675139,-0.11484286801849919,-0.38456338332772644,0.0018368852408510161,0.0,-0.13153502773461767,-0.22415389794218055,1.610847654107197,-0.22415389794218055,0.3957968476357268,0.10526643133039842,224,0.060606277061687086,-0.22415389794218055
V2_M150_S20_YC15_RD15_RT15_RF40x5_RM100_RL200,150,20,0.15,-0.15,0.15,40,5,100,200,0.027005641019784754,-0.6904229317814616,0.0391146350688317,2.066358448632619,7406,-0.664589811639589,-0.6904229317814616,-0.11484286801849952,-0.38456338332772666,0.0018368852408516823,0.0,-0.019452534900729956,-0.22415389794218155,2.1767387567634557,-0.22415389794218155,0.38820782253356684,0.110696480766723,236,0.07344073676993768,-0.22415389794218155
V2_M150_S20_YC15_RD15_RT15_RF40x5_RM120_RL180,150,20,0.15,-0.15,0.15,40,5,120,180,0.025368454600401158,-0.6476474266174658,0.039170161970527036,1.9784905669378385,7285,-0.6183053086426609,-0.6476474266174658,-0.11697676034009086,-0.3797593977154732,0.0018368852408516823,0.0,-0.12792720419695602,-0.22093083665819457,1.6167448928193155,-0.22093083665819457,0.39010507880910683,0.10487447714937417,227,0.06075300577077525,-0.22093083665819457
V2_M150_S20_YC15_RD15_RT15_RF40x5_RM120_RL200,150,20,0.15,-0.15,0.15,40,5,120,200,0.03505424372310828,-0.7012053763252803,0.049991407520023144,2.5559110179689357,6983,-0.6614962169930705,-0.7012053763252803,-0.1169767603400893,-0.3797593977154723,0.001836885240850572,0.0,-0.015379092289508844,-0.22093083665819524,2.189935734448979,-0.22093083665819524,0.38820782253356684,0.11516213415024958,238,0.07371362162250117,-0.22093083665819524
V2_M150_S20_YC15_RD15_RT15_RF60x3_RM100_RL180,150,20,0.15,-0.15,0.15,60,3,100,180,0.02966800584559115,-0.5778277678000014,0.051344029309196994,2.2173299089245986,6836,-0.551375273341018,-0.5778277678000014,-0.13326370619282346,-0.38456338325230544,0.0018368852408519043,0.0,-0.14180246046858103,-0.22298280720540287,1.5419888834029618,-0.22298280720540287,0.3938995913601868,0.10484706042779035,208,0.05886959291726779,-0.22298280720540287
V2_M150_S20_YC15_RD15_RT15_RF60x3_RM100_RL200,150,20,0.15,-0.15,0.15,60,3,100,200,0.029725811482218756,-0.6576310361406202,0.04520135128759727,2.2207228602630553,7318,-0.6290615473631624,-0.6576310361406202,-0.13326370619282468,-0.3845633832523061,0.0018368852408521263,0.0,-0.031045080482573595,-0.22298280720540176,2.1282644766306653,-0.22298280720540176,0.38718622300058375,0.11045347419576843,221,0.07242917670187121,-0.22298280720540176
V2_M150_S20_YC15_RD15_RT15_RF60x3_RM120_RL180,150,20,0.15,-0.15,0.15,60,3,120,180,0.026827451902627697,-0.6172071431434809,0.04346588045950592,2.056615726734223,6972,-0.5853301142403811,-0.6172071431434809,-0.13535324750385735,-0.3797593977154726,0.0018368852408521263,0.0,-0.14180246046858136,-0.22298280720540387,1.537190455720146,-0.22298280720540387,0.38820782253356684,0.10486113611315363,220,0.05874693190083091,-0.22298280720540387
V2_M150_S20_YC15_RD15_RT15_RF60x3_RM120_RL200,150,20,0.15,-0.15,0.15,60,3,120,200,0.03695910442910755,-0.6753920469153467,0.05472244542692991,2.687167536364518,6838,-0.6322523519268135,-0.6753920469153467,-0.13535324750385547,-0.3797593977154726,0.0018368852408516823,0.0,-0.03104508048257515,-0.2229828072054031,2.128264476630685,-0.2229828072054031,0.38718622300058375,0.11527216025522548,231,0.07242917670187143,-0.2229828072054031
V2_M150_S20_YC15_RD15_RT15_RF60x5_RM100_RL180,150,20,0.15,-0.15,0.15,60,5,100,180,0.027029639083510526,-0.5772725177612121,0.04682301383120977,2.0676739661522996,6860,-0.5507852324101375,-0.5772725177612121,-0.12659543532322604,-0.38202369065738306,0.001836885240850572,0.0,-0.05596270613208798,-0.2142655809887687,1.3675579884612161,-0.2142655809887687,0.3527437244600117,0.09757754251190658,197,0.05426443107494605,-0.2142655809887687
V2_M150_S20_YC15_RD15_RT15_RF60x5_RM100_RL200,150,20,0.15,-0.15,0.15,60,5,100,200,0.027410834768683,-0.6571807450841176,0.041709735067138154,2.088678719381127,7406,-0.6285736810979132,-0.6571807450841176,-0.12659543532322426,-0.38202369065738206,0.0018368852408516823,0.0,0.06587299306483274,-0.21426558098876947,1.9387048868434342,-0.21426558098876947,0.3461762988908348,0.10331950283147463,206,0.06832679864531199,-0.21426558098876947
