strategy,trend_ma,slope_lb,yellow_cap,red_dd,red_target,rec_fast_ma,rec_fast_days,rec_mid_ma,release_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,InvestedDayPct,AvgWeight,TradeCount,ActualEra_CAGR,ActualEra_MDD,score
V2_M180_S40_YC25_RD15_RT0_RF60x3_RM100_RL180,180,40,0.25,-0.15,0.0,60,3,100,180,0.06525103192032988,-0.11146163750455107,0.5854124646039373,5.5937218402534885,2840,0.10590516760712054,-0.07441758734861226,-0.05431971100778932,-0.11146163750455107,0.0018368852408523484,0.0,0.0045601974404085865,-0.0999991971573988,1.9522297804116429,-0.0999991971573988,0.18009340338587274,0.04686597789793842,276,0.06862761356625358,-0.0999991971573988,0.2120815083455417
V2_M200_S20_YC25_RD15_RT0_RF60x3_RM120_RL180,200,20,0.25,-0.15,0.0,60,3,120,180,0.0706638754842368,-0.20465074186202958,0.3452901017670223,6.421757623145232,412,0.13386133735560413,-0.0888759183570238,-0.02661696449141293,-0.1360091744895492,0.0018368852408514602,0.0,0.03924448422803262,-0.06113436408615058,1.9189966045363835,-0.20465074186202958,0.2174547577349679,0.06069040580880397,308,0.06788612059955867,-0.20465074186202958,0.21183082718806134
V2_M200_S20_YC15_RD15_RT0_RF60x3_RM120_RL200,200,20,0.15,-0.15,0.0,60,3,120,200,0.06158271799682735,-0.10261760095097505,0.6001184731091904,5.092099965350055,411,0.04215293325298419,-0.07872042064673901,-0.02418850884869017,-0.10261760095097505,0.0018368852408516823,0.0,0.032773546660892716,-0.03341505080747709,1.7882514118006907,-0.08974811266286686,0.23598949211908932,0.04793089951642292,338,0.0648899009714683,-0.08974811266286686,0.21005109334133104
V2_M180_S40_YC15_RD15_RT0_RF40x5_RM100_RL180,180,40,0.15,-0.15,0.0,40,5,100,180,0.0589184598786594,-0.08974811266286697,0.6564868957187191,4.75524560556534,2422,0.058449062046652456,-0.06927923228648947,0.040909083481833974,-0.06957221785994128,0.0018368852408510161,0.0,-0.008529907911817403,-0.06800494441494798,1.571616611703368,-0.08974811266286697,0.17936368943374198,0.03690879428126858,301,0.059622179485713245,-0.08974811266286697,0.20963830570182762
V2_M180_S20_YC25_RD15_RT0_RF60x3_RM100_RL180,180,20,0.25,-0.15,0.0,60,3,100,180,0.06792136816793914,-0.20441570489113892,0.3322707920319063,5.988467261277449,2840,0.13290744138058597,-0.07441758734861226,-0.05431971100778832,-0.1114616375045493,0.008601746861401027,-0.06326393866503555,-0.011042035601422029,-0.09999919715739891,1.6696410691813108,-0.20441570489113892,0.22810858143607707,0.06566828627542211,285,0.062055405684128484,-0.20441570489113892,0.20961843757172963
V2_M200_S20_YC15_RD15_RT0_RF60x5_RM100_RL180,200,20,0.15,-0.15,0.0,60,5,100,180,0.058489019617760096,-0.2074272419055917,0.2819736649845672,4.702998900083537,540,0.0970418335367651,-0.05544816235220851,-0.0465898756424713,-0.1026260389117335,0.0018368852408512382,0.0,0.011104986418031926,-0.056445471321013074,1.4897720143699047,-0.2074272419055917,0.19454173963806187,0.04955194066531114,280,0.05752293809480857,-0.2074272419055917,0.2039548950946633
V2_M200_S20_YC15_RD15_RT0_RF40x5_RM100_RL180,200,20,0.15,-0.15,0.0,40,5,100,180,0.06025704449030744,-0.2074272483332381,0.2904972465020733,4.921713111823415,438,0.057444920281962686,-0.06927923228648947,-0.017478901154876936,-0.0921876712406865,0.0018368852408521263,0.0,-0.014546131714583077,-0.07126244764097178,1.6338759315819122,-0.2074272483332381,0.21949795680093404,0.05315379005841399,326,0.061177487925298646,-0.2074272483332381,0.20355673803133628
V2_M200_S20_YC15_RD15_RT0_RF40x3_RM120_RL200,200,20,0.15,-0.15,0.0,40,3,120,200,0.06080448504447511,-0.09935803097888252,0.6119735309307655,4.991398386498305,511,0.02389666351496511,-0.07872042064673912,-0.0013217408185494106,-0.09747008711204797,0.001836885240850794,0.0,0.002488941454793503,-0.052937026828442146,1.701250430799567,-0.0897481126628672,0.23423817863397547,0.04749880624601662,380,0.06282217012020941,-0.0897481126628672,0.2000346153264709
V2_M180_S40_YC15_RD15_RT0_RF40x3_RM100_RL180,180,40,0.15,-0.15,0.0,40,3,100,180,0.059217181410245345,-0.08974811266286709,0.6598153393229651,4.79191801643266,658,0.07815496960252633,-0.07923176023923117,-0.005951504759007076,-0.06561649720295959,0.0018368852408516823,0.0,-0.005222066845863238,-0.07268488166216291,1.5718966564084709,-0.08974811266286709,0.1780502043199066,0.036666974751187374,331,0.05962925411510378,-0.08974811266286709,0.1998737587636869
V2_M180_S20_YC25_RD15_RT0_RF40x5_RM120_RL180,180,20,0.25,-0.15,0.0,40,5,120,180,0.07284664564765131,-0.20465195557755456,0.35595382141386606,6.788045037815223,2422,0.10429498016465089,-0.09839828772714976,0.027545088182424182,-0.13705157847352356,0.008601746861400805,-0.06326393866503577,0.03351475844702656,-0.0855641319757473,1.8877755132229583,-0.20465195557755456,0.23467600700525393,0.06890492038779848,310,0.06718226598427224,-0.20465195557755456,0.1997729826097317
V2_M180_S20_YC50_RD15_RT0_RF40x3_RM120_RL180,180,20,0.5,-0.15,0.0,40,3,120,180,0.10027792659753643,-0.21962331939296764,0.4565905245158012,13.50169779175851,2427,0.1234679891620789,-0.17878819878286467,0.11478698972973556,-0.21078041026298977,0.0018368852408519043,0.0,0.07828914122443886,-0.15140865382608126,3.1456767282306464,-0.15140865382608126,0.2524810274372446,0.09894921277428542,331,0.09110545802867343,-0.15140865382608126,0.19688594160243672
V2_M200_S20_YC25_RD15_RT0_RF60x3_RM100_RL180,200,20,0.25,-0.15,0.0,60,3,100,180,0.06587375747043112,-0.20742724901726273,0.31757523557065975,5.683471777539764,2856,0.10444363681089075,-0.07441758734861226,-0.07662521226100738,-0.1324193478310477,0.0018368852408516823,0.0,-0.0055583974846974415,-0.0999991971573988,1.7958607539947997,-0.20742724901726273,0.2149737302977233,0.060265041589298095,297,0.06506785914799207,-0.20742724901726273,0.19487827551352566
V2_M200_S20_YC15_RD15_RT0_RF60x5_RM100_RL200,200,20,0.15,-0.15,0.0,60,5,100,200,0.0565833650962555,-0.20413162191379552,0.2771905918630802,4.477749095859898,546,0.042720287752194164,-0.05755331737294467,-0.04188146946132165,-0.10262603891173405,0.0018368852408519043,0.0,0.013421812281961598,-0.0564454713210123,1.4827458497831092,-0.20413162191379552,0.20052539404553416,0.05013615613945022,298,0.05733971587960518,-0.20413162191379552,0.19343964655335463
V2_M180_S40_YC15_RD15_RT0_RF60x5_RM120_RL180,180,40,0.15,-0.15,0.0,60,5,120,180,0.05550929864129728,-0.09788653228224564,0.5670779968100411,4.355411192658433,2496,0.14328827725199367,-0.05430625988862903,-0.009278056571767723,-0.09788653228224564,0.0018368852408514602,0.0,0.0406195148771733,-0.03510707799073076,1.2910663175947454,-0.08974761406590936,0.15834792761237595,0.032477790979984565,259,0.052143670855764324,-0.08974761406590936,0.1918929816437963
V2_M180_S20_YC35_RD15_RT0_RF60x3_RM120_RL180,180,20,0.35,-0.15,0.0,60,3,120,180,0.08102632761004003,-0.20465074186202958,0.395924915164324,8.348113124954432,2425,0.1560078561505065,-0.12670951276972997,0.05200584428170818,-0.16549699649039418,0.008601746861401027,-0.06326393866503577,0.059865128797402134,-0.08448250151662062,2.1095965365361558,-0.20465074186202958,0.2409515469935785,0.07892917571276158,289,0.07203568585222997,-0.20465074186202958,0.19148231847172142
V2_M200_S20_YC35_RD15_RT0_RF40x3_RM120_RL180,200,20,0.35,-0.15,0.0,40,3,120,180,0.0796314179274662,-0.16594622150009852,0.4798627965591788,8.059631098232861,801,0.09736304825467457,-0.12369523368528013,0.0034336610698955106,-0.16594622150009852,0.001836885240850794,0.0,-0.011373897901891916,-0.11070100550884776,2.308229370660562,-0.11070100550884776,0.2301517805020432,0.07256329243066251,343,0.07611342505071383,-0.11070100550884776,0.1895402068362429
V2_M200_S20_YC15_RD15_RT0_RF40x5_RM120_RL200,200,20,0.15,-0.15,0.0,40,5,120,200,0.06004121700763565,-0.10855151203817615,0.5531126732395947,4.894498192880556,810,0.017023890241892436,-0.08759873169516175,-0.030424703359236305,-0.10855151203817615,0.0018368852408512382,0.0,0.016169307132294364,-0.04231478970147329,1.760870625624173,-0.08974811266286709,0.22825452422650322,0.04662563676692609,353,0.06424575812306532,-0.08974811266286709,0.18571256210913148
V2_M180_S20_YC15_RD15_RT0_RF60x5_RM100_RL180,180,20,0.15,-0.15,0.0,60,5,100,180,0.059569416376738404,-0.20441570489013983,0.29141311040046114,4.8355100407316876,2496,0.06893643922026071,-0.07819440660173049,0.012133462067678957,-0.07839002323946143,0.008601746861400361,-0.06326393866503566,0.0657621649235236,-0.05644547132101296,1.3074701597895877,-0.20441570489013983,0.21176298890834794,0.051248770565892755,263,0.05260401384046376,-0.20441570489013983,0.18568474992582384
V2_M180_S20_YC15_RD20_RT0_RF60x3_RM120_RL180,180,20,0.15,-0.2,0.0,60,3,120,180,0.05333204761557275,-0.20465998643922645,0.2605885427018224,4.117221401946024,2496,0.13570190047637953,-0.054306259888628916,0.06138125094822233,-0.08447704061308425,0.008601746861401027,-0.06326393866503566,0.01604492421440651,-0.06499604781073709,1.349653307072403,-0.20465998643922645,0.15178050204319907,0.035950904154285444,262,0.0537738446304743,-0.20465998643922645,0.1855233291458132
V2_M200_S20_YC15_RD15_RT0_RF40x3_RM100_RL180,200,20,0.15,-0.15,0.0,40,3,100,180,0.059273246676650126,-0.2074272483332381,0.2857543893241349,4.798831139862666,1098,0.07713213300829769,-0.07923176023923117,-0.030113355720308155,-0.0883281003524703,0.0018368852408512382,0.0,-0.011258362572446057,-0.07268488166216247,1.5408164597852725,-0.2074272483332381,0.21541155866900175,0.04725373298225518,353,0.05883964262080599,-0.2074272483332381,0.18489183495100417
V2_M200_S20_YC15_RD15_RT0_RF40x5_RM100_RL200,200,20,0.15,-0.15,0.0,40,5,100,200,0.05774254244211119,-0.20411002095245545,0.2828991059462068,4.6134939760942055,521,-0.003084018392892518,-0.07411854635867987,-0.020336752597329255,-0.09927643202686431,0.0018368852408516823,0.0,-0.012288082312774673,-0.06723831274084291,1.627514759125423,-0.20411002095245545,0.22606538237011092,0.053827073414420765,346,0.06102017066797494,-0.20411002095245545,0.18433090243560732
V2_M200_S40_YC15_RD15_RT0_RF60x3_RM120_RL180,200,40,0.15,-0.15,0.0,60,3,120,180,0.05321989680453321,-0.20465998643922656,0.2600405566836914,4.105298297881711,406,0.125326464798855,-0.05312804831780049,-0.011928812311165937,-0.08685586338360507,0.0018368852408516823,0.0,0.03410497359899556,-0.033415050807476976,1.1228254993568143,-0.20465998643922656,0.15163455925277292,0.03997606543931596,285,0.047235000851166165,-0.20465998643922656,0.18145789766669845
V2_M180_S20_YC15_RD20_RT0_RF40x3_RM120_RL180,180,20,0.15,-0.2,0.0,40,3,120,180,0.05301361156929474,-0.2046595618364051,0.259033152878883,4.083454265261739,2496,0.11580685477290387,-0.05797823114798861,0.08885289672725305,-0.0792254699182805,0.008601746861400361,-0.06326393866503555,0.0053792793194349375,-0.06989274378421129,1.3120902857094858,-0.2046595618364051,0.14039696438995913,0.033062623385462814,302,0.05273311455874352,-0.2046595618364051,0.179443692930848
V2_M180_S20_YC25_RD15_RT0_RF40x3_RM100_RL180,180,20,0.25,-0.15,0.0,40,3,100,180,0.07640420896536604,-0.14681530699762868,0.5204103749658753,7.428549055990667,2838,0.07929429547055422,-0.14681530699762868,-0.02425695102810166,-0.10898660029943263,0.0018368852408514602,0.0,-0.005962902095188682,-0.12799082635215553,2.3363373840986217,-0.12799082635215553,0.2403677758318739,0.06794503018308169,340,0.07667179299002558,-0.12799082635215553,0.17899284535905466
V2_M180_S40_YC25_RD15_RT0_RF40x5_RM120_RL180,180,40,0.25,-0.15,0.0,40,5,120,180,0.06719482481172334,-0.13705157847352356,0.49028858740729087,5.878485345333323,2422,0.07797466987987245,-0.099717695672488,0.027545088182423294,-0.13705157847352356,0.0018368852408514602,0.0,-0.00045815366997881135,-0.08556413197574786,1.9607125836405617,-0.08974811266286697,0.18549328663164039,0.04872227759745166,302,0.06881562503462657,-0.08974811266286697,0.17884912783232243
V2_M180_S20_YC25_RD15_RT0_RF60x5_RM120_RL180,180,20,0.25,-0.15,0.0,60,5,120,180,0.06960617200021235,-0.20467443853715028,0.34008238887914766,6.251188185579036,2532,0.1926000967995889,-0.09093112277835402,-0.029947750241886006,-0.1599733222062819,0.00860174686140125,-0.06326393866503566,0.12774359169874883,-0.060141867136384586,1.6080338895848167,-0.20467443853715028,0.2171628721541156,0.06222596987483234,261,0.060536158355970704,-0.20467443853715028,0.17635310391408146
