strategy,exit_ma,exit_slope_lb,exit_dd,resume_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,InvestedDayPct,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
V8_X80S30D18_R60,80,30,-0.18,60,0.24861323616241493,-0.7126457496284335,0.34885949476586287,423.0372559927325,1086,-0.4272419825537449,-0.5410524544201434,-0.32900220468204655,-0.594208586835557,-0.06699853983383341,-0.6992207245312605,-0.24145313481595232,-0.5071202676586211,155.22254357754628,-0.7126457496284335,0.36302983132449906,-0.7126457496284335,32,0.8028312901342674,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.610817473942205,0.35250473311129005,2023-01-25,2023-02-28,1.0,1.0000000000000002,0
V8_X80S30D18_R80,80,30,-0.18,80,0.24450875960309926,-0.7179610774225,0.34055990957182863,386.7504010671004,1088,-0.35837306589580487,-0.485868206789998,-0.3517768628032758,-0.6079817478918784,-0.06699853983383375,-0.6992207245312605,-0.2060349576096746,-0.49034666595960485,152.92985655796352,-0.7179610774225,0.3617948233166013,-0.7179610774225,28,0.7904261529480444,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.171940368759415,0.30965951649550516,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V8_X80S30D18_R100,80,30,-0.18,100,0.2575735239187398,-0.7179610774225001,0.35875694660696056,513.9973154482034,1035,-0.35837306589580487,-0.485868206789998,-0.35177686280327625,-0.6079817478918785,0.02713243191752812,-0.6992207245312605,-0.20603495760967583,-0.49034666595960485,174.24574405853681,-0.7179610774225001,0.37266676641011975,-0.7179610774225001,28,0.7946584938704028,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.314381929937654,0.3235653217236689,2023-02-03,2023-02-28,1.0,1.0,0
V8_X80S40D10_R60,80,40,-0.1,60,0.18936613395851398,-0.6992207245312605,0.27082454411725304,112.55050674595253,2102,-0.3610707709918244,-0.48802986161595185,-0.2761171221895634,-0.5621974099324107,0.42884813530115795,-0.6992207245312605,-0.25184105191371164,-0.5138700072379757,53.62127187374367,-0.6992207245312605,0.27797731325477315,-0.6992207245312605,59,0.7415353181552832,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.837387190028991,0.17937425132047521,2023-01-25,2023-02-28,1.0000000000000002,1.0000000000000002,0
V8_X80S40D10_R80,80,40,-0.1,80,0.19131025394871926,-0.6992207245312605,0.2736049536817844,117.6702735521846,2127,-0.28424537094054436,-0.42647013182127613,-0.30068677827037305,-0.5770570777032311,0.42884813530115884,-0.6992207245312605,-0.21690790879755895,-0.4911715570575049,53.34327066776423,-0.6992207245312605,0.277577551415523,-0.6992207245312605,54,0.7219789842381786,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.5673126786695164,0.15300832608776227,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
V8_X80S40D10_R100,80,40,-0.1,100,0.19136257527424538,-0.6992207245312605,0.27367978173491625,117.81111332917082,1354,-0.28424537094054436,-0.42647013182127613,-0.2862513412163612,-0.5683265607581136,0.5730053196179601,-0.6992207245312605,-0.2169079087975605,-0.4911715570575059,44.840087711644074,-0.6992207245312605,0.26431767423336017,-0.6992207245312605,57,0.7135143023934618,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.658702431025361,0.16193021718189501,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V8_X80S40D12_R60,80,40,-0.12,60,0.21402964231119848,-0.6992207245312606,0.3060973950030992,196.8465613603707,2249,-0.3610707709918244,-0.48802986161595185,-0.2761171221895632,-0.5621974099324105,0.42884813530115884,-0.6992207245312606,-0.251841051913711,-0.5138700072379752,123.04581304787747,-0.6992207245312606,0.34389128301554894,-0.6992207245312606,47,0.7622591943957968,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.5936903045244355,0.3508326994712259,2023-01-25,2023-02-28,1.0,1.0000000000000002,0
V8_X80S40D12_R80,80,40,-0.12,80,0.2073969438396468,-0.7234679073427754,0.28667055129148,169.56092333232783,2975,-0.28424537094054436,-0.42647013182127613,-0.30068677827037427,-0.5770570777032314,0.4288481353011584,-0.6992207245312605,-0.21690790879756094,-0.49117155705750615,114.02845105889116,-0.6992207245312605,0.3376869349766627,-0.6992207245312605,43,0.7482486865148862,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.156443435753415,0.30814663408792126,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V8_X80S40D12_R100,80,40,-0.12,100,0.2184903610825344,-0.6992207245312605,0.3124769524373075,217.52573435696155,2267,-0.28424537094054436,-0.42647013182127613,-0.28625134121636187,-0.5683265607581138,0.5730053196179596,-0.6992207245312605,-0.2169079087975594,-0.49117155705750515,127.23608489132289,-0.6992207245312605,0.3466315083844136,-0.6992207245312605,43,0.7460595446584939,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.298355888858257,0.32200078533425247,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V8_X80S40D15_R60,80,40,-0.15,60,0.25179797479523414,-0.6992207245312605,0.3601122878101661,453.4306290108806,2162,-0.3610707709918244,-0.48802986161595185,-0.2761171221895633,-0.5621974099324104,0.6475388370201063,-0.6992207245312605,-0.25184105191371153,-0.5138700072379756,240.12076496426596,-0.6992207245312605,0.39978821987357027,-0.6992207245312605,35,0.7842965557501459,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.593690304524435,0.3508326994712258,2023-01-25,2023-02-28,1.0,1.0,0
V8_X80S40D15_R80,80,40,-0.15,80,0.2477359578166376,-0.6992207245312605,0.354302939150886,415.0159535212227,2254,-0.28424537094054436,-0.42647013182127613,-0.3006867782703745,-0.5770570777032316,0.6475388370201063,-0.6992207245312605,-0.2169079087975596,-0.49117155705750537,236.58213068443783,-0.6992207245312605,0.3985199059884479,-0.6992207245312605,31,0.7699941622883829,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.1564434357534115,0.3081466340879209,2023-02-03,2023-02-28,1.0,1.0,0
V8_X80S40D15_R100,80,40,-0.15,100,0.25648224392391494,-0.6992207245312605,0.36681155881907535,501.9862308862963,2162,-0.28424537094054436,-0.42647013182127613,-0.28625134121636087,-0.5683265607581136,0.6475388370201063,-0.6992207245312605,-0.21690790879756028,-0.4911715570575057,238.1358041744959,-0.6992207245312605,0.3990789409167914,-0.6992207245312605,31,0.7694103911266783,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.298355888858252,0.32200078533425197,2023-02-03,2023-02-28,1.0,1.0,0
V8_X80S40D18_R60,80,40,-0.18,60,0.2806765642800735,-0.7126457496284335,0.3938514534415107,843.9102919386057,1002,-0.3610707709918244,-0.48802986161595185,-0.36627152017320264,-0.6167225688401717,0.6475388370201063,-0.6992207245312605,-0.24145313481595354,-0.507120267658622,274.8652786205,-0.7126457496284335,0.4113893975501617,-0.7126457496284335,26,0.8054582603619381,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.610817473942201,0.3525047331112896,2023-01-25,2023-02-28,1.0,1.0000000000000002,0
