core,core_pct,initial_cash_pct,budget_pct,ratchet,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,FinalMultiple,ActualEra_CAGR,ActualEra_MDD,Max_TQQQ_Weight,Avg_TQQQ_Weight,Min_Reserve_Cash_Pct,RatchetTrades,Avg_Actual_Funding_Pct,Min_Actual_Funding_Pct,Baseline_CAGR,Baseline_MDD,CAGR_Increment,MDD_Change
SPY,0.4,0.6,0.25,MILD,0.15120748964156872,-0.49019949439572996,0.3084611293366643,47.902310224339075,1160,-0.16779615217911625,-0.2570484943063376,-0.2225556750803125,-0.3892913910417686,0.3062333738653431,-0.050363332519880566,-0.20865935363923704,-0.3284557156376099,25.366982070141088,-0.49019949439572996,47.902310224339075,0.21860040211976384,-0.49019949439572996,0.878848135892434,0.3771250909932349,0.07034132189160658,3,0.25,0.25,0.05929784653910963,-0.21588127900813414,0.09190964310245908,-0.2743182153875958
SPY,0.4,0.6,0.25,BAL,0.14193013089649487,-0.39834584276356244,0.3562987626828009,38.35288304698009,1086,-0.16779615217911625,-0.2570484943063376,-0.17425583572480108,-0.3394242260163268,0.301763853409422,-0.05110951113117457,-0.15262848582269573,-0.27192971843448077,19.66694983051508,-0.39834584276356244,38.35288304698009,0.20079752054033784,-0.39834584276356244,0.800994333556278,0.31908864977083945,0.11416781940625428,6,0.25,0.25,0.05929784653910963,-0.21588127900813414,0.08263228435738523,-0.1824645637554283
SPY,0.6,0.4,0.1,NONE,0.1110365417146717,-0.46961307624745585,0.23644261058898325,18.051226090529,2113,-0.21407365384098065,-0.2957915444809259,-0.251918634213271,-0.3906458798457434,0.14356043567698307,-0.1026716374702723,-0.12148704976096947,-0.22257278845438822,12.359333067531155,-0.46961307624745585,18.051226090529,0.16955482968906455,-0.46961307624745585,0.8058303236843032,0.23200349095791728,0.04104258461976794,0,0.09999999999999999,0.1,0.07012439046792451,-0.32821330415372374,0.040912151246747186,-0.1413997720937321
SPY,0.6,0.4,0.1,MILD,0.10966753595567025,-0.43849011776125735,0.25010263974838404,17.44992106039972,2002,-0.21407365384098065,-0.2957915444809259,-0.251918634213271,-0.3906458798457434,0.14452398001117017,-0.1070348036456199,-0.12222793396539933,-0.22443851623335231,11.914319851675774,-0.43849011776125735,17.44992106039972,0.16716324835927976,-0.43849011776125735,0.7438360031178999,0.22007344838474105,0.0864074662048089,1,0.09999999999999999,0.1,0.07012439046792451,-0.32821330415372374,0.039543145487745734,-0.11027681360753361
SPY,0.6,0.4,0.1,BAL,0.1070336059346444,-0.3906458798457434,0.27399138569414677,16.34686456818676,1238,-0.21407365384098065,-0.2957915444809259,-0.251918634213271,-0.3906458798457434,0.14652410628697643,-0.11607680444198731,-0.1237484199302179,-0.22870030259557628,11.097970923471546,-0.3724466310570257,16.34686456818676,0.16256738840171026,-0.3724466310570257,0.6114936222572409,0.2047077725288513,0.13155956859947626,2,0.09999999999999999,0.1,0.07012439046792451,-0.32821330415372374,0.03690921546671988,-0.062432575692019654
SPY,0.6,0.4,0.15,NONE,0.12822644427599106,-0.4941213595513514,0.2595039493787865,27.52489691552377,2106,-0.22880498321672216,-0.31528206409819126,-0.2627831718125164,-0.41596691796081897,0.19619717812341375,-0.0766398966271955,-0.1551047658329724,-0.2627390059568452,17.87662793462185,-0.4941213595513514,27.52489691552377,0.19424137399642372,-0.4941213595513514,0.8663877089810205,0.29628484858683213,0.027107000644330075,0,0.15,0.15,0.07012439046792451,-0.32821330415372374,0.058102053808066545,-0.16590805539762765
SPY,0.6,0.4,0.15,MILD,0.12640632403941976,-0.42958074074094776,0.29425510049959896,26.330464918654783,1217,-0.22880498321672216,-0.31528206409819126,-0.2627831718125164,-0.41596691796081897,0.19701271945527998,-0.08065202699070462,-0.1555515932158792,-0.2639203098584275,17.057484143918423,-0.42958074074094776,26.330464918654783,0.19104447528093838,-0.42958074074094776,0.7513567799139514,0.27866103592462055,0.08585245619686305,2,0.15,0.15,0.07012439046792451,-0.32821330415372374,0.056281933571495246,-0.10136743658722402
SPY,0.6,0.4,0.15,BAL,0.12132852387696613,-0.4229399313998816,0.2868693988656567,23.25635386926726,1217,-0.22880498321672216,-0.31528206409819126,-0.2627831718125164,-0.41596691796081897,0.20054990583544985,-0.09800755438810582,-0.09845044091117239,-0.21314911941109316,14.949252796600623,-0.4229399313998816,23.25635386926726,0.18214374256057408,-0.4229399313998816,0.7197838402875797,0.24634467556349318,0.12180556890284998,4,0.15,0.15,0.07012439046792451,-0.32821330415372374,0.05120413340904162,-0.09472662724615788
SPY,0.6,0.4,0.2,NONE,0.14368828290258961,-0.507772109470767,0.2829778954428018,40.0089272289657,2010,-0.2433737900241727,-0.3344602540708428,-0.27129126428837524,-0.4375471435134668,0.25153688741069247,-0.06043879450050049,-0.18437319824290455,-0.29913716654408595,24.510131891873982,-0.507772109470767,40.0089272289657,0.21617037276781725,-0.507772109470767,0.9000777118610871,0.34824445372622365,0.01927316952651641,0,0.19999999999999998,0.2,0.07012439046792451,-0.32821330415372374,0.0735638924346651,-0.17955880531704327
SPY,0.6,0.4,0.2,MILD,0.13929286379851336,-0.4583959840060321,0.3038701660978783,35.99201856004565,1210,-0.2433737900241727,-0.3344602540708428,-0.27129126428837524,-0.4375471435134668,0.25294180976900993,-0.06797332035963655,-0.18487373431085874,-0.3008813954075388,21.948906759409674,-0.4583959840060321,35.99201856004565,0.2084204063504329,-0.4583959840060321,0.8040705208079524,0.3290542983931427,0.08818654947642945,2,0.19999999999999998,0.19999999999999998,0.07012439046792451,-0.32821330415372374,0.06916847333058884,-0.13018267985230836
