core,core_pct,initial_cash_pct,budget_pct,ratchet,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,FinalMultiple,ActualEra_CAGR,ActualEra_MDD,Max_TQQQ_Weight,Avg_TQQQ_Weight,Min_Reserve_Cash_Pct,RatchetTrades,Avg_Actual_Funding_Pct,Min_Actual_Funding_Pct,Baseline_CAGR,Baseline_MDD,CAGR_Increment,MDD_Change,MDD_floor
SPY,0.8,0.19999999999999996,0.2,NONE,0.14271208703625993,-0.5134007991193139,0.27797402590932424,39.08110265583524,1224,-0.33173332704131375,-0.4272328954051885,-0.33188947323535534,-0.5134007991193139,0.25625377029852947,-0.08567985783809007,-0.18603421938473907,-0.3049267290761436,25.96711780332677,-0.4997526944678087,39.08110265583524,0.2202585928136691,-0.4997526944678087,0.8723258941507892,0.33190539398579955,0.0,0,0.1973930826138527,0.18435849568311613,0.07865399990891064,-0.440978939050936,0.06405808712734928,-0.07242186006837792,-0.6
SPY,0.8,0.19999999999999996,0.2,NONE,0.14271208703625993,-0.5134007991193139,0.27797402590932424,39.08110265583524,1224,-0.33173332704131375,-0.4272328954051885,-0.33188947323535534,-0.5134007991193139,0.25625377029852947,-0.08567985783809007,-0.18603421938473907,-0.3049267290761436,25.96711780332677,-0.4997526944678087,39.08110265583524,0.2202585928136691,-0.4997526944678087,0.8723258941507892,0.33190539398579955,0.0,0,0.1973930826138527,0.18435849568311613,0.07865399990891064,-0.440978939050936,0.06405808712734928,-0.07242186006837792,-0.55
SPY,0.8,0.19999999999999996,0.15,MILD,0.12883728728067956,-0.4985851653323037,0.2584057774659428,27.937330900074212,1548,-0.31910218092484177,-0.41104213115548294,-0.32705539340578005,-0.4985851653323037,0.20206997296163554,-0.1054430237931322,-0.15826341236817787,-0.2710906280722625,19.686094764174218,-0.4029047080020607,27.937330900074212,0.20086470105631915,-0.4029047080020607,0.7547482178945767,0.2631497574043391,0.03402956004308617,2,0.15,0.15,0.07865399990891064,-0.440978939050936,0.050183287371768914,-0.05760622628136769,-0.5
QQQ,0.4,0.6,0.25,NONE,0.16067936322976561,-0.5188266706260787,0.3096975778748432,59.99843454672536,2655,-0.46879479157110093,-0.5013855142671539,-0.1819216216122428,-0.366540457629448,0.34096110088982434,-0.050724738196851304,-0.2168205366700766,-0.34154703250577945,33.98291867791198,-0.5188266706260787,59.99843454672536,0.23959752767208475,-0.5188266706260787,0.9261836876860909,0.4008277972900316,0.021616162705303154,0,0.25,0.25,0.07702498363098886,-0.4534727395353849,0.08365437959877675,-0.06535393109069376,-0.6
QQQ,0.4,0.6,0.25,NONE,0.16067936322976561,-0.5188266706260787,0.3096975778748432,59.99843454672536,2655,-0.46879479157110093,-0.5013855142671539,-0.1819216216122428,-0.366540457629448,0.34096110088982434,-0.050724738196851304,-0.2168205366700766,-0.34154703250577945,33.98291867791198,-0.5188266706260787,59.99843454672536,0.23959752767208475,-0.5188266706260787,0.9261836876860909,0.4008277972900316,0.021616162705303154,0,0.25,0.25,0.07702498363098886,-0.4534727395353849,0.08365437959877675,-0.06535393109069376,-0.55
QQQ,0.4,0.6,0.2,MILD,0.1418416262577209,-0.48795400886006435,0.29068646569598794,38.271289030291825,2737,-0.45820383164551415,-0.48795400886006435,-0.17012968398975492,-0.3405407965806555,0.29769098482925394,-0.0511435873642877,-0.19663812137948422,-0.31782848219057735,22.92897023914477,-0.4657599282544882,38.271289030291825,0.2114776595035397,-0.4657599282544882,0.8175569657170536,0.3372364650536806,0.09970104145470332,2,0.19999999999999998,0.2,0.07702498363098886,-0.4534727395353849,0.06481664262673204,-0.03448126932467943,-0.5
SPY_QQQ_50_50,0.4,0.6,0.25,NONE,0.16086608103706346,-0.5198541154793933,0.30944466196774795,60.26421188363001,1381,-0.3200190732202398,-0.37235623478043356,-0.20318366178145986,-0.38028240072194364,0.32091953816164387,-0.050294328648558095,-0.2118808616722041,-0.3336815424272912,32.565944464750885,-0.5198541154793933,60.26421188363001,0.23650454933342235,-0.5198541154793933,0.931828433841986,0.40232184181386926,0.020833774307229533,0,0.25,0.25,0.07026262620298396,-0.3084567519723044,0.0906034548340795,-0.21139736350708893,-0.6
SPY_QQQ_50_50,0.4,0.6,0.25,NONE,0.16086608103706346,-0.5198541154793933,0.30944466196774795,60.26421188363001,1381,-0.3200190732202398,-0.37235623478043356,-0.20318366178145986,-0.38028240072194364,0.32091953816164387,-0.050294328648558095,-0.2118808616722041,-0.3336815424272912,32.565944464750885,-0.5198541154793933,60.26421188363001,0.23650454933342235,-0.5198541154793933,0.931828433841986,0.40232184181386926,0.020833774307229533,0,0.25,0.25,0.07026262620298396,-0.3084567519723044,0.0906034548340795,-0.21139736350708893,-0.55
SPY_QQQ_50_50,0.4,0.6,0.25,MILD,0.15368367809492312,-0.48781004001095585,0.31504820624739804,50.81559258394415,1381,-0.3200190732202398,-0.37235623478043356,-0.20318366178145986,-0.38028240072194364,0.3252150728545209,-0.051364846646138385,-0.21276327065711154,-0.33611297627682657,27.303255038159726,-0.48781004001095585,50.81559258394415,0.22382922236107428,-0.48781004001095585,0.8686736937372381,0.3732076765274375,0.07010169923673165,3,0.25,0.25,0.07026262620298396,-0.3084567519723044,0.08342105189193916,-0.17935328803865147,-0.5
SPY_QQQ_50_50,0.4,0.6,0.25,BAL,0.1450368908930566,-0.3897403658895763,0.37213720616804,41.32569437317457,1381,-0.3200190732202398,-0.37235623478043356,-0.1532420194892975,-0.3292326413972684,0.3227219129570922,-0.05205163837828575,-0.1598187374944161,-0.28339873641402535,21.472288187745075,-0.3897403658895763,41.32569437317457,0.2068890154403349,-0.3897403658895763,0.8023635166627838,0.31479436173661196,0.10467359182912515,6,0.25,0.25,0.07026262620298396,-0.3084567519723044,0.07477426469007264,-0.0812836139172719,-0.45
