strategy,exit_ma,exit_slope,exit_dd,resume_ma,level_mult,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
V10_X80S20D15_R100L1p02,80,20,-0.15,100,1.02,0.1738548244333149,-0.7160125348157338,0.2428097498014564,78.71656935412688,2241,-0.44446180490893883,-0.48269317432993064,-0.33261209361748234,-0.5964181217430438,-0.20360488969675183,-0.7160125348157338,-0.21690790879756028,-0.4911715570575057,68.0385924776146,-0.7160125348157338,0.29646423175867964,-0.7160125348157338,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.298355888858256,0.32200078533425236,2023-02-03,2023-02-28,1.0,1.0,0
V10_X80S20D18_R60L0p98,80,20,-0.18,60,0.98,0.23321693288523115,-0.7286880718567741,0.32005043295270336,301.7274933084738,1136,-0.44446180490893883,-0.48269317432993064,-0.3409957153605917,-0.6014617606626688,-0.20360488969675183,-0.7160125348157338,-0.2060349576096746,-0.49034666595960474,138.57541550796887,-0.7286880718567741,0.3536457223005147,-0.7286880718567741,28,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.34980028235295,0.32702302540309763,2023-02-03,2023-02-28,1.0,1.0,0
V10_X80S20D18_R60L1p00,80,20,-0.18,60,1.0,0.23321693288523115,-0.7286880718567741,0.32005043295270336,301.7274933084738,1136,-0.44446180490893883,-0.48269317432993064,-0.3409957153605917,-0.6014617606626688,-0.20360488969675183,-0.7160125348157338,-0.2060349576096746,-0.49034666595960474,138.57541550796887,-0.7286880718567741,0.3536457223005147,-0.7286880718567741,28,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.34980028235295,0.32702302540309763,2023-02-03,2023-02-28,1.0,1.0,0
V10_X80S20D18_R60L1p02,80,20,-0.18,60,1.02,0.23321693288523115,-0.7286880718567741,0.32005043295270336,301.7274933084738,1136,-0.44446180490893883,-0.48269317432993064,-0.3409957153605917,-0.6014617606626688,-0.20360488969675183,-0.7160125348157338,-0.2060349576096746,-0.49034666595960474,138.57541550796887,-0.7286880718567741,0.3536457223005147,-0.7286880718567741,28,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.34980028235295,0.32702302540309763,2023-02-03,2023-02-28,1.0,1.0,0
V10_X80S20D18_R80L0p98,80,20,-0.18,80,0.98,0.22892528259379197,-0.7337066572114602,0.31201200145007524,274.39646783636283,1136,-0.44446180490893883,-0.48269317432993064,-0.3633632959812949,-0.614988738265991,-0.20360488969675217,-0.7160125348157339,-0.2060349576096756,-0.49034666595960474,130.39206134855272,-0.7337066572114602,0.3486404142551769,-0.7337066572114602,28,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.17194036875941,0.30965951649550466,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D18_R80L1p00,80,20,-0.18,80,1.0,0.22892528259379197,-0.7337066572114602,0.31201200145007524,274.39646783636283,1136,-0.44446180490893883,-0.48269317432993064,-0.3633632959812949,-0.614988738265991,-0.20360488969675217,-0.7160125348157339,-0.2060349576096756,-0.49034666595960474,130.39206134855272,-0.7337066572114602,0.3486404142551769,-0.7337066572114602,28,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.17194036875941,0.30965951649550466,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D18_R80L1p02,80,20,-0.18,80,1.02,0.22892528259379197,-0.7337066572114602,0.31201200145007524,274.39646783636283,1136,-0.44446180490893883,-0.48269317432993064,-0.3633632959812949,-0.614988738265991,-0.20360488969675217,-0.7160125348157339,-0.2060349576096756,-0.49034666595960474,130.39206134855272,-0.7337066572114602,0.3486404142551769,-0.7337066572114602,28,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.17194036875941,0.30965951649550466,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D18_R100L0p98,80,20,-0.18,100,0.98,0.2301418905587771,-0.7408145334586953,0.31066060419238367,281.8921061555917,1136,-0.44446180490893883,-0.48269317432993064,-0.3502216467437663,-0.6070412182404131,-0.20360488969675217,-0.716012534815734,-0.20603495760967494,-0.49034666595960474,131.25130257992518,-0.7408145334586953,0.34917951069142816,-0.7408145334586953,28,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.314381929937653,0.3235653217236688,2023-02-03,2023-02-28,1.0,1.0,0
V10_X80S20D18_R100L1p00,80,20,-0.18,100,1.0,0.2301418905587771,-0.7408145334586953,0.31066060419238367,281.8921061555917,1136,-0.44446180490893883,-0.48269317432993064,-0.3502216467437663,-0.6070412182404131,-0.20360488969675217,-0.716012534815734,-0.20603495760967494,-0.49034666595960474,131.25130257992518,-0.7408145334586953,0.34917951069142816,-0.7408145334586953,28,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.314381929937653,0.3235653217236688,2023-02-03,2023-02-28,1.0,1.0,0
V10_X80S20D18_R100L1p02,80,20,-0.18,100,1.02,0.2301418905587771,-0.7408145334586953,0.31066060419238367,281.8921061555917,1136,-0.44446180490893883,-0.48269317432993064,-0.3502216467437663,-0.6070412182404131,-0.20360488969675217,-0.716012534815734,-0.20603495760967494,-0.49034666595960474,131.25130257992518,-0.7408145334586953,0.34917951069142816,-0.7408145334586953,28,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.314381929937653,0.3235653217236688,2023-02-03,2023-02-28,1.0,1.0,0
