policy,form,exit_ma,slope_lb,campaigns,CAGR_Median,CAGR_Min,MDD_Median,MDD_Worst,WinRate,DiffCAGR_Median,DiffCAGR_Min
L25_50_PB75_XMA100_S30,L25_50_PB75,100,30,2,0.11122391372102158,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.08618975292906839,0.004513616684773014
L25_50_PB75_XMA100_S50,L25_50_PB75,100,50,2,0.09963356419797675,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.07459940340602356,0.004513616684773014
L25_50_PB75_XMA110_S10,L25_50_PB75,110,10,2,0.1089602130435986,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.0839260522516454,0.004513616684773014
L25_50_PB75_XMA110_S20,L25_50_PB75,110,20,2,0.10091711704229545,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.07588295625034225,0.004513616684773014
L25_50_PB75_XMA110_S30,L25_50_PB75,110,30,2,0.11122391372102158,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.08618975292906839,0.004513616684773014
L25_50_PB75_XMA110_S50,L25_50_PB75,110,50,2,0.10066415813283747,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.07562999734088427,0.004513616684773014
L25_50_PB75_XMA120_S10,L25_50_PB75,120,10,2,0.03061740907777699,0.011852519368673153,-0.03275982930808552,-0.06551965861617104,1.0,0.005583248285823794,0.004513616684773014
L25_50_PB75_XMA120_S20,L25_50_PB75,120,20,2,0.1034633929232116,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.07842923213125841,0.004513616684773014
L25_50_PB75_XMA120_S30,L25_50_PB75,120,30,2,0.10993876051539297,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.08490459972343978,0.004513616684773014
L25_50_PB75_XMA120_S50,L25_50_PB75,120,50,2,0.1106321397044826,0.05470579970811751,-0.16453990928736856,-0.31672818464959873,1.0,0.0855979789125294,0.009837117606009693
L25_50_PB75_XMA130_S10,L25_50_PB75,130,10,2,0.024982295168600732,0.000582291550320635,-0.017078241943477068,-0.034156483886954137,0.5,-5.186562335246503e-05,-0.004617347931477944
L25_50_PB75_XMA130_S20,L25_50_PB75,130,20,2,0.022930278495195244,-0.003521741796490341,-0.026194174520999203,-0.052388349041998405,0.5,-0.002103882296757953,-0.00872138127828892
L25_50_PB75_XMA130_S30,L25_50_PB75,130,30,2,0.021785515382066634,-0.005811268022747562,-0.0328761321495975,-0.065752264299195,0.5,-0.0032486454098865636,-0.011010907504546141
L25_50_PB75_XMA130_S50,L25_50_PB75,130,50,2,0.11101400510683224,0.046755210828660854,-0.17029983259994363,-0.31672818464959873,1.0,0.08597984431487904,0.0018865287265530384
L25_50_PB75_XMA90_S10,L25_50_PB75,90,10,2,0.025093432978096186,0.000804567169311543,-0.03275982930808552,-0.06551965861617104,0.5,5.9272186142989014e-05,-0.004395072312487036
L25_50_PB75_XMA90_S20,L25_50_PB75,90,20,2,0.03224749503528035,0.015112691283679869,-0.03275982930808552,-0.06551965861617104,1.0,0.007213334243327152,0.004513616684773014
L25_50_PB75_XMA90_S30,L25_50_PB75,90,30,2,0.10798700301028352,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.08295284221833032,0.004513616684773014
L25_50_PB75_XMA90_S50,L25_50_PB75,90,50,2,0.09963356419797675,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.07459940340602356,0.004513616684773014
