campaign_full_date,age_td,policy,form,exit_ma,slope_lb,CAGR,MDD,Return,WinWait,DiffCAGR,event_count
1988-04-08,505,L25_50_PB5_XMA130_S20,L25_50_PB5,130,20,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB75_XMA130_S20,L25_50_PB75,130,20,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I25_XMA130_S30,I25,130,30,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I50_XMA130_S30,I50,130,30,0.09507849435288951,0.0,0.041884495925175846,True,0.016426841635706735,2
1988-04-08,505,L25_50_PB3_XMA130_S30,L25_50_PB3,130,30,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB5_XMA130_S30,L25_50_PB5,130,30,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB75_XMA130_S30,L25_50_PB75,130,30,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I25_XMA130_S50,I25,130,50,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I50_XMA130_S50,I50,130,50,0.09507849435288951,0.0,0.041884495925175846,True,0.016426841635706735,2
1988-04-08,505,L25_50_PB3_XMA130_S50,L25_50_PB3,130,50,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB5_XMA130_S50,L25_50_PB5,130,50,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB75_XMA130_S50,L25_50_PB75,130,50,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
2002-12-12,505,I25_XMA90_S10,I25,90,10,0.018478126519112736,-0.06898826800031344,0.05960876543890903,False,-0.022012048701091302,2
2002-12-12,505,I50_XMA90_S10,I50,90,10,-0.004613644349075741,-0.14248885713866344,-0.014517004088745011,False,-0.04510381956927978,2
2002-12-12,505,L25_50_PB3_XMA90_S10,L25_50_PB3,90,10,0.0006378921339542654,-0.12173478816034233,0.0020185866970245936,False,-0.03985228308624977,3
2002-12-12,505,L25_50_PB5_XMA90_S10,L25_50_PB5,90,10,0.010173303474044992,-0.09527323079522532,0.032526095865545335,False,-0.030316871746159046,3
2002-12-12,505,L25_50_PB75_XMA90_S10,L25_50_PB75,90,10,0.012689739128504574,-0.0881920291855538,0.0406817887429205,False,-0.027800436091699465,3
2002-12-12,505,I25_XMA90_S20,I25,90,20,0.0199099009577155,-0.07012305818675824,0.06432645158943129,False,-0.02058027426248854,2
2002-12-12,505,I50_XMA90_S20,I50,90,20,-0.0016097503715160055,-0.14517813977544547,-0.005081631787701157,False,-0.042099925591720044,2
2002-12-12,505,L25_50_PB3_XMA90_S20,L25_50_PB3,90,20,0.0038068217275544214,-0.12464557367143847,0.012087865124986052,False,-0.03668335349264962,3
2002-12-12,505,L25_50_PB5_XMA90_S20,L25_50_PB5,90,20,0.013595763011477136,-0.09851086451756508,0.0436289363576412,False,-0.026894412208726903,3
2002-12-12,505,L25_50_PB75_XMA90_S20,L25_50_PB75,90,20,0.016172645140053454,-0.09151093478049721,0.05204230261786913,False,-0.024317530080150584,3
2002-12-12,505,I25_XMA90_S30,I25,90,30,0.019404273830607277,-0.07012305818675824,0.06265877704658385,False,-0.021085901389596762,2
2002-12-12,505,I50_XMA90_S30,I50,90,30,-0.002669374678381242,-0.14517813977544547,-0.008416980873408808,False,-0.04315954989858528,2
