policy,form,exit_ma,slope_lb,campaigns_cur,CAGR_Median_cur,CAGR_Min_cur,MDD_Median_cur,MDD_Worst_cur,WinRate_cur,DiffCAGR_Median_cur,DiffCAGR_Min_cur,n,campaigns_all,CAGR_Median_all,CAGR_Min_all,MDD_Median_all,MDD_Worst_all,WinRate_all,DiffCAGR_Median_all,DiffCAGR_Min_all
I50_XMA110_S20,I50,110,20,2,0.08898581646023462,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.06395165566828143,0.009014208032205762,9,3,0.05388289013431358,-0.07589797413163835,-0.18669797916276376,-0.31672480618327614,0.5555555555555556,0.009014208032205762,-0.11809535353139111
I50_XMA110_S50,I50,110,50,2,0.08875419655042827,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.06372003575847507,0.009014208032205762,9,3,0.05388289013431358,-0.06179719375895598,-0.20469098381692152,-0.3411325832304861,0.5555555555555556,0.009014208032205762,-0.10399457315870875
I50_XMA100_S50,I50,100,50,2,0.08781087623481865,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.06277671544286545,0.009014208032205762,9,3,0.05388289013431358,-0.0833159415990804,-0.20484388065355896,-0.3411325832304861,0.5555555555555556,0.009014208032205762,-0.12551332099883317
I50_XMA90_S50,I50,90,50,2,0.08781087623481865,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.06277671544286545,0.009014208032205762,9,3,0.05388289013431358,-0.0879027206662969,-0.20469098381692152,-0.3411325832304861,0.5555555555555556,0.009014208032205762,-0.13010010006604966
I25_XMA120_S50,I25,120,50,2,0.06805786032138783,0.05470579970811751,-0.11584062714275123,-0.21932962036036407,1.0,0.043023699529434634,0.009837117606009693,9,3,0.05470579970811751,-0.009572726505385654,-0.104711894054897,-0.22878770520725933,0.5555555555555556,0.008196406138721857,-0.05177010590513842
I25_XMA100_S30,I25,100,30,2,0.06734504841389188,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.042310887621938686,0.004513616684773014,9,3,0.04938229878688083,-0.02127819758218319,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.06347557698193595
I25_XMA110_S30,I25,110,30,2,0.06734504841389188,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.042310887621938686,0.004513616684773014,9,3,0.04938229878688083,-0.012401965083109312,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.05459934448286208
I25_XMA130_S50,I25,130,50,2,0.06669709265688073,0.046755210828660854,-0.1216005504553263,-0.21932962036036407,1.0,0.04166293186492753,0.0018865287265530384,9,3,0.046755210828660854,-0.009572726505385654,-0.11322494323442867,-0.22878770520725933,0.5555555555555556,0.0018865287265530384,-0.05177010590513842
I25_XMA120_S30,I25,120,30,2,0.06657284179306266,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.04153868100110947,0.004513616684773014,9,3,0.04938229878688083,-0.01188340832341861,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.054080787723171375
I25_XMA110_S10,I25,110,10,2,0.06598693554257884,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.04095277475062564,0.004513616684773014,9,3,0.04938229878688083,-0.002940440253943466,-0.08959013169559915,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.040920473758722986
I25_XMA90_S30,I25,90,30,2,0.06540601135665325,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.04037185056470005,0.004513616684773014,9,3,0.019404273830607277,-0.0036904495758455225,-0.0702767739941157,-0.21932962036036407,0.4444444444444444,-0.005247337185734113,-0.04588782897559829
I25_XMA100_S20,I25,100,20,2,0.06485551594693184,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.039821355154978644,0.004513616684773014,9,3,0.04938229878688083,-0.01188340832341861,-0.07012305818675824,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.054080787723171375
I25_XMA100_S10,I25,100,10,2,0.0642262207390446,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.03919205994709141,0.004513616684773014,9,3,0.02245202122204648,-0.01579415709266918,-0.07012305818675824,-0.21932962036036407,0.4444444444444444,-0.005247337185734113,-0.05799153649242195
