policy,form,exit_ma,slope_lb,n,campaigns,CAGR_Median,CAGR_Min,MDD_Median,MDD_Worst,WinRate,DiffCAGR_Median,DiffCAGR_Min
I25_XMA90_S10,I25,90,10,9,3,0.013741537045151464,-0.0026490900628809433,-0.06898826800031344,-0.14986927472312594,0.3333333333333333,-0.005439501194021368,-0.03283878832428
I25_XMA90_S20,I25,90,20,9,3,0.01582819710025829,-0.016555201243012574,-0.06907570284106501,-0.21502279148807657,0.3333333333333333,-0.002100237097453883,-0.05875258064276534
I25_XMA90_S30,I25,90,30,9,3,0.019404273830607277,-0.0036904495758455225,-0.0702767739941157,-0.21932962036036407,0.4444444444444444,-0.005247337185734113,-0.04588782897559829
I25_XMA90_S50,I25,90,50,9,3,0.04938229878688083,-0.022492294521603284,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.06468967392135605
I50_XMA100_S10,I50,100,10,9,3,-0.0005148636174291399,-0.07436015902651494,-0.14517813977544547,-0.31551821492438126,0.4444444444444444,-0.010655649789083177,-0.1165575384262677
I50_XMA100_S20,I50,100,20,9,3,0.05388289013431358,-0.06646141519562943,-0.15056778448505082,-0.31657953910795433,0.5555555555555556,0.009014208032205762,-0.10865879459538219
I50_XMA100_S30,I50,100,30,9,3,0.05388289013431358,-0.08544668527122445,-0.20469098381692152,-0.3245539951301367,0.5555555555555556,0.009014208032205762,-0.12764406467097722
I50_XMA100_S50,I50,100,50,9,3,0.05388289013431358,-0.0833159415990804,-0.20484388065355896,-0.3411325832304861,0.5555555555555556,0.009014208032205762,-0.12551332099883317
I50_XMA110_S10,I50,110,10,9,3,0.05388289013431358,-0.03992376494080496,-0.18521307622941374,-0.30797048017168016,0.5555555555555556,0.009014208032205762,-0.08212114434055773
I50_XMA110_S20,I50,110,20,9,3,0.05388289013431358,-0.07589797413163835,-0.18669797916276376,-0.31672480618327614,0.5555555555555556,0.009014208032205762,-0.11809535353139111
I50_XMA110_S30,I50,110,30,9,3,0.05388289013431358,-0.06750842961421077,-0.20469098381692152,-0.31657953910795433,0.5555555555555556,0.009014208032205762,-0.10970580901396354
I50_XMA110_S50,I50,110,50,9,3,0.05388289013431358,-0.06179719375895598,-0.20469098381692152,-0.3411325832304861,0.5555555555555556,0.009014208032205762,-0.10399457315870875
I50_XMA120_S10,I50,120,10,9,3,0.004018537088226193,-0.01943681875787051,-0.15038605305322783,-0.29937520790863137,0.4444444444444444,-0.0065489317105758005,-0.05992699397807455
I50_XMA120_S20,I50,120,20,9,3,0.05388289013431358,-0.07029956877134957,-0.20469098381692152,-0.31207564374274976,0.5555555555555556,0.009014208032205762,-0.11249694817110234
I50_XMA120_S30,I50,120,30,9,3,0.05388289013431358,-0.06646141519562943,-0.20469098381692152,-0.31657953910795433,0.5555555555555556,0.009014208032205762,-0.10865879459538219
I50_XMA120_S50,I50,120,50,9,3,0.06448156558812279,-0.06179719375895598,-0.20730116422403433,-0.3411325832304861,0.5555555555555556,0.016426841635706735,-0.10399457315870875
I50_XMA130_S10,I50,130,10,9,3,-0.004148190585004818,-0.0236589291362449,-0.16354221642787137,-0.29937520790863137,0.3333333333333333,-0.009347830066803398,-0.06695129965746305
I50_XMA130_S20,I50,130,20,9,3,-0.012657609074177456,-0.0537665394151956,-0.16354221642787137,-0.3153723098613995,0.3333333333333333,-0.016976323212227973,-0.09596391881494837
I50_XMA130_S30,I50,130,30,9,3,-0.008288197971820122,-0.06750842961421077,-0.18653932250351746,-0.31657953910795433,0.3333333333333333,-0.021674902126997297,-0.10970580901396354
I50_XMA130_S50,I50,130,50,9,3,0.04863945458063279,-0.06179719375895598,-0.2241531390756477,-0.3411325832304861,0.5555555555555556,0.003770772478524975,-0.10399457315870875
I50_XMA90_S10,I50,90,10,9,3,-0.0057405462699432475,-0.0236589291362449,-0.14248885713866344,-0.27191227015220343,0.3333333333333333,-0.011084031125307647,-0.06585630853599767
I50_XMA90_S20,I50,90,20,9,3,0.0006572225592293979,-0.07589797413163835,-0.14517813977544547,-0.31672480618327614,0.3333333333333333,-0.004225713296612366,-0.11809535353139111
