budget_pct,harvest_cap,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,Max_TQQQ_Weight,Avg_TQQQ_Weight,Days_TQQQ_Over25,Days_TQQQ_Over50,HarvestCount,TotalTradeEvents,ActualEra_CAGR,ActualEra_MDD,FinalMultiple,score
0.2,0.6,0.1355388352194029,-0.3257090214744076,0.41613472849431893,32.87154834969813,1033,0.034227603743959945,-0.07232414193789882,-0.10177867087710402,-0.2666156068106539,0.2402343516460832,-0.0365509216775779,-0.18015670233440084,-0.2860662892031728,16.017404614120913,-0.3257090214744076,0.6103050764428132,0.32888199295657994,4811,2135,176,191,0.18678297559338897,-0.3257090214744076,32.87154834969813,-0.025210337524153165
0.15,0.6,0.12071802096104478,-0.3257090214744077,0.37063149314864796,22.910932880761106,1096,0.05167500969666805,-0.05400648370124772,-0.0802118658775367,-0.21772385506682979,0.1806349850447755,-0.027952905957016494,-0.14602938904864138,-0.24046627955898559,11.864246261230704,-0.3257090214744077,0.60940879088632,0.2900709596462117,4187,1630,153,168,0.16688931422379816,-0.3257090214744077,22.910932880761106,-0.07054282374741891
0.05,0.4,0.07012401699967752,-0.21479400987500208,0.32647100838838905,6.438426671393375,2010,0.08708494941743261,-0.01720372783265356,-0.019658825468885976,-0.08519974189332413,0.06143625184215895,-0.009891013265845072,-0.045428018679158466,-0.10553284180394296,3.3098096847840157,-0.21479400987500208,0.409483061147183,0.14497726209466302,1538,0,131,146,0.09228089071291024,-0.21479400987500208,6.438426671393375,-0.08161262760461441
0.1,0.6,0.10248241841013339,-0.3257090214744085,0.31464408921257225,14.597326978224698,2098,0.06929386984979513,-0.0355426042109005,-0.05335776779135537,-0.15847809396475376,0.12103561844346711,-0.01919641629998936,-0.10244232685639931,-0.1822975089576767,7.9279429575554285,-0.3257090214744085,0.6094087908863203,0.24118359135763792,2727,1300,128,143,0.1414186548828984,-0.3257090214744085,14.597326978224698,-0.1273905563219622
0.05,0.6,0.07654535791322004,-0.32570902147440817,0.23501147609211803,7.588793487615462,2612,0.08708494941743261,-0.01720372783265356,-0.019658825468885976,-0.08519974189332413,0.06143625184215962,-0.00989101326584474,-0.04542801867915547,-0.10553284180394185,4.079852165447252,-0.32570902147440817,0.6094087908863202,0.1757020960088092,1539,1024,76,91,0.10318396897978332,-0.32570902147440817,7.588793487615462,-0.2098524260382807
0.25,none,0.16299832802652547,-0.5303299846390784,0.3073526535322261,63.38088376644566,2106,0.01695088677758827,-0.09140046528148482,-0.11917648780987455,-0.3076494895394146,0.2998337182473909,-0.0450109573704508,-0.20736882094980613,-0.3227740164490952,29.37126466683905,-0.5303299846390784,0.9689728789739029,0.42965850188013116,4980,2727,0,15,0.22905492054770216,-0.5303299846390784,63.38088376644566,-0.21029961342743364
0.2,none,0.14661804040759052,-0.5248292353000329,0.2793633253371877,42.92272357302684,2141,0.034227603743959945,-0.07232414193789882,-0.10177867087710402,-0.2666156068106539,0.24023435164608253,-0.0365509216775779,-0.1801567023344013,-0.28606628920317245,21.22083810630634,-0.5248292353000329,0.9590539842934914,0.38766348925192784,4811,2183,0,15,0.2060687577044631,-0.5248292353000329,42.92272357302684,-0.25401872086465094
0.15,none,0.1276383525077509,-0.5159073814584412,0.2474055559099086,27.133371615590235,2577,0.05167500969666805,-0.05400648370124772,-0.0802118658775367,-0.21772385506682979,0.18063498504477526,-0.027952905957016494,-0.1460293890486407,-0.24046627955898559,14.235100909118655,-0.5159073814584412,0.9429661891306372,0.337640992325024,4187,1677,0,15,0.17887625329185353,-0.5159073814584412,27.133371615590235,-0.3016804829462718
0.1,none,0.10461474776246926,-0.49893249141802254,0.20967715986012922,15.39329530461067,2806,0.06929386984979513,-0.0355426042109005,-0.05335776779135537,-0.15847809396475376,0.12103561844346711,-0.019196416299989583,-0.10244232685639865,-0.18229750895767627,8.414769061032839,-0.49893249141802254,0.912357241850067,0.27501073625564887,2727,1347,0,15,0.14508614590803148,-0.49893249141802254,15.39329530461067,-0.3518301404873733
0.05,none,0.07400640462798047,-0.4540331828767806,0.1629977883093733,7.112061128496034,2923,0.08708494941743261,-0.01720372783265356,-0.019658825468885976,-0.08519974189332413,0.06143625184215895,-0.00989101326584485,-0.0454280186791588,-0.1055328418039424,3.760732939082252,-0.4540331828767806,0.8313952700905705,0.18772502448502595,1539,1044,0,15,0.09886782094157898,-0.4540331828767806,7.112061128496034,-0.389371616102521
