date,reason,target,price,notional,fee,campaign_full_date,start_date,age_td,policy
2005-01-21,ADD_PB5,0.5,0.425554,0.2743982801715734,0.0001371991400857867,2002-12-12,2004-12-15,505,L25_50_PB5_X60
2005-01-24,EARLY_EXIT_MA60_3D,0.0,0.407529,-0.4569281641989077,0.00022846408209945386,2002-12-12,2004-12-15,505,L25_50_PB5_X60
2004-12-16,INITIAL,0.25,0.524799,0.25002149801642176,0.0001250107490082109,2002-12-12,2004-12-15,505,L25_50_PB5_X80
2005-01-21,ADD_PB5,0.5,0.425554,0.2743982801715734,0.0001371991400857867,2002-12-12,2004-12-15,505,L25_50_PB5_X80
2005-01-25,EARLY_EXIT_MA80_3D,0.0,0.413448,-0.46356464357557375,0.00023178232178778688,2002-12-12,2004-12-15,505,L25_50_PB5_X80
2004-12-16,INITIAL,0.25,0.524799,0.25002149801642176,0.0001250107490082109,2002-12-12,2004-12-15,505,L25_50_PB5_X100
2005-01-21,ADD_PB5,0.5,0.425554,0.2743982801715734,0.0001371991400857867,2002-12-12,2004-12-15,505,L25_50_PB5_X100
2005-01-26,EARLY_EXIT_MA100_3D,0.0,0.428209,-0.48011491762169095,0.00024005745881084547,2002-12-12,2004-12-15,505,L25_50_PB5_X100
2004-12-16,INITIAL,0.25,0.524799,0.25002149801642176,0.0001250107490082109,2002-12-12,2004-12-15,505,L25_50_PB5_X110NEG20
2005-01-21,ADD_PB5,0.5,0.425554,0.2743982801715734,0.0001371991400857867,2002-12-12,2004-12-15,505,L25_50_PB5_X110NEG20
2005-04-20,EARLY_EXIT_MA110_NEG20,0.0,0.338324,-0.37933438902367994,0.00018966719451183998,2002-12-12,2004-12-15,505,L25_50_PB5_X110NEG20
2005-12-14,INITIAL,0.25,0.548438,0.25003796626887625,0.00012501898313443813,2002-12-12,2005-12-13,756,HOLD25
2008-02-13,BASE_V7_EXIT,0.0,0.446508,-0.2035671347404509,0.00010178356737022545,2002-12-12,2005-12-13,756,HOLD25
2005-12-14,INITIAL,0.5,0.548438,0.5000759325377525,0.00025003796626887626,2002-12-12,2005-12-13,756,HOLD50
2008-02-13,BASE_V7_EXIT,0.0,0.446508,-0.4071342694809018,0.0002035671347404509,2002-12-12,2005-12-13,756,HOLD50
2005-12-14,INITIAL,1.0,0.548438,0.9996520390559771,0.0004998260195279886,2002-12-12,2005-12-13,756,HOLD100
2008-02-13,BASE_V7_EXIT,0.0,0.446508,-0.8138616081577247,0.00040693080407886237,2002-12-12,2005-12-13,756,HOLD100
2005-12-14,INITIAL,0.25,0.548438,0.25003796626887625,0.00012501898313443813,2002-12-12,2005-12-13,756,I25_X60_3D
2006-02-07,EARLY_EXIT_MA60_3D,0.0,0.491243,-0.22396223577473037,0.00011198111788736519,2002-12-12,2005-12-13,756,I25_X60_3D
2005-12-14,INITIAL,0.25,0.548438,0.25003796626887625,0.00012501898313443813,2002-12-12,2005-12-13,756,I25_X80_3D
2006-02-14,EARLY_EXIT_MA80_3D,0.0,0.499313,-0.22764142355491673,0.00011382071177745838,2002-12-12,2005-12-13,756,I25_X80_3D
2005-12-14,INITIAL,0.25,0.548438,0.25003796626887625,0.00012501898313443813,2002-12-12,2005-12-13,756,I25_X100_3D
2006-03-10,EARLY_EXIT_MA100_3D,0.0,0.48167,-0.21959781636708184,0.00010979890818354093,2002-12-12,2005-12-13,756,I25_X100_3D
2005-12-14,INITIAL,0.25,0.548438,0.25003796626887625,0.00012501898313443813,2002-12-12,2005-12-13,756,I25_X110NEG20
2006-05-19,EARLY_EXIT_MA110_NEG20,0.0,0.426929,-0.19464088721278444,9.732044360639222e-05,2002-12-12,2005-12-13,756,I25_X110NEG20
2005-12-14,INITIAL,0.25,0.548438,0.25003796626887625,0.00012501898313443813,2002-12-12,2005-12-13,756,I25_XDD63_10
2006-06-09,EARLY_EXIT_DD63_10,0.0,0.384235,-0.1751762969913129,8.758814849565645e-05,2002-12-12,2005-12-13,756,I25_XDD63_10
2005-12-14,INITIAL,0.5,0.548438,0.5000759325377525,0.00025003796626887626,2002-12-12,2005-12-13,756,I50_X60_3D
