campaign_full_date,start_date,exit_date,age_td,policy,CAGR,MDD,Return,DiffCAGR_vs_Wait,Win_vs_Wait,event_count
2002-12-12,2005-12-13,2008-02-13,756,I25_X110NEG20,0.01582819710025829,-0.06907570284106501,0.03463987531147472,-0.02900318050812767,False,2
2002-12-12,2005-12-13,2008-02-13,756,I25_XDD63_10,0.006043215058963103,-0.08185950854512591,0.013150522982411372,-0.038788162549422855,False,2
2002-12-12,2005-12-13,2008-02-13,756,I50_X60_3D,0.017804109944829394,-0.09250001187654844,0.03900879335530272,-0.027027267663556565,False,2
2002-12-12,2005-12-13,2008-02-13,756,I50_X80_3D,0.021233093594625663,-0.09756880428386938,0.04661412952056376,-0.023598284013760296,False,2
2002-12-12,2005-12-13,2008-02-13,756,I50_X100_3D,0.012639237749734411,-0.09989633802074582,0.02760972320810895,-0.03219213985865155,False,2
2002-12-12,2005-12-13,2008-02-13,756,I50_X110NEG20,-0.014176419255835238,-0.15038605305322783,-0.030486074356603998,-0.059007796864221196,False,2
2002-12-12,2005-12-13,2008-02-13,756,L25_50_PB5_X60,0.02952020414667267,-0.049558907366929805,0.06511804663872889,-0.01531117346171329,False,3
2002-12-12,2005-12-13,2008-02-13,756,L25_50_PB5_X80,0.03317557704830776,-0.055190072070883334,0.07333552416240763,-0.0116558005600782,False,3
2002-12-12,2005-12-13,2008-02-13,756,L25_50_PB5_X100,0.024012865759372115,-0.05791431504365985,0.05280148354539804,-0.020818511849013843,False,3
2002-12-12,2005-12-13,2008-02-13,756,L25_50_PB5_X110NEG20,-0.004610389690617223,-0.13005751356015582,-0.009970351957260037,-0.04944176729900318,False,3
2002-12-12,2005-12-13,2008-02-13,756,WAIT_NEXT,0.04483137760838596,0.0,0.09976582497955522,0.0,False,0
2002-12-12,2006-06-12,2008-02-13,879,HOLD25,0.06991268304345222,-0.2440945475894396,0.1196845656387866,0.025044000941344402,True,2
2002-12-12,2006-06-12,2008-02-13,879,HOLD50,0.09456827998878081,-0.3940702901415305,0.1631824859797404,0.049699597886673,True,2
2002-12-12,2006-06-12,2008-02-13,879,HOLD100,0.1427459033666274,-0.5643134086518344,0.250091374297148,0.09787722126451959,True,2
2002-12-12,2006-06-12,2008-02-13,879,I25_X60_3D,0.04938229878688083,0.0,0.08397491305610738,0.004513616684773014,True,2
2002-12-12,2006-06-12,2008-02-13,879,I25_X80_3D,0.04938229878688083,0.0,0.08397491305610738,0.004513616684773014,True,2
2002-12-12,2006-06-12,2008-02-13,879,I25_X100_3D,0.04938229878688083,0.0,0.08397491305610738,0.004513616684773014,True,2
2002-12-12,2006-06-12,2008-02-13,879,I25_X110NEG20,0.04938229878688083,0.0,0.08397491305610738,0.004513616684773014,True,2
2002-12-12,2006-06-12,2008-02-13,879,I25_XDD63_10,0.04938229878688083,0.0,0.08397491305610738,0.004513616684773014,True,2
2002-12-12,2006-06-12,2008-02-13,879,I50_X60_3D,0.05388289013431358,-6.0285533141635206e-05,0.09176318081438328,0.009014208032205762,True,2
2002-12-12,2006-06-12,2008-02-13,879,I50_X80_3D,0.05388289013431358,-6.0285533141635206e-05,0.09176318081438328,0.009014208032205762,True,2
2002-12-12,2006-06-12,2008-02-13,879,I50_X100_3D,0.05388289013431358,-6.0285533141635206e-05,0.09176318081438328,0.009014208032205762,True,2
2002-12-12,2006-06-12,2008-02-13,879,I50_X110NEG20,0.05388289013431358,-6.0285533141635206e-05,0.09176318081438328,0.009014208032205762,True,2
2002-12-12,2006-06-12,2008-02-13,879,L25_50_PB5_X60,0.04938229878688083,0.0,0.08397491305610738,0.004513616684773014,True,2
2002-12-12,2006-06-12,2008-02-13,879,L25_50_PB5_X80,0.04938229878688083,0.0,0.08397491305610738,0.004513616684773014,True,2
2002-12-12,2006-06-12,2008-02-13,879,L25_50_PB5_X100,0.04938229878688083,0.0,0.08397491305610738,0.004513616684773014,True,2
2002-12-12,2006-06-12,2008-02-13,879,L25_50_PB5_X110NEG20,0.04938229878688083,0.0,0.08397491305610738,0.004513616684773014,True,2
2002-12-12,2006-06-12,2008-02-13,879,WAIT_NEXT,0.044868682102107815,0.0,0.07618664529783192,0.0,False,0
2002-12-12,2006-12-14,2008-02-13,1009,HOLD25,-0.009572726505385654,-0.18817446247504088,-0.011156220625275881,-0.05177010590513842,False,2
2002-12-12,2006-12-14,2008-02-13,1009,HOLD50,-0.06179719375895598,-0.3411325832304861,-0.07170003729598129,-0.10399457315870875,False,2
2002-12-12,2006-12-14,2008-02-13,1009,HOLD100,-0.16764361848959453,-0.5643134086518344,-0.19266664351761087,-0.2098409978893473,False,2
2002-12-12,2006-12-14,2008-02-13,1009,I25_X60_3D,0.0311167637453853,-0.02899760721360678,0.03638611662891056,-0.011080615654367465,False,2
2002-12-12,2006-12-14,2008-02-13,1009,I25_X80_3D,0.004557283914462529,-0.047650825314122014,0.005317392973928081,-0.03764009548529024,False,2
2002-12-12,2006-12-14,2008-02-13,1009,I25_X100_3D,0.004557283914462529,-0.047650825314122014,0.005317392973928081,-0.03764009548529024,False,2
2002-12-12,2006-12-14,2008-02-13,1009,I25_X110NEG20,-0.016555201243012574,-0.1747653040376146,-0.019282420970765934,-0.05875258064276534,False,2
2002-12-12,2006-12-14,2008-02-13,1009,I25_XDD63_10,0.08622212993113099,-0.1075602839617632,0.10126961140879431,0.04402475053137822,True,2
2002-12-12,2006-12-14,2008-02-13,1009,I50_X60_3D,0.020016304230343618,-0.05909515521221398,0.023384637212388037,-0.022181075169409148,False,2
2002-12-12,2006-12-14,2008-02-13,1009,I50_X80_3D,-0.0333189631203743,-0.09838390818796683,-0.038752810097574586,-0.07551634252012707,False,2
2002-12-12,2006-12-14,2008-02-13,1009,I50_X100_3D,-0.0333189631203743,-0.09838390818796683,-0.038752810097574586,-0.07551634252012707,False,2
2002-12-12,2006-12-14,2008-02-13,1009,I50_X110NEG20,-0.07589797413163835,-0.31672480618327614,-0.08795243798696206,-0.11809535353139111,False,2
2002-12-12,2006-12-14,2008-02-13,1009,L25_50_PB5_X60,0.0311167637453853,-0.02899760721360678,0.03638611662891056,-0.011080615654367465,False,2
2002-12-12,2006-12-14,2008-02-13,1009,L25_50_PB5_X80,0.004557283914462529,-0.047650825314122014,0.005317392973928081,-0.03764009548529024,False,2
2002-12-12,2006-12-14,2008-02-13,1009,L25_50_PB5_X100,0.004557283914462529,-0.047650825314122014,0.005317392973928081,-0.03764009548529024,False,2
2002-12-12,2006-12-14,2008-02-13,1009,L25_50_PB5_X110NEG20,-0.04437245041490001,-0.3392750807077686,-0.05156032702342872,-0.08656982981465278,False,3
2002-12-12,2006-12-14,2008-02-13,1009,WAIT_NEXT,0.042197379399752766,0.0,0.049387596045428195,0.0,False,0
2009-04-22,2011-04-21,2018-12-21,505,HOLD25,0.15267797262143512,-0.4717168058000085,1.9732474033652574,0.1483916048708538,True,2
