strategy,soft_ma,soft_slope,soft_dd,soft_w,hard_ma,hard_slope,hard_dd,recover_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,InvestedDayPct,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
V9_SM80S20D10W35_HM110S20D30_R80,80,20,-0.1,0.35,110,20,-0.3,80,0.21934405354013298,-0.6992207245312605,0.31369787228085316,221.71503182902825,1270,-0.39848838974167444,-0.4699643912170026,-0.4913711338870185,-0.6986384759847718,0.07385622816511739,-0.6992207245312605,-0.2522335917949019,-0.5141250672223412,145.2721413342934,-0.6992207245312605,0.3575408376050113,-0.6992207245312605,46,0.8312901342673672,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.212839821799881,0.3136523106155266,2023-02-03,2023-02-28,1.0,1.0,0
V9_SM80S20D10W35_HM110S40D22_R80,80,20,-0.1,0.35,110,40,-0.22,80,0.22404739700511445,-0.6992207245312605,0.3204244227104539,246.2260979160925,1270,-0.2929719350120896,-0.38275868274654934,-0.4689008010060699,-0.678575176646602,0.07385622816511717,-0.6992207245312605,-0.1679403529911394,-0.4593539899340502,131.35284535146207,-0.6992207245312605,0.3492430022582409,-0.6992207245312605,50,0.8073555166374781,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.212839821799883,0.3136523106155268,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
V9_SM80S20D10W35_HM110S40D25_R80,80,20,-0.1,0.35,110,40,-0.25,80,0.22605333174759035,-0.7087001794332985,0.31896892128396315,257.45589414321626,1270,-0.3054078970546059,-0.38794440229937577,-0.518677183187086,-0.7087001794332985,0.07385622816511694,-0.6992207245312605,-0.20539301310054192,-0.4836895424720151,154.43472429038988,-0.6992207245312605,0.3626073845208777,-0.6992207245312605,46,0.826328079392878,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.212839821799886,0.31365231061552706,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W35_HM110S40D30_R80,80,20,-0.1,0.35,110,40,-0.3,80,0.2168762136298108,-0.7087001794332985,0.3060196962320972,209.81212581436117,1270,-0.39848838974167444,-0.4699643912170026,-0.5186771831870858,-0.7087001794332985,0.07385622816511672,-0.6992207245312605,-0.25223359179490157,-0.5141250672223411,145.27214133429328,-0.6992207245312605,0.3575408376050113,-0.6992207245312605,46,0.8317279626386457,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.212839821799882,0.31365231061552673,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
V9_SM80S20D10W35_HM120S20D22_R80,80,20,-0.1,0.35,120,20,-0.22,80,0.19212319703623804,-0.6992207245312605,0.27476759526118516,119.8770033631986,1270,-0.3059621691545399,-0.39409926401987383,-0.4021843712044926,-0.6469822802079399,-0.13646496050662538,-0.6992207245312605,-0.1679403529911383,-0.4593539899340494,57.3172409509006,-0.6992207245312605,0.28311798930022114,-0.6992207245312605,52,0.7599241097489784,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.2360039245895735,0.12066443034193881,2023-02-03,2023-02-28,0.0,1.0000000000000002,0
V9_SM80S20D10W35_HM120S20D25_R80,80,20,-0.1,0.35,120,20,-0.25,80,0.230553578871056,-0.6992207245312605,0.32972932692407414,284.47293124310085,1270,-0.3181696451344539,-0.39918970629231554,-0.45821363893654554,-0.6800682742563726,0.07385622816511717,-0.6992207245312605,-0.2053930131005417,-0.4836895424720149,154.43472429039005,-0.6992207245312605,0.3626073845208777,-0.6992207245312605,48,0.8250145942790427,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.212839821799885,0.31365231061552695,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W35_HM120S20D30_R80,80,20,-0.1,0.35,120,20,-0.3,80,0.21851415534853547,-0.6992207245312605,0.31251098212945805,217.64145919594012,1270,-0.40953996894142175,-0.4797027410829944,-0.49137113388701836,-0.6986384759847719,0.07385622816511672,-0.6992207245312605,-0.2522335917949021,-0.5141250672223414,145.27214133429322,-0.6992207245312605,0.3575408376050113,-0.6992207245312605,48,0.8308523058960887,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.212839821799883,0.3136523106155268,2023-02-03,2023-02-28,1.0,1.0,0
V9_SM80S20D10W35_HM120S40D22_R80,80,20,-0.1,0.35,120,40,-0.22,80,0.22033495959960336,-0.6992207245312605,0.31511503001761026,226.67515742622405,1270,-0.3059621691545399,-0.39409926401987383,-0.5019201194452068,-0.6985481646321763,0.07385622816511694,-0.6992207245312605,-0.16794035299113907,-0.45935398993404997,131.35284535146215,-0.6992207245312605,0.3492430022582411,-0.6992207245312605,52,0.8072095738470519,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.212839821799883,0.3136523106155268,2023-02-03,2023-02-28,1.0,1.0,0
V9_SM80S20D10W35_HM120S40D25_R80,80,20,-0.1,0.35,120,40,-0.25,80,0.22233481050317794,-0.726801232599257,0.3059086866267998,237.013281001228,1270,-0.3181696451344539,-0.39918970629231554,-0.5486018213535049,-0.726801232599257,0.07385622816511739,-0.6992207245312605,-0.20539301310054214,-0.4836895424720151,154.43472429038994,-0.6992207245312605,0.3626073845208777,-0.6992207245312605,48,0.8261821366024519,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.212839821799883,0.3136523106155268,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W35_HM120S40D30_R80,80,20,-0.1,0.35,120,40,-0.3,80,0.21318552584728745,-0.726801232599257,0.29332025908221526,193.15254171435532,1270,-0.40953996894142175,-0.4797027410829944,-0.5486018213535051,-0.726801232599257,0.07385622816511694,-0.6992207245312605,-0.2522335917949017,-0.5141250672223412,145.2721413342934,-0.6992207245312605,0.3575408376050113,-0.6992207245312605,48,0.8315820198482194,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.212839821799882,0.31365231061552673,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
