strategy,soft_ma,soft_slope,soft_dd,soft_w,hard_ma,hard_slope,hard_dd,recover_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,InvestedDayPct,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,score
V9_SM110S20D12W50_HM150S40D22_R80,110,20,-0.12,0.5,150,40,-0.22,80,0.2585540813625067,-0.6992207245312605,0.3697746252241517,525.0254902363301,1354,-0.420969623803363,-0.46138418653315694,-0.27994782315730593,-0.5479484735668857,0.2718508116506084,-0.6992207245312605,-0.2236438971628706,-0.49554838899094633,313.5672532605603,-0.6992207245312605,0.42279624569132235,-0.6992207245312605,57,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.851656197698355,0.5712657926119533,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.902314748397623
V9_SM80S40D15W50_HM120S20D30_R80,80,40,-0.15,0.5,120,20,-0.3,80,0.27063431289419015,-0.699969904756023,0.3866370697587644,681.0471696238415,1346,-0.350467581106785,-0.4795335894995817,-0.4877966739931864,-0.699969904756023,0.6475388370201061,-0.6992207245312605,-0.4227893640786172,-0.6249468071185021,374.9010047902589,-0.6992207245312605,0.4384206038344629,-0.6992207245312605,28,0.8308523058960887,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.025867130704571,0.49064843746521003,2023-02-03,2023-02-28,1.0,1.0,0,0.9021895884104216
V9_SM80S40D15W35_HM110S40D25_R80,80,40,-0.15,0.35,110,40,-0.25,80,0.2711495193255369,-0.6992207245312605,0.3877881616099244,688.6086035022363,1358,-0.23591764888572375,-0.38774541956073294,-0.5006103535803961,-0.6977660120952818,0.6475388370201063,-0.6992207245312605,-0.3141843487999393,-0.5543787073498765,368.8406882231409,-0.6992207245312605,0.4369878563195264,-0.6992207245312605,26,0.826328079392878,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.471110380926874,0.4364905129970502,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.8991882513473333
V9_SM80S40D15W50_HM150S20D25_R80,80,40,-0.15,0.5,150,20,-0.25,80,0.2610348540869871,-0.6992207245312605,0.37332253597314086,553.9536531516552,1346,-0.4014826001908791,-0.4432572980199344,-0.4815990176944579,-0.671277882564054,0.6475388370201061,-0.6992207245312605,-0.3558742516581027,-0.5814674860466074,418.4786113504236,-0.6992207245312605,0.4481269285776557,-0.6992207245312605,49,0.8152364273204904,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.025867130704566,0.4906484374652096,2023-02-03,2023-02-28,1.0,1.0,0,0.8984551489615504
V9_SM100S40D12W50_HM150S40D22_R80,100,40,-0.12,0.5,150,40,-0.22,80,0.26220156381586723,-0.6992207245312605,0.37499112171144583,568.0837042677238,1350,-0.420969623803363,-0.46138418653315694,-0.3052606107962479,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.28986919805818656,-0.5385794923778027,339.9404900931707,-0.6992207245312605,0.42983699481528137,-0.6992207245312605,55,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.280971409716756,0.5155528992491949,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.8966901991168491
V9_SM80S40D12W50_HM110S20D25_R80,80,40,-0.12,0.5,110,20,-0.25,80,0.2678590376953487,-0.6992207245312605,0.3830822346905042,641.6718641422532,1354,-0.23591764888572375,-0.38774541956073294,-0.4533591229250924,-0.6712778825640539,0.509985132404007,-0.6992207245312605,-0.35587425165810327,-0.5814674860466077,298.2154639376118,-0.6992207245312605,0.41843816400874045,-0.6992207245312605,34,0.8251605370694688,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.025867130704567,0.4906484374652097,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.8923563029132686
V9_SM100S30D15W50_HM150S40D22_R80,100,30,-0.15,0.5,150,40,-0.22,80,0.26409151314661217,-0.6992207245312605,0.377694058372844,591.7125542419827,1346,-0.420969623803363,-0.46138418653315694,-0.2906333364790008,-0.5547078914101693,0.40863961454649966,-0.6992207245312605,-0.30237045150181263,-0.5467024109923713,337.4680257638813,-0.6992207245312605,0.4291990629474307,-0.6992207245312605,51,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.025867130704569,0.49064843746520986,2023-02-03,2023-02-28,1.0,1.0,0,0.8920263110790123
V9_SM80S40D12W50_HM120S20D25_R80,80,40,-0.12,0.5,120,20,-0.25,80,0.2683999022650727,-0.6992207245312605,0.38385575948853784,649.1693795686252,1354,-0.24995614203275152,-0.39899437946564187,-0.4366210142507668,-0.6712778825640539,0.5099851324040063,-0.6992207245312605,-0.3558742516581026,-0.5814674860466074,298.21546393761173,-0.6992207245312605,0.41843816400874045,-0.6992207245312605,36,0.8250145942790427,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.025867130704567,0.4906484374652097,2023-02-03,2023-02-28,1.0,1.0,0,0.8915668452705418
V9_SM110S30D15W50_HM150S40D22_R80,110,30,-0.15,0.5,150,40,-0.22,80,0.2637476439308668,-0.6992207245312605,0.3772022691513848,587.3440676388514,1346,-0.420969623803363,-0.46138418653315694,-0.2705443022488879,-0.5420000155841521,0.6475388370201061,-0.6992207245312605,-0.30237045150181197,-0.5467024109923708,325.7166785305013,-0.6992207245312605,0.4261059438989536,-0.6992207245312605,51,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.03365331853658,0.49140856119992776,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.8889609584148159
V9_SM110S40D12W35_HM150S40D22_R80,110,40,-0.12,0.35,150,40,-0.22,80,0.2591219006462593,-0.6992207245312605,0.37058669967193536,531.5155047535125,1380,-0.420969623803363,-0.46138418653315694,-0.30258688835102276,-0.5643134086518345,0.6475388370201061,-0.6992207245312605,-0.27673168869053755,-0.530043154811912,366.33885970277873,-0.6992207245312605,0.4363899510758593,-0.6992207245312605,53,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.042100086684687,0.49223317384600823,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.8869107659103265
V9_SM80S40D12W50_HM150S40D22_R80,80,40,-0.12,0.5,150,40,-0.22,80,0.2626331016741861,-0.6992207245312605,0.37560829143079033,573.3975147939672,1354,-0.420969623803363,-0.46138418653315694,-0.23850160143445476,-0.5236193833854152,0.5099851324040066,-0.6992207245312605,-0.3023704515018122,-0.546702410992371,323.0695618018883,-0.6992207245312605,0.42539478882837867,-0.6992207245312605,55,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.025867130704569,0.49064843746520986,2023-02-03,2023-02-28,1.0,1.0,0,0.8866323219630746
