strategy,trend_ma,slope_lb,yellow_buy_cap,red_dd,red_target,rec_fast_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,score
V3_M180_S20_YBC60_RD25_RT0_RF40,180,20,0.6,-0.25,0.0,40,0.03658116331045003,-0.24177433069227072,0.1513029245317625,2.660619239799489,3092,0.11196147927000033,-0.21244813891606884,0.31554844547579575,-0.10555570869494668,0.0018368852408512382,0.0,-0.11105950384496699,-0.24177433069227072,0.13737531750022325,-0.24177433069227072,0.007923656969133663,-0.24177433069227072,0.06158785755983654,0.023161423242138563,254,-0.09836369356922048
V3_M180_S20_YBC70_RD25_RT0_RF40,180,20,0.7,-0.25,0.0,40,0.03658116331045003,-0.24177433069227072,0.1513029245317625,2.660619239799489,3092,0.11196147927000033,-0.21244813891606884,0.31554844547579575,-0.10555570869494668,0.0018368852408512382,0.0,-0.11105950384496699,-0.24177433069227072,0.13737531750022325,-0.24177433069227072,0.007923656969133663,-0.24177433069227072,0.06158785755983654,0.023161423242138563,254,-0.09836369356922048
V3_M180_S20_YBC50_RD25_RT0_RF40,180,20,0.5,-0.25,0.0,40,0.03658116331045003,-0.24177433069227072,0.1513029245317625,2.660619239799489,3092,0.11196147927000033,-0.21244813891606884,0.31554844547579575,-0.10555570869494668,0.0018368852408512382,0.0,-0.11105950384496699,-0.24177433069227072,0.13737531750022325,-0.24177433069227072,0.007923656969133663,-0.24177433069227072,0.06158785755983654,0.023161423242138563,254,-0.09836369356922048
V3_M180_S20_YBC80_RD25_RT0_RF40,180,20,0.8,-0.25,0.0,40,0.03658116331045003,-0.24177433069227072,0.1513029245317625,2.660619239799489,3092,0.11196147927000033,-0.21244813891606884,0.31554844547579575,-0.10555570869494668,0.0018368852408512382,0.0,-0.11105950384496699,-0.24177433069227072,0.13737531750022325,-0.24177433069227072,0.007923656969133663,-0.24177433069227072,0.06158785755983654,0.023161423242138563,254,-0.09836369356922048
V3_M180_S40_YBC50_RD25_RT0_RF40,180,40,0.5,-0.25,0.0,40,0.034346729158600375,-0.2417743306922706,0.1420611073981909,2.508750012742219,3092,0.04849026631024178,-0.21244813891606895,0.3155484454757942,-0.10555570869494679,0.001836885240850794,0.0,-0.11105950384496799,-0.2417743306922706,0.13737531750020726,-0.2417743306922706,0.007923656969132775,-0.2417743306922706,0.06144191476941039,0.023053711172800265,256,-0.10730143017662097
V3_M180_S40_YBC60_RD25_RT0_RF40,180,40,0.6,-0.25,0.0,40,0.034346729158600375,-0.2417743306922706,0.1420611073981909,2.508750012742219,3092,0.04849026631024178,-0.21244813891606895,0.3155484454757942,-0.10555570869494679,0.001836885240850794,0.0,-0.11105950384496799,-0.2417743306922706,0.13737531750020726,-0.2417743306922706,0.007923656969132775,-0.2417743306922706,0.06144191476941039,0.023053711172800265,256,-0.10730143017662097
V3_M180_S40_YBC80_RD25_RT0_RF40,180,40,0.8,-0.25,0.0,40,0.034346729158600375,-0.2417743306922706,0.1420611073981909,2.508750012742219,3092,0.04849026631024178,-0.21244813891606895,0.3155484454757942,-0.10555570869494679,0.001836885240850794,0.0,-0.11105950384496799,-0.2417743306922706,0.13737531750020726,-0.2417743306922706,0.007923656969132775,-0.2417743306922706,0.06144191476941039,0.023053711172800265,256,-0.10730143017662097
V3_M180_S40_YBC70_RD25_RT0_RF40,180,40,0.7,-0.25,0.0,40,0.034346729158600375,-0.2417743306922706,0.1420611073981909,2.508750012742219,3092,0.04849026631024178,-0.21244813891606895,0.3155484454757942,-0.10555570869494679,0.001836885240850794,0.0,-0.11105950384496799,-0.2417743306922706,0.13737531750020726,-0.2417743306922706,0.007923656969132775,-0.2417743306922706,0.06144191476941039,0.023053711172800265,256,-0.10730143017662097
V3_M180_S40_YBC50_RD20_RT0_RF60,180,40,0.5,-0.2,0.0,60,0.038403787892623775,-0.29455437556226116,0.13037928164983653,2.791020305104658,3092,0.09809518749865176,-0.21244813891606928,0.11133169782999364,-0.29455437556226116,0.0018368852408523484,0.0,-0.017194510402551155,-0.1417886630637405,0.43020063509212036,-0.1417886630637405,0.022181176692349425,-0.1417886630637405,0.08085230589608873,0.03462043072857825,241,-0.11816048901531405
V3_M180_S40_YBC80_RD20_RT0_RF60,180,40,0.8,-0.2,0.0,60,0.038403787892623775,-0.29455437556226116,0.13037928164983653,2.791020305104658,3092,0.09809518749865176,-0.21244813891606928,0.11133169782999364,-0.29455437556226116,0.0018368852408523484,0.0,-0.017194510402551155,-0.1417886630637405,0.43020063509212036,-0.1417886630637405,0.022181176692349425,-0.1417886630637405,0.08085230589608873,0.03462043072857825,241,-0.11816048901531405
