strategy,trend_ma,slope_lb,yellow_buy_cap,red_dd,red_target,rec_fast_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Roll3y_CAGR_P10,Roll3y_CAGR_Median,Roll3y_WorstMDD,Roll5y_CAGR_P10,Roll5y_CAGR_Median,Roll5y_WorstMDD
V3_M180_S20_YBC70_RD20_RT15_RF40,180,20,0.7,-0.2,0.15,40,0.04162041565913621,-0.5512144683566038,0.07550675471785732,3.0363222924933493,6657,-0.43696516098110116,-0.49026380472660125,-0.0031088266705364687,-0.42109285931019813,0.0018368852408523484,0.0,-0.08674006695730374,-0.3047871504517362,2.3711150514912336,-0.3047871504517362,0.077356574223999,-0.3047871504517362,0.2577349678925861,0.07257885126624211,322,-0.08629528754339179,0.024312524530349267,-0.49026380472660125,-0.060767049380059474,0.0292908486221235,-0.49026380472660125
V3_M180_S20_YBC80_RD20_RT15_RF40,180,20,0.8,-0.2,0.15,40,0.04162041565913621,-0.5512144683566038,0.07550675471785732,3.0363222924933493,6657,-0.43696516098110116,-0.49026380472660125,-0.0031088266705364687,-0.42109285931019813,0.0018368852408523484,0.0,-0.08674006695730374,-0.3047871504517362,2.3711150514912336,-0.3047871504517362,0.077356574223999,-0.3047871504517362,0.2577349678925861,0.07257885126624211,322,-0.08629528754339179,0.024312524530349267,-0.49026380472660125,-0.060767049380059474,0.0292908486221235,-0.49026380472660125
V3_M180_S20_YBC80_RD20_RT15_RF60,180,20,0.8,-0.2,0.15,60,0.03956302282414925,-0.5373149937017008,0.07363096747326822,2.877138709049799,6542,-0.41602316735801304,-0.48961288961288474,0.026455448951571148,-0.3912026227464155,0.0018368852408516823,0.0,-0.1814543786307472,-0.3241489478051778,1.9911197682379922,-0.3241489478051778,0.0694854353679395,-0.3241489478051778,0.2508756567425569,0.07229803075575704,281,-0.08638999163310791,0.008339257350084672,-0.48961288961288474,-0.06922894677927773,0.03773963056943219,-0.48961288961288474
V3_M180_S20_YBC50_RD20_RT15_RF60,180,20,0.5,-0.2,0.15,60,0.03956302282414925,-0.5373149937017008,0.07363096747326822,2.877138709049799,6542,-0.41602316735801304,-0.48961288961288474,0.026455448951571148,-0.3912026227464155,0.0018368852408516823,0.0,-0.1814543786307472,-0.3241489478051778,1.9911197682379922,-0.3241489478051778,0.0694854353679395,-0.3241489478051778,0.2508756567425569,0.07229803075575704,281,-0.08638999163310791,0.008339257350084672,-0.48961288961288474,-0.06922894677927773,0.03773963056943219,-0.48961288961288474
V3_M180_S20_YBC60_RD20_RT15_RF60,180,20,0.6,-0.2,0.15,60,0.03956302282414925,-0.5373149937017008,0.07363096747326822,2.877138709049799,6542,-0.41602316735801304,-0.48961288961288474,0.026455448951571148,-0.3912026227464155,0.0018368852408516823,0.0,-0.1814543786307472,-0.3241489478051778,1.9911197682379922,-0.3241489478051778,0.0694854353679395,-0.3241489478051778,0.2508756567425569,0.07229803075575704,281,-0.08638999163310791,0.008339257350084672,-0.48961288961288474,-0.06922894677927773,0.03773963056943219,-0.48961288961288474
V3_M180_S20_YBC80_RD25_RT0_RF60,180,20,0.8,-0.25,0.0,60,0.039115262694678465,-0.21244813891606895,0.1841167585380994,2.843575929639011,3092,0.1645692747985592,-0.21244813891606895,0.2963237387217732,-0.1055557086949469,0.001836885240850794,0.0,-0.07939658890667167,-0.19090844333606938,0.1778871606288539,-0.19090844333606938,0.010088884289717104,-0.19090844333606938,0.05852305896088733,0.022112066774494874,221,0.0004789355736524837,0.01641874828333334,-0.21244813891606895,0.0006476389012868733,0.016303809495016752,-0.21244813891606895
V3_M180_S20_YBC60_RD25_RT0_RF60,180,20,0.6,-0.25,0.0,60,0.039115262694678465,-0.21244813891606895,0.1841167585380994,2.843575929639011,3092,0.1645692747985592,-0.21244813891606895,0.2963237387217732,-0.1055557086949469,0.001836885240850794,0.0,-0.07939658890667167,-0.19090844333606938,0.1778871606288539,-0.19090844333606938,0.010088884289717104,-0.19090844333606938,0.05852305896088733,0.022112066774494874,221,0.0004789355736524837,0.01641874828333334,-0.21244813891606895,0.0006476389012868733,0.016303809495016752,-0.21244813891606895
V3_M180_S20_YBC70_RD25_RT0_RF60,180,20,0.7,-0.25,0.0,60,0.039115262694678465,-0.21244813891606895,0.1841167585380994,2.843575929639011,3092,0.1645692747985592,-0.21244813891606895,0.2963237387217732,-0.1055557086949469,0.001836885240850794,0.0,-0.07939658890667167,-0.19090844333606938,0.1778871606288539,-0.19090844333606938,0.010088884289717104,-0.19090844333606938,0.05852305896088733,0.022112066774494874,221,0.0004789355736524837,0.01641874828333334,-0.21244813891606895,0.0006476389012868733,0.016303809495016752,-0.21244813891606895
V3_M180_S20_YBC50_RD25_RT0_RF60,180,20,0.5,-0.25,0.0,60,0.039115262694678465,-0.21244813891606895,0.1841167585380994,2.843575929639011,3092,0.1645692747985592,-0.21244813891606895,0.2963237387217732,-0.1055557086949469,0.001836885240850794,0.0,-0.07939658890667167,-0.19090844333606938,0.1778871606288539,-0.19090844333606938,0.010088884289717104,-0.19090844333606938,0.05852305896088733,0.022112066774494874,221,0.0004789355736524837,0.01641874828333334,-0.21244813891606895,0.0006476389012868733,0.016303809495016752,-0.21244813891606895
V3_M180_S40_YBC70_RD25_RT0_RF60,180,40,0.7,-0.25,0.0,60,0.03687536608758868,-0.21244813891606928,0.173573495516272,2.6812634604014556,3092,0.09809518749865176,-0.21244813891606928,0.2963237387217712,-0.10555570869494668,0.0018368852408512382,0.0,-0.07939658890667156,-0.19090844333606938,0.1778871606288579,-0.19090844333606938,0.010088884289717326,-0.19090844333606938,0.05837711617046118,0.022004354705156576,223,0.00047893557365239484,0.01616255433470304,-0.21244813891606928,0.0006476389012869621,0.016303809495016752,-0.21244813891606928
V3_M180_S40_YBC60_RD25_RT0_RF60,180,40,0.6,-0.25,0.0,60,0.03687536608758868,-0.21244813891606928,0.173573495516272,2.6812634604014556,3092,0.09809518749865176,-0.21244813891606928,0.2963237387217712,-0.10555570869494668,0.0018368852408512382,0.0,-0.07939658890667156,-0.19090844333606938,0.1778871606288579,-0.19090844333606938,0.010088884289717326,-0.19090844333606938,0.05837711617046118,0.022004354705156576,223,0.00047893557365239484,0.01616255433470304,-0.21244813891606928,0.0006476389012869621,0.016303809495016752,-0.21244813891606928
V3_M180_S40_YBC50_RD25_RT0_RF60,180,40,0.5,-0.25,0.0,60,0.03687536608758868,-0.21244813891606928,0.173573495516272,2.6812634604014556,3092,0.09809518749865176,-0.21244813891606928,0.2963237387217712,-0.10555570869494668,0.0018368852408512382,0.0,-0.07939658890667156,-0.19090844333606938,0.1778871606288579,-0.19090844333606938,0.010088884289717326,-0.19090844333606938,0.05837711617046118,0.022004354705156576,223,0.00047893557365239484,0.01616255433470304,-0.21244813891606928,0.0006476389012869621,0.016303809495016752,-0.21244813891606928
