age_td,policy,independent_campaigns,CAGR_Median,CAGR_Min,Return_Median,Return_Min,MDD_Median,MDD_Worst,WinRate_vs_Wait,DiffCAGR_Median,DiffCAGR_Min,AddRate
756,WAIT_NEXT,2,0.02485715673211386,0.0048829358558417635,0.06639350073674877,0.03302117649394232,0.0,0.0,0.0,0.0,0.0,0.0
879,IMM100,2,0.2506063238497048,0.1427459033666274,2.947850311074898,0.250091374297148,-0.5559250955611565,-0.5643134086518344,1.0,0.22557216305775163,0.09787722126451959,0.0
879,IMM25,2,0.11243044009076542,0.06991268304345222,0.778112284428729,0.1196845656387866,-0.34782511256552934,-0.45155567754161907,1.0,0.08739627929881222,0.025044000941344402,0.0
879,IMM50,2,0.1688648770800245,0.09456827998878081,1.5018405376907709,0.1631824859797404,-0.4527258406161706,-0.5113813910908107,1.0,0.14383071628807131,0.049699597886673,0.0
879,L25_TO100_PB10_R63,2,0.26326401833516855,0.1277781081673226,3.5921471391831545,0.22282112724017056,-0.5559250955611565,-0.5643134086518344,1.0,0.23822985754321535,0.08290942606521479,1.0
879,L25_TO100_PB5_POST,2,0.2790474348766214,0.16785385915638074,3.481558913799809,0.2963778619543509,-0.5559250955611565,-0.5643134086518344,1.0,0.25401327408466823,0.12298517705427292,1.0
879,L25_TO100_PB5_R63,2,0.25261412963535057,0.1277781081673226,3.2318738374738825,0.22282112724017056,-0.5559250955611565,-0.5643134086518344,1.0,0.22757996884339737,0.08290942606521479,1.0
879,L25_TO50_PB5_POST,2,0.18573549192157301,0.10399742828882297,1.7545002705486596,0.17999346602440092,-0.4584680002443169,-0.5171873647737077,1.0,0.16070133112961982,0.05912874618671515,1.0
879,L50_TO100_PB5_POST,2,0.2697894667799595,0.15951965367901333,3.3035374245428404,0.28093874513453665,-0.5559250955611567,-0.5643134086518347,1.0,0.24475530598800632,0.11465097157690551,1.0
879,WAIT_NEXT,2,0.025034160791953197,0.005199639481798579,0.05438403116668955,0.03258141703554718,0.0,0.0,0.0,0.0,0.0,0.0
1009,IMM100,2,0.10912686027299151,-0.16764361848959453,2.5708558252733003,-0.19266664351761087,-0.5559250955611565,-0.5643134086518344,0.5,0.08522026900469443,-0.2098409978893473,0.0
1009,IMM25,2,0.07710763696879891,-0.009572726505385654,0.6736195910408613,-0.011156220625275881,-0.31794741009971583,-0.4477203577243908,0.5,0.053201045700501826,-0.05177010590513842,0.0
1009,IMM50,2,0.09875363629683781,-0.06179719375895598,1.3064533474501152,-0.07170003729598129,-0.4254361024897531,-0.5097396217490201,0.5,0.07484704502854073,-0.10399457315870875,0.0
1009,L25_TO100_PB10_R63,2,0.013064883911918068,-0.20150365370596823,0.9796818503134456,-0.2308408806031197,-0.5146499608469135,-0.5475367824704787,0.5,-0.010841707356379016,-0.243701033105721,1.0
1009,L25_TO100_PB5_POST,2,0.1473932474370762,-0.09035571689409017,2.6051533798448077,-0.10457348460129823,-0.5559250955611565,-0.5643134086518344,0.5,0.12348665616877913,-0.13255309629384293,1.0
1009,L25_TO100_PB5_R63,2,0.1473932474370762,-0.09035571689409017,2.6051533798448077,-0.10457348460129823,-0.5559250955611565,-0.5643134086518344,0.5,0.12348665616877913,-0.13255309629384293,1.0
1009,L25_TO50_PB5_POST,2,0.1103168320017886,-0.03809295689423775,1.3153829884361907,-0.044287373309595646,-0.43444013938996556,-0.5095856197480098,0.5,0.08641024073349152,-0.08029033629399052,1.0
1009,L50_TO100_PB5_POST,2,0.13469239015225876,-0.11600952145874777,2.5937132387050195,-0.13395745042752627,-0.5559250955611565,-0.5643134086518344,0.5,0.11078579888396167,-0.15820690085850053,1.0
1009,WAIT_NEXT,2,0.023906591268297084,0.005615803136841402,0.0407858346316079,0.0321840732177876,0.0,0.0,0.0,0.0,0.0,0.0
