start_date,full_date,age_td,age_bucket,horizon_y,Jump_CAGR,Jump_MDD,Jump_Final,Wait_CAGR,Wait_MDD,Wait_Final,CAGR_Diff,Jump_Outperformed
2006-07-03,2002-12-12,894,757_1008,3,0.16549821074250892,-0.5643134086518344,1.582713671277656,0.1290405958441665,-0.1681952713631828,1.4388770471842747,0.03645761489834243,True
2006-07-03,2002-12-12,894,757_1008,5,0.41619582334078076,-0.5643134086518344,5.684615549261398,0.38943276828633855,-0.4309192757855548,5.167999104535523,0.02676305505444221,True
2006-08-01,2002-12-12,914,757_1008,3,0.3386821971983458,-0.5643134086518344,2.3976188473094653,0.24489789783132898,-0.19099267454029012,1.9284647760522418,0.09378429936701682,True
2006-08-01,2002-12-12,914,757_1008,5,0.4451200672214255,-0.5643134086518344,6.301248773704088,0.38352829057476034,-0.4309192757855549,5.068251911210584,0.06159177664666515,True
2006-09-01,2002-12-12,937,757_1008,3,0.24792733420705604,-0.5643134086518344,1.943746647350609,0.23298391529044427,-0.19099267454029,1.8747358951178559,0.014943418916611773,True
2006-09-01,2002-12-12,937,757_1008,5,0.32905480154023725,-0.5643134086518344,4.146126667449414,0.31947938957348065,-0.4391139408805492,3.9989226475412822,0.009575411966756597,True
2006-10-02,2002-12-12,957,757_1008,3,0.2741383874761081,-0.5643134086518344,2.0688466535065215,0.27898736847114614,-0.19099267454029,2.0925627817618793,-0.004848980995038055,False
2006-10-02,2002-12-12,957,757_1008,5,0.2831187004590303,-0.5643134086518344,3.4727884895423338,0.28605065384917516,-0.4391139408805491,3.512598640324714,-0.002931953390144848,False
2006-11-01,2002-12-12,979,757_1008,3,0.22703239697335498,-0.5643134086518344,1.8456435226908061,0.2762500008616351,-0.19099267454029012,2.076377041229432,-0.049217603888280115,False
2006-11-01,2002-12-12,979,757_1008,5,0.30420201666922253,-0.5643134086518344,3.7727430594747493,0.3352965815682942,-0.4391139408805492,4.244393337522847,-0.031094564899071697,False
2006-12-01,2002-12-12,1000,757_1008,3,0.25419240504710205,-0.5643134086518344,1.9731762843975764,0.3649942708793752,-0.19099267454029,2.543860571737976,-0.11080186583227314,False
2006-12-01,2002-12-12,1000,757_1008,5,0.2667881181222076,-0.5643134086518344,3.261821210662509,0.33282163105134677,-0.4391139408805491,4.2052088480256105,-0.06603351292913917,False
2012-05-01,2009-04-22,763,757_1008,3,0.5730030058303937,-0.31894950538707023,3.888631646511139,0.0004417261537035255,0.0,1.0013248830995019,0.5725612796766901,True
2012-05-01,2009-04-22,763,757_1008,5,0.4649434435958568,-0.44536912654272764,6.745401681902436,0.0013477210238677095,0.0,1.0067560042573316,0.4635957225719891,True
2012-06-01,2009-04-22,785,757_1008,3,0.757394496771556,-0.31894950538707034,5.42150732604103,0.00042038007596700844,0.0,1.0012608322559766,0.756974116695589,True
2012-06-01,2009-04-22,785,757_1008,5,0.5859929430394029,-0.44536912654272764,10.032050658397623,0.0014872733882143052,0.0,1.0074576485757512,0.5845056696511886,True
2012-07-02,2009-04-22,806,757_1008,3,0.6168836727574971,-0.31894950538707045,4.222996044197992,0.0004001335036867282,0.0,1.0012000831015524,0.6164835392538104,True
2012-07-02,2009-04-22,806,757_1008,5,0.4997999520212506,-0.44536912654272764,7.57007764369916,0.0016376317930848483,0.0,1.0082050278849057,0.49816232022816576,True
2012-08-01,2009-04-22,827,757_1008,3,0.6896575742155702,-0.31894950538707034,4.8119230209376544,0.00038183832358940073,0.0,1.0011441447112748,0.6892757358919808,True
2012-08-01,2009-04-22,827,757_1008,5,0.5460878914859322,-0.44536912654272764,8.83203531903976,0.001796937277784405,0.0,1.0090159803523526,0.5442909542081478,True
2012-09-04,2009-04-22,850,757_1008,3,0.4449383702067089,-0.37237079670987805,3.014599198667273,0.00037068469158585415,0.0,1.0011117273230663,0.44456768551512305,True
2012-09-04,2009-04-22,850,757_1008,5,0.5107976006325488,-0.44536912654272764,7.842512481652513,0.0019680763508287402,0.0,1.0098617273564443,0.50882952428172,True
2012-10-01,2009-04-22,869,757_1008,3,0.4279331176365049,-0.37237079670987805,2.9094804757347967,0.00035071719364254683,0.0,1.0010518214512056,0.42758240044286233,True
