strategy,long_ma,slope_lb,guard_dd,rec1_ma,rec1_days,rec2_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,InvestedDayPct,AvgWeight,TradeCount,ActualEra_CAGR,ActualEra_MDD
C_L200_S40_DD30_R60x3_100,200,40,-0.3,60,3,100,0.12685255896876102,-0.7340637763268506,0.17280863469862653,25.863569151172715,5225,-0.6946560833910651,-0.7340637763268506,-0.2988849933271487,-0.43521864971934654,0.6410060624119935,-0.4922390437217594,-0.4539685135774877,-0.5938178963503908,28.73308976978802,-0.5938178963503908,0.5955925277291302,0.2514489937475776,121,0.2312011256116029,-0.5938178963503908
C_L200_S60_DD20_R80x10_120,200,60,-0.2,80,10,120,0.12683992335847094,-0.8140086540408147,0.15582134505428874,25.85567131407564,5683,-0.7796424441303935,-0.8140086540408147,-0.17358204183067505,-0.21794593672835594,0.6410060624119929,-0.49223904372175953,-0.3123055686124514,-0.37190176099901195,33.94284369661403,-0.49223904372175953,0.5672796263864565,0.23350865079744162,103,0.24344955879161523,-0.49223904372175953
C_L200_S40_DD30_R60x3_150,200,40,-0.3,60,3,150,0.12681141348098102,-0.726197981997958,0.17462374810253548,25.837859864058867,5175,-0.6851918781249114,-0.726197981997958,-0.29888499332714935,-0.4352186497193463,0.6410060624119924,-0.4922390437217594,-0.4669975238445303,-0.5876664166231091,27.8105445573928,-0.5876664166231091,0.5961762988908348,0.2509813446895965,118,0.2288240824858958,-0.5876664166231091
C_L200_S40_DD30_R40x10_120,200,40,-0.3,40,10,120,0.12672892169674332,-0.7242482057538335,0.17497995948065562,25.78638995021608,5173,-0.683101125100139,-0.7242482057538335,-0.29888499332714846,-0.43521864971934643,0.6410060624119926,-0.4922390437217594,-0.5008425595925439,-0.6047210230872021,27.563452873744733,-0.6047210230872021,0.594424985405721,0.2509996715853027,117,0.22817529203893128,-0.6047210230872021
C_L200_S40_DD30_R40x3_150,200,40,-0.3,40,3,150,0.12670536431690116,-0.726197981997958,0.17447771469744655,25.771709700387195,5175,-0.6851918781249114,-0.726197981997958,-0.29888499332714935,-0.4352186497193463,0.6410060624119924,-0.4922390437217594,-0.4683621183504727,-0.5883787563032112,27.736783717757913,-0.5883787563032112,0.5961762988908348,0.2509835597835388,116,0.22863095672378853,-0.5883787563032112
C_L200_S40_DD30_R60x3_120,200,40,-0.3,60,3,120,0.12668430071978176,-0.7242482057538335,0.17491834941851522,25.75859031853452,5173,-0.683101125100139,-0.7242482057538335,-0.29888499332714846,-0.43521864971934643,0.6410060624119926,-0.4922390437217594,-0.47213847132879927,-0.5916434812578386,27.53265936325425,-0.5916434812578386,0.5963222416812609,0.25126865037882257,122,0.2280940684072652,-0.5916434812578386
C_L200_S40_DD30_R40x3_120,200,40,-0.3,40,3,120,0.12657826351884127,-0.7242482057538335,0.17477193938933175,25.692643100982984,5173,-0.683101125100139,-0.7242482057538335,-0.29888499332714846,-0.43521864971934643,0.6410060624119926,-0.4922390437217594,-0.473489903965883,-0.5923489502364894,27.45960996609844,-0.5923489502364894,0.5963222416812609,0.2512708654727649,120,0.22790105737640998,-0.5923489502364894
C_L200_S40_DD30_R40x3_100,200,40,-0.3,40,3,100,0.12640265330165779,-0.7340637763268506,0.17219573745234842,25.583784225613538,5225,-0.6946560833910651,-0.7340637763268506,-0.2988849933271487,-0.43521864971934654,0.6410060624119935,-0.4922390437217594,-0.4598753309192368,-0.5982118618146628,28.411445442229798,-0.5982118618146628,0.5957384705195563,0.25148935892970614,120,0.2303803329640559,-0.5982118618146628
C_L200_S40_DD30_R60x10_150,200,40,-0.3,60,10,150,0.12622815615244654,-0.726197981997958,0.17382058237777018,25.47605548324699,5175,-0.6851918781249114,-0.726197981997958,-0.29888499332714935,-0.4352186497193463,0.6410060624119924,-0.4922390437217594,-0.5035746415160706,-0.606884537962773,27.40711403763291,-0.606884537962773,0.5932574430823118,0.25041832400711084,112,0.22776206530439724,-0.606884537962773
C_L200_S40_DD30_R60x10_120,200,40,-0.3,60,10,120,0.12618224058286964,-0.7242482057538335,0.17422513384280033,25.447781434874127,5173,-0.683101125100139,-0.7242482057538335,-0.29888499332714846,-0.43521864971934643,0.6410060624119926,-0.4922390437217594,-0.5073971397468258,-0.6099115452105677,27.188377945098605,-0.6099115452105677,0.5939871570344425,0.25088863938130396,115,0.22718031613140566,-0.6099115452105677
C_L200_S40_DD30_R80x10_150,200,40,-0.3,80,10,150,0.1260832825476399,-0.726197981997958,0.17362108636098417,25.386947452217903,5175,-0.6851918781249114,-0.726197981997958,-0.29888499332714935,-0.4352186497193463,0.6410060624119924,-0.4922390437217594,-0.5053109969058014,-0.6117434633604546,27.307753993422892,-0.6117434633604546,0.5922358435493287,0.25016124412294305,108,0.22749833103932748,-0.6117434633604546
C_L200_S40_DD30_R80x10_120,200,40,-0.3,80,10,120,0.12603737288446304,-0.7242482057538335,0.1740251089103867,25.358772298463197,5173,-0.683101125100139,-0.7242482057538335,-0.29888499332714846,-0.43521864971934643,0.6410060624119926,-0.4922390437217594,-0.5091201251197117,-0.6147330566578567,27.089782977826538,-0.6147330566578567,0.5929655575014594,0.2506315594971362,111,0.22691670683125764,-0.6147330566578567
C_L200_S40_DD30_R60x10_100,200,40,-0.3,60,10,100,0.12576700482642833,-0.7340637763268506,0.1713298065949369,25.193455135928755,5225,-0.6946560833910651,-0.7340637763268506,-0.2988849933271487,-0.43521864971934654,0.6410060624119935,-0.4922390437217594,-0.46811595586116905,-0.6043419009379223,27.962718130252014,-0.6043419009379223,0.5936952714535902,0.2509623104625755,116,0.22922105176918928,-0.6043419009379223
C_L200_S40_DD30_R80x5_150,200,40,-0.3,80,5,150,0.12562390540954427,-0.726197981997958,0.17298850798775353,25.10637731937092,5175,-0.6851918781249114,-0.726197981997958,-0.29888499332714935,-0.4352186497193463,0.6410060624119924,-0.4922390437217594,-0.48422517675568244,-0.6093862089670025,26.994903844208107,-0.6093862089670025,0.5925277291301809,0.2499509644514043,111,0.2266622110649521,-0.6093862089670025
