date,mode,reason,target_weight,price,notional,fee,cash_after,shares_after,avg_cost_after,strategy
2004-03-23,B,dip_-10%_to_35%,0.35,0.359737,0.24369104753012233,0.00012184552376506117,0.7270988703267403,1.0885185161881163,0.3814247640897149,B_hard_MA250
2004-07-15,B,below_MA250,0.0,0.377312,-0.41071109837997055,0.0002053555491899853,1.140025435276657,0.0,,B_hard_MA250
2005-01-21,B,dip_-6%_to_15%,0.15,0.425554,0.1726422038410128,8.63211019205064e-05,0.9782195006638188,0.4056881238127542,0.425766777,B_hard_MA250
2005-03-23,B,below_MA250,0.0,0.3905,-0.1584212123488805,7.921060617444026e-05,1.1407576242153046,0.0,,B_hard_MA250
2006-02-14,B,dip_-6%_to_15%,0.15,0.499313,0.17647299689462265,8.823649844731133e-05,0.999925412571081,0.35343160881976365,0.4995626565,B_hard_MA250
2006-05-17,B,below_MA250,0.0,0.426466,-0.15072656448692934,7.536328224346467e-05,1.1622257654700547,0.0,,B_hard_MA250
2007-03-05,B,dip_-6%_to_15%,0.15,0.453796,0.18119884546529794,9.059942273264897e-05,1.0267028582139557,0.3992958189699732,0.45402289799999995,B_hard_MA250
2007-07-13,B,TP_50,0.0,0.713525,-0.2849075492305501,0.00014245377461527507,1.3293075046918905,0.0,,B_hard_MA250
2007-08-13,B,dip_-6%_to_15%,0.15,0.608104,0.2001895522255122,0.00010009477611275611,1.1343073678351232,0.32920282094101044,0.608408052,B_hard_MA250
2008-01-09,B,below_MA250,0.0,0.560844,-0.18463142690784007,9.231571345392003e-05,1.3353611952473983,0.0,,B_hard_MA250
2009-07-08,B,dip_-6%_to_15%,0.15,0.109912,0.20306077408012158,0.00010153038704006079,1.1505761894003157,1.847485025112104,0.10996695599999999,B_hard_MA250
2009-08-04,B,TP_50,0.0,0.167091,-0.3086981203310066,0.0001543490601655033,1.4592710973444691,0.0,,B_hard_MA250
2010-01-29,B,dip_-6%_to_15%,0.15,0.194905,0.2189740237844713,0.00010948701189223565,1.2407433144334452,1.1234910535105376,0.19500245249999998,B_hard_MA250
2010-04-14,B,TP_50,0.0,0.3060931861400604,-0.34389295616889354,0.00017194647808444678,1.584775286654864,0.0,,B_hard_MA250
2010-05-07,B,dip_-6%_to_15%,0.15,0.22855906188488,0.23774011291618796,0.00011887005645809398,1.3470751031352737,1.0401692715904314,0.22867334141582243,B_hard_MA250
2010-05-10,B,dip_-10%_to_35%,0.35,0.2626491189002991,0.2938988284737122,0.00014694941423685609,1.0530357398905295,2.1591481956555656,0.2463493529211398,B_hard_MA250
2010-06-30,B,below_MA250,0.0,0.1832542568445205,-0.39567309801204803,0.00019783654900602403,1.4487040750862485,0.0,,B_hard_MA250
2011-03-17,B,dip_-6%_to_15%,0.15,0.3629853725433349,0.2175126238558132,0.0001087563119279066,1.2324627788710134,0.5992324768674956,0.36316686522960656,B_hard_MA250
2011-08-08,B,below_MA250,0.0,0.2775357365608215,-0.1663084268385858,8.31542134192929e-05,1.3988746465944213,0.0,,B_hard_MA250
2012-05-15,B,dip_-6%_to_15%,0.15,0.4847076535224914,0.20989011612180813,0.00010494505806090407,1.1892723796321851,0.4330241426898963,0.48495000734925264,B_hard_MA250
2012-05-21,B,dip_-10%_to_35%,0.35,0.4630727469921112,0.28591202256157366,0.00014295601128078684,0.903233918817511,1.0504476996120324,0.4722272607536123,B_hard_MA250
2012-11-09,B,below_MA250,0.0,0.470119297504425,-0.49383573460674796,0.00024691786730337396,1.3972040015379361,0.0,,B_hard_MA250
