strategy,arm_dd,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
BH_A30_F60_M120_W35_X120S40D20,-0.3,60,120,0.35,120,40,-0.2,0.25361035341534244,-0.5921633410552045,0.42827769946620114,471.65492097977926,1973,-0.2921473661737971,-0.4114654862334465,-0.3240398321703428,-0.5645312519475085,0.0018368852408512382,0.0,0.17036762075839618,-0.08754940378393117,129.4719496813264,-0.5921633410552045,0.34805944543942924,-0.5921633410552045,0.6805312317571512,0.6665137695663934,18,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926989,0.6614998557148256,2023-01-25,2023-03-20,1.0,1.0000000000000002,0
BH_A25_F60_M120_W35_X150S40D15,-0.25,60,120,0.35,150,40,-0.15,0.22606466626970856,-0.5804007047324975,0.38949757370453253,257.520728294698,2011,-0.4617222601150085,-0.504938298803906,0.3014463919593944,-0.1681952713631828,0.9032933212481495,-0.14723087963306436,-0.3031865040337266,-0.5243310463848844,113.4563917270058,-0.5804007047324975,0.33727808895221667,-0.5804007047324975,0.5089025102159953,0.49320650954598694,46,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.77595224592699,0.6614998557148256,2023-01-25,2023-03-20,1.0,1.0,0
BH_A30_F60_M120_W35_X100S40D20,-0.3,60,120,0.35,100,40,-0.2,0.24834233758513613,-0.6043621842747016,0.4109164074902753,420.5445198808854,1987,-0.3623139010645635,-0.46313233551725164,-0.310044728360917,-0.5643134086518344,0.0018368852408514602,0.0,0.13486963660481655,-0.08754940378393106,125.51465359749191,-0.6043621842747016,0.3455161012895316,-0.6043621842747016,0.6809690601284296,0.6665483649909973,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926988,0.6614998557148255,2023-01-25,2023-03-20,1.0,1.0000000000000002,0
BH_A30_F60_M120_W35_X150S40D15,-0.3,60,120,0.35,150,40,-0.15,0.19121773257447772,-0.5804007047324975,0.3294581330024549,117.42161922310949,2886,-0.4617222601150085,-0.504938298803906,0.3014463919593944,-0.1681952713631828,0.0018368852408510161,0.0,0.17164072341704872,-0.08754940378393128,51.18863326465762,-0.5804007047324975,0.27441246050718915,-0.5804007047324975,0.44366608289550497,0.4280649360987131,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926988,0.6614998557148255,2023-01-25,2023-03-20,1.0,1.0,0
BH_A20_F60_M120_W35_X150S40D20,-0.2,60,120,0.35,150,40,-0.2,0.3099953334101553,-0.6992207245312605,0.44334402933775763,1563.2946176063442,1087,-0.4617222601150085,-0.504938298803906,-0.4657762988258961,-0.650855293985988,0.6475388370201061,-0.6992207245312605,-0.3502245789005146,-0.549960507345778,729.726208553464,-0.6992207245312605,0.4982554011362743,-0.6992207245312605,0.810128429655575,0.787625267556628,52,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926987,0.6614998557148254,2023-01-25,2023-03-20,1.0,1.0,0
BH_A20_F60_M120_W35_X150S40D15,-0.2,60,120,0.35,150,40,-0.15,0.238615790414626,-0.6992207245312605,0.3412596080795343,339.8494145337937,2022,-0.4617222601150085,-0.504938298803906,0.24244102159093162,-0.1681952713631828,0.6475388370201063,-0.6992207245312605,-0.33965780778231935,-0.5256928942638308,157.22127737836558,-0.6992207245312605,0.36409269135623057,-0.6992207245312605,0.5621716287215411,0.5393810343500526,54,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926987,0.6614998557148254,2023-01-25,2023-03-20,1.0,1.0000000000000002,0
BH_A25_F60_M120_W35_X120S40D20,-0.25,60,120,0.35,120,40,-0.2,0.2870364290328884,-0.5810372490267552,0.4940069324534323,965.8122312367914,874,-0.2921473661737971,-0.4114654862334465,-0.3240398321703428,-0.5645312519475085,0.9032933212481489,-0.14723087963306436,-0.35009691648041474,-0.5499605073457781,266.16864222209307,-0.5810372490267552,0.40862012545825643,-0.5810372490267552,0.7463514302393461,0.7322391141753719,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.7759522459269865,0.6614998557148253,2023-01-25,2023-03-20,1.0,1.0000000000000002,0
BH_A25_F60_M120_W35_X100S40D20,-0.25,60,120,0.35,100,40,-0.2,0.27993287612404116,-0.5810372490267552,0.4817812912905881,830.663907902103,1043,-0.3848911415207479,-0.4821401049737477,-0.3100447283609177,-0.5643134086518344,0.9032933212481495,-0.14723087963306414,-0.36980888471240503,-0.5499605073457781,258.0652496984801,-0.5810372490267552,0.40596252325263227,-0.5810372490267552,0.7494162288382954,0.7332125454604551,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.7759522459269865,0.6614998557148253,2023-01-25,2023-03-20,1.0,1.0,0
BH_A30_F60_M120_W35_X150S20D20,-0.3,60,120,0.35,150,20,-0.2,0.24029521749494154,-0.592163341055205,0.40579211990182923,352.6258507069313,1973,-0.4432060277232417,-0.48790865624508717,-0.34755201634177624,-0.5735891931729445,0.00183688524085035,0.0,0.17036762075839507,-0.08754940378393139,129.4719496813263,-0.592163341055205,0.34805944543942924,-0.592163341055205,0.6768826619964974,0.6614921871408861,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.7759522459269865,0.6614998557148253,2023-01-25,2023-03-20,1.0,1.0000000000000002,0
BH_A25_F60_M120_W35_X150S20D20,-0.25,60,120,0.35,150,20,-0.2,0.2733662603553628,-0.5810372490267554,0.4704797511919498,722.0752811304485,1080,-0.4432060277232417,-0.48790865624508717,-0.34755201634177624,-0.5735891931729445,0.9032933212481484,-0.14723087963306447,-0.35009691648041497,-0.549960507345778,266.1686422220933,-0.5810372490267554,0.40862012545825666,-0.5810372490267554,0.7427028604786924,0.7272175317498646,46,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926985,0.6614998557148252,2023-01-25,2023-03-20,1.0,1.0000000000000002,0
