strategy,arm_dd,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,score
BH_A30_F40_M120_W35_X150S40D20,-0.3,40,120,0.35,150,40,-0.2,0.30345069449526085,-0.6992207245312605,0.43398412525413393,1363.9460055684958,1963,-0.5808941319427907,-0.6529488090703873,-0.328268318785112,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.36539392747641397,-0.5499605073457781,712.667021315608,-0.6992207245312605,0.4960869573354678,-0.6992207245312605,0.7972854640980735,0.785663509431674,68,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.303396049153324,0.6153667301204374,2023-02-03,2023-03-20,1.0,1.0,0,1.2432379963412243
BH_A25_F40_M100_W35_X150S40D20,-0.25,40,100,0.35,150,40,-0.2,0.30373225823032723,-0.6992207245312605,0.43438680744759317,1371.9935786973588,1962,-0.5999618314726627,-0.6498244686533226,-0.27720767331043894,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3784676564145959,-0.5961479649994259,697.9645317039077,-0.6992207245312605,0.49417868181573255,-0.6992207245312605,0.7975773496789259,0.7846824041803111,73,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.335272404968971,0.618478647679396,2023-02-03,2023-02-16,1.0,1.0000000000000002,0,1.2426237428828781
BH_A25_F40_M120_W35_X150S40D20,-0.25,40,120,0.35,150,40,-0.2,0.302246628794101,-0.6992207245312605,0.4322621143655594,1330.0418121859434,1963,-0.5808941319427907,-0.6529488090703873,-0.328268318785112,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3811686039788126,-0.5499605073457781,694.9270927534437,-0.6992207245312605,0.4937797524252756,-0.6992207245312605,0.7975773496789259,0.7857656872660933,72,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.3033960491533225,0.6153667301204373,2023-02-03,2023-03-20,1.0,1.0,0,1.2361649918724562
BH_A25_F80_M120_W35_X100S40D20,-0.25,80,120,0.35,100,40,-0.2,0.2976300019493747,-0.5960664019195403,0.4993235669564717,1207.4145311792215,753,-0.26135072458041686,-0.41360878676346124,-0.29419244315489235,-0.5643134086518345,1.1938242172670086,-0.14723087963306436,-0.35307256451363367,-0.549960507345778,305.54099160916746,-0.5960664019195403,0.42054329060032325,-0.5960664019195403,0.7450379451255108,0.7331719801676374,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.303396049153328,0.6153667301204377,2023-02-03,2023-03-20,1.0,1.0,0,1.2187148693528547
BH_A25_F80_M120_W35_X120S40D20,-0.25,80,120,0.35,120,40,-0.2,0.2951003669285077,-0.5960664019195394,0.49507968571652883,1144.9186016585536,996,-0.2850818522762304,-0.4271403992714783,-0.30850909589103004,-0.5645312519475086,1.1938242172670068,-0.14723087963306425,-0.35307256451363467,-0.549960507345778,305.5409916091676,-0.5960664019195394,0.42054329060032325,-0.5960664019195394,0.7441622883829538,0.7328058250908517,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.303396049153324,0.6153667301204374,2023-02-03,2023-03-20,1.0,1.0,0,1.2077212768336825
BH_A25_F40_M120_W35_X100S40D20,-0.25,40,120,0.35,100,40,-0.2,0.29392104433067123,-0.5810372490267554,0.5058557688392485,1116.85915354541,788,-0.23230734516720608,-0.41722307200514697,-0.33582839476507376,-0.5659271587109369,1.2978150597001208,-0.14723087963306436,-0.4158273447837788,-0.5734009415736587,288.926196182367,-0.5810372490267554,0.4156980285747547,-0.5810372490267554,0.7546701692936368,0.7364579582626556,47,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.303396049153322,0.6153667301204372,2023-02-03,2023-03-20,1.0,1.0,0,1.2060182759438127
BH_A20_F60_M100_W35_X150S40D20,-0.2,60,100,0.35,150,40,-0.2,0.2880080515526422,-0.6992207245312605,0.4118986200612337,985.8689979514511,1913,-0.6273478508141199,-0.6572665126933177,-0.4785199683932492,-0.6796338635606788,0.6475388370201061,-0.6992207245312605,-0.3475609215286376,-0.5760657473839842,732.7217115981063,-0.6992207245312605,0.4986312562487858,-0.6992207245312605,0.810128429655575,0.796012984584398,56,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742636,0.6646117732737841,2023-01-25,2023-02-16,1.0,1.0000000000000002,0,1.1979640531173976
BH_A20_F40_M120_W35_X150S40D20,-0.2,40,120,0.35,150,40,-0.2,0.29221365183270853,-0.6992207245312605,0.4179133163259728,1077.406237536834,1963,-0.5808941319427907,-0.6529488090703873,-0.44837910393038205,-0.6394852658799473,0.6475388370201061,-0.6992207245312605,-0.38956187040197343,-0.5542202652096612,685.4881703940885,-0.6992207245312605,0.4925295535279526,-0.6992207245312605,0.8126094570928196,0.7934483357143279,81,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.303396049153326,0.6153667301204376,2023-02-03,2023-03-20,1.0,1.0000000000000002,0,1.1966735769194834
BH_A25_F80_M150_W35_X100S40D20,-0.25,80,150,0.35,100,40,-0.2,0.29320133044237395,-0.5975215764474813,0.4906958041341034,1100.061860404415,979,-0.2077813498915857,-0.405224410374032,-0.373801914302925,-0.5643134086518344,1.1938242172670073,-0.14723087963306436,-0.38058165824817447,-0.5975215764474813,292.50604455159504,-0.5975215764474813,0.4167636363585554,-0.5975215764474813,0.7450379451255108,0.7310623134501687,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.992836014942409,0.5850484205507679,2023-02-03,2023-02-07,1.0,1.0,0,1.1951369771150504
BH_A20_F40_M100_W35_X150S40D20,-0.2,40,100,0.35,150,40,-0.2,0.28938320639795934,-0.6992207245312605,0.41386531640914154,1014.942773089282,1962,-0.5999618314726627,-0.6498244686533226,-0.4579570547928803,-0.6670012395198535,0.6475388370201063,-0.6992207245312605,-0.3868975560348554,-0.6016254468257993,688.4844122842236,-0.6992207245312605,0.49292814903981497,-0.6992207245312605,0.8126094570928196,0.7958064782558874,82,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.335272404968974,0.6184786476793962,2023-02-03,2023-02-16,1.0,1.0,0,1.1874320051350966
