campaign_full_date,age_td,policy,budget_pct,initial_total_tqqq_target,post_add_total_tqqq_target_if_triggered,CAGR,MDD,Return,cash_CAGR,CAGR_increment_vs_cash,outperformed_cash,tactical_CAGR,tactical_MDD,max_tactical_tqqq_weight,max_total_tqqq_weight_approx,trade_events
1988-04-08,505,L25_50_PB5_N3_K2,0.4,0.1,0.2,0.0819261332384087,0.0,0.03621274590561008,0.07865165271718277,0.00327448052122592,True,0.08684805885590463,0.0,0.2500312539067383,0.10000500025001251,2
1988-04-08,505,HOLD100,0.1,0.1,,-0.014706755136328575,-0.08114781124184056,-0.006670834687489191,0.07865165271718277,-0.09335840785351135,False,-0.652740072193982,-0.6398368749356363,1.0,0.1380667745393163,2
1988-04-08,505,HOLD100,0.2,0.2,,-0.1034528898079694,-0.16337692231175838,-0.04813647777569763,0.07865165271718277,-0.18210454252515218,False,-0.652740072193982,-0.6398368749356363,1.0,0.2649280423483897,2
1988-04-08,505,HOLD100,0.3,0.3,,-0.18762857729353133,-0.23919257277555006,-0.0896021208639064,0.07865165271718277,-0.2662802300107141,False,-0.652740072193982,-0.6398368749356363,1.0,0.38189476389580035,2
1988-04-08,505,HOLD100,0.4,0.4,,-0.26727710278580596,-0.30931692694304136,-0.13106776395211495,0.07865165271718277,-0.34592875550298874,False,-0.652740072193982,-0.6398368749356363,1.0,0.49008107842881604,2
2002-12-12,505,I25_N3_K2,0.1,0.025,,0.037800806920631036,-0.004891516373059512,0.12449372028060468,0.04049017522020404,-0.002689368299573003,False,0.012888054192322196,-0.09009190118783728,0.2557563352446992,0.025749668549558374,2
2002-12-12,505,I25_N3_K2,0.2,0.05,,0.035096284086618024,-0.012051462846775385,0.11525290559464407,0.04049017522020404,-0.005393891133586015,False,0.012888054192322196,-0.09009190118783728,0.2557563352446992,0.05146042889800607,2
2002-12-12,505,I25_N3_K2,0.3,0.075,,0.03237639468501885,-0.021795016257527666,0.10601209090868302,0.04049017522020404,-0.008113780535185189,False,0.012888054192322196,-0.09009190118783728,0.2557563352446992,0.07713236916522989,2
2002-12-12,505,I25_N3_K2,0.4,0.1,,0.02964092191448886,-0.0315249818111919,0.09677127622272241,0.04049017522020404,-0.010849253305715179,False,0.012888054192322196,-0.09009190118783728,0.2557563352446992,0.10276557720521697,2
2002-12-12,505,I50_N3_K2,0.1,0.05,,0.035096284086618024,-0.012051462846775163,0.1152529055946443,0.04049017522020404,-0.005393891133586015,False,-0.016443927616694776,-0.18653932250351746,0.5076999965314704,0.051460428898006075,2
2002-12-12,505,I50_N3_K2,0.2,0.1,,0.029640921914489082,-0.0315249818111919,0.09677127622272308,0.04049017522020404,-0.010849253305714956,False,-0.016443927616694776,-0.18653932250351746,0.5076999965314704,0.10276557720521697,2
2002-12-12,505,I50_N3_K2,0.3,0.15,,0.024122334323779082,-0.05110610761135026,0.07828964685080186,0.04049017522020404,-0.016367840896424957,False,-0.016443927616694776,-0.18653932250351746,0.5076999965314704,0.1539161466959402,2
2002-12-12,505,I50_N3_K2,0.4,0.2,,0.018538685749108996,-0.07062832559424126,0.05980801747888065,0.04049017522020404,-0.021951489471095043,False,-0.016443927616694776,-0.18653932250351746,0.5076999965314704,0.2049128349220505,2
2002-12-12,505,L25_50_PB5_N3_K2,0.1,0.025,0.05,0.03628585936430939,-0.009871611255618862,0.11931102418002104,0.04049017522020404,-0.004204315855894647,False,-0.0033325591308848157,-0.14774154529290795,0.5187509698779672,0.05136010520301976,3
2002-12-12,505,L25_50_PB5_N3_K2,0.2,0.05,0.1,0.032044333631590316,-0.023484297681784283,0.1048875133934768,0.04049017522020404,-0.008445841588613723,False,-0.0033325591308848157,-0.14774154529290795,0.5187509698779672,0.10283364201369127,3
2002-12-12,505,L25_50_PB5_N3_K2,0.3,0.075,0.15,0.027764776424761273,-0.03909853438131472,0.09046400260693233,0.04049017522020404,-0.012725398795442766,False,-0.0033325591308848157,-0.14774154529290795,0.5187509698779672,0.15442098662732337,3
