fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,DotCom_MDD,ActualEra_CAGR,Cycle22_Capture,TradeCount
60,100,0.8,100,30,-0.22,0.19688869235747508,-0.7641855513563217,-0.7641855513563217,0.3103033850323076,0.15536498993029454,23.0
60,100,0.8,100,30,-0.2,0.1810445128695013,-0.7786650888373028,-0.7786650888373028,0.288071500978762,0.10080285435728877,23.0
60,100,0.8,100,30,-0.18,0.20309103899047498,-0.7614406872575927,-0.7614406872575927,0.3044805768971359,0.10080285435728864,23.0
60,100,0.8,100,40,-0.22,0.2584568707946353,-0.701483549974986,-0.701483549974986,0.4043425913956471,0.7112420250105257,22.0
60,100,0.8,100,40,-0.2,0.25386586592215865,-0.7198131313542758,-0.7198131313542758,0.401231100667498,0.7112420250105257,22.0
60,100,0.8,100,40,-0.18,0.21559981861255006,-0.6980088388567045,-0.6980088388567045,0.3114316894537412,0.1187695457145356,23.0
60,100,0.8,100,50,-0.22,0.2572719037144535,-0.701483549974986,-0.701483549974986,0.4043425913956469,0.7112420250105255,22.0
60,100,0.8,100,50,-0.2,0.258965497652232,-0.7198131313542758,-0.7198131313542758,0.401231100667498,0.7112420250105255,22.0
60,100,0.8,100,50,-0.18,0.21046449967511927,-0.6980088388567045,-0.6980088388567045,0.29842857712551774,0.1187695457145356,23.0
60,100,0.8,110,30,-0.22,0.20683943202496624,-0.7045349157999148,-0.7045349157999148,0.31030338503230737,0.15536498993029424,23.0
60,100,0.8,110,30,-0.2,0.1936373875805617,-0.7045349157999148,-0.7045349157999148,0.288071500978762,0.1008028543572889,23.0
60,100,0.8,110,30,-0.18,0.2077909054283129,-0.7045349157999148,-0.7045349157999148,0.30448057689713615,0.10080285435728881,23.0
60,100,0.8,110,40,-0.22,0.26420867583783125,-0.6628777646998594,-0.6620062656832699,0.4043425913956469,0.7112420250105255,20.0
60,100,0.8,110,40,-0.2,0.26253064782075297,-0.6620062656832699,-0.6620062656832699,0.40123110066749823,0.7112420250105258,20.0
60,100,0.8,110,40,-0.18,0.2134380019259352,-0.6620062656832699,-0.6620062656832699,0.3114316894537412,0.11876954571453552,21.0
60,100,0.8,110,50,-0.22,0.2548847648107264,-0.7165424144913768,-0.7165424144913768,0.4043425913956469,0.7112420250105255,22.0
60,100,0.8,110,50,-0.2,0.2595020652855653,-0.7165424144913768,-0.7165424144913768,0.401231100667498,0.7112420250105258,22.0
60,100,0.8,110,50,-0.18,0.2615356226255581,-0.7165424144913768,-0.7165424144913768,0.4050112614207946,0.7112420250105254,22.0
60,100,0.8,120,30,-0.22,0.27022308157669994,-0.662877764699859,-0.6153640684856079,0.4043425913956469,0.7112420250105258,21.0
60,100,0.8,120,30,-0.2,0.2712217525151279,-0.6153640684856079,-0.6153640684856079,0.40795485717353697,0.7112420250105257,21.0
60,100,0.8,120,30,-0.18,0.22707930372607987,-0.6153640684856079,-0.6153640684856079,0.31772454674900796,0.11876954571453552,22.0
60,100,0.8,120,40,-0.22,0.27306827759914754,-0.6628777646998592,-0.6397536975961999,0.4043425913956469,0.7112420250105255,21.0
60,100,0.8,120,40,-0.2,0.2758954838683749,-0.58465485242643,-0.5749311486557515,0.40795485717353697,0.7112420250105257,21.0
60,100,0.8,120,40,-0.18,0.21898772091191399,-0.5981683965341935,-0.5749311486557515,0.30465903945890127,0.1187695457145356,22.0
60,100,0.8,120,50,-0.22,0.2718695523708241,-0.6628777646998585,-0.6397536975961999,0.4043425913956471,0.711242025010526,21.0
60,100,0.8,120,50,-0.2,0.27467786490751256,-0.657761216022188,-0.657761216022188,0.40795485717353674,0.7112420250105257,21.0
60,100,0.8,120,50,-0.18,0.28317853348003097,-0.5981683965341934,-0.559973950472531,0.4117531568908106,0.7112420250105254,21.0
60,100,1.0,100,30,-0.22,0.18913242996788804,-0.79926268601677,-0.79926268601677,0.3076598115533289,0.16183082265395374,18.0
60,100,1.0,100,30,-0.2,0.17250034991538055,-0.8154447243760308,-0.8154447243760308,0.28547278094345363,0.10587420442726322,18.0
60,100,1.0,100,30,-0.18,0.19742174243785016,-0.7941396790329567,-0.7941396790329567,0.3018487510953254,0.1058742044272637,18.0
60,100,1.0,100,40,-0.22,0.2503016248154657,-0.7458875369915259,-0.7458875369915259,0.40150929120546075,0.7319147958398966,17.0
60,100,1.0,100,40,-0.2,0.2447948832756035,-0.7663723065760829,-0.7663723065760829,0.39840407799629185,0.7319147958398969,17.0
60,100,1.0,100,40,-0.18,0.2098715772428743,-0.7394023454900835,-0.7394023454900835,0.30878583958924866,0.12430008307948445,18.0
60,100,1.0,100,50,-0.22,0.24912433674140666,-0.7458875369915259,-0.7458875369915259,0.40150929120546075,0.7319147958398967,17.0
60,100,1.0,100,50,-0.2,0.24985762216714869,-0.7663723065760829,-0.7663723065760829,0.39840407799629185,0.7319147958398969,17.0
60,100,1.0,100,50,-0.18,0.20476045734359172,-0.7394023454900835,-0.7394023454900835,0.29580896140136814,0.1243000830794847,18.0
