date,qqq,tqqq,equity,weight,state,dd252
2007-02-09,37.62841033935547,0.51982,2.7333272093614847,1.0,BULL,-0.03156029343617217
2007-02-12,37.48262405395508,0.513535,2.700279305258455,1.0,BULL,-0.03531238464015585
2007-02-13,37.61125564575195,0.518582,2.7268175346948897,1.0,BULL,-0.03200180255892682
2007-02-14,38.24582290649414,0.544588,2.863562768442446,1.0,BULL,-0.01566999033922667
2007-02-15,38.46879196166992,0.553858,2.912306455162428,1.0,BULL,-0.009931451707914762
2007-02-16,38.34015274047852,0.548042,2.8817246555978744,1.0,BULL,-0.013242230146325196
2007-02-20,38.6317138671875,0.560288,2.946116800967119,1.0,BULL,-0.005738342274130281
2007-02-21,38.75176239013672,0.565248,2.9721975653825567,1.0,BULL,-0.0026486620221648494
2007-02-22,38.94902420043945,0.573615,3.016193080677712,1.0,BULL,0.0
2007-02-23,38.811790466308594,0.567282,2.982892782080339,1.0,BULL,-0.0035234190572946966
2007-02-26,38.62312698364258,0.558743,2.937992853180455,1.0,BULL,-0.00836727552196792
2007-02-27,37.03670120239258,0.489633,2.574597363512931,1.0,BULL,-0.049098097765060245
2007-02-28,37.156768798828125,0.494166,2.5984328685724436,1.0,BULL,-0.04601541215482119
2007-03-01,36.98527145385742,0.487094,2.561246746405916,1.0,BULL,-0.05041853517243888
2007-03-02,36.4278564453125,0.464845,2.444256640059327,1.0,BULL,-0.064729933724463
2007-03-05,36.14487075805664,0.453796,2.38615858239276,1.0,BULL,-0.07199547356955793
2007-03-06,36.74513244628906,0.476194,2.5039321633155383,1.0,BULL,-0.05658400433368305
2007-03-07,36.59935760498047,0.470306,2.4729717720094695,1.0,BULL,-0.06032671276607937
2007-03-08,36.848052978515625,0.479676,2.522241280592666,1.0,BULL,-0.05394156246666948
2007-03-09,36.813743591308594,0.478115,2.514033201307888,1.0,BULL,-0.05482244171618467
2007-03-12,37.053855895996094,0.487249,2.5620617702938984,1.0,BULL,-0.04865765814030265
2007-03-13,36.333534240722656,0.458608,2.4114611304506406,1.0,BULL,-0.06715161710488471
2007-03-14,36.86520004272461,0.47853,2.5162153620402283,1.0,BULL,-0.05350131872344399
2007-03-15,36.77943420410156,0.474971,2.4975013619284248,1.0,BULL,-0.055703320965699854
2007-03-16,36.75115585327149,0.473658,2.490597320864419,1.0,BULL,-0.05642935586414932
2007-03-19,37.128684997558594,0.488038,2.5662105047946606,1.0,BULL,-0.04673645207420418
2007-03-20,37.39469909667969,0.498304,2.6201913772722585,1.0,BULL,-0.03990665069709831
2007-03-21,38.11546325683594,0.526889,2.7704975568721166,1.0,BULL,-0.021401330603658897
2007-03-22,37.978172302246094,0.520953,2.7392847710717048,1.0,BULL,-0.02492621877244372
2007-03-23,37.85805130004883,0.51577,2.7120314239012986,1.0,BULL,-0.02801027555340696
2007-03-26,38.01251220703125,0.521845,2.743975102091578,1.0,BULL,-0.024044555996800443
2007-03-27,37.74648666381836,0.510649,2.6851040862860853,1.0,BULL,-0.030874651196204472
2007-03-28,37.34318542480469,0.494047,2.5978071405552186,1.0,BULL,-0.041229242801329224
2007-03-29,37.38609313964844,0.495523,2.605568271256264,1.0,BULL,-0.04012760506522217
2007-03-30,37.35177612304688,0.493932,2.5972024454125213,1.0,BULL,-0.04100868019626924
2007-04-02,37.40325546264648,0.495747,2.6067461122298643,1.0,BULL,-0.039686969558932805
2007-04-03,37.892372131347656,0.514968,2.7078143325583186,1.0,BULL,-0.027129102481593725
2007-04-04,38.04681015014648,0.521029,2.739684395687748,1.0,BULL,-0.023163970569583525
2007-04-05,38.23559188842773,0.528546,2.77921042514558,1.0,BULL,-0.018317077941163884
2007-04-09,38.14120101928711,0.52439,2.7573572685103866,1.0,BULL,-0.020740524255373538
2007-04-10,38.33856964111328,0.532291,2.798902453922962,1.0,BULL,-0.015673166962659968
2007-04-11,37.93526840209961,0.515249,2.709291891993951,1.0,BULL,-0.02602775856778472
2007-04-12,38.23559188842773,0.527251,2.7724010320169525,1.0,BULL,-0.018317077941163884
2007-04-13,38.31282806396485,0.530206,2.78793906807494,1.0,BULL,-0.016334071251711157
2007-04-16,38.66464614868164,0.544571,2.8634733787257,1.0,BULL,-0.007301288224689451
2007-04-17,38.75042724609375,0.547947,2.8812251248278202,1.0,BULL,-0.0050988942193694875
2007-04-18,38.62172317504883,0.542239,2.8512112128755382,1.0,BULL,-0.008403317723860493
2007-04-19,38.74185562133789,0.547052,2.8765190191520507,1.0,BULL,-0.005318967120599316
2007-04-20,38.95639419555664,0.555893,2.9230069300788424,1.0,BULL,0.0
2007-04-23,39.01643753051758,0.558211,2.9351954808681544,1.0,BULL,0.0
2007-04-24,39.21380233764648,0.566429,2.9784075215871195,1.0,BULL,0.0
