strategy,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
BH_A25_F60_M100_W50_X100S30D22,60,100,0.5,100,30,-0.22,0.20722943138228778,-0.7071251315877212,0.2930590670946622,168.9213548429452,1220,-0.6514424536145305,-0.7071251315877212,-0.2504213365903676,-0.5643134086518344,0.9089453559149452,-0.14723087963306436,-0.45594687895654606,-0.6464915102980131,84.57552851182679,-0.6464915102980131,0.3136463440530781,-0.6464915102980131,0.7193520140105079,0.7111632973635655,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.491856511200983,0.1456419453811639,2023-01-25,2023-02-16,0.0,1.0,1
BH_A25_F60_M100_W50_X100S40D18,60,100,0.5,100,40,-0.18,0.2230230953418968,-0.629251021204038,0.35442627477211575,240.67526610684695,1098,-0.5103061517387737,-0.629251021204038,-0.25042133659036925,-0.5643134086518344,0.9089453559149447,-0.14723087963306436,-0.2943769343601995,-0.5415084766818412,85.78533338849024,-0.5804007047324975,0.31477752710207785,-0.5804007047324975,0.7059252772913018,0.6979715715415219,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.131404589676507,0.11045295858983907,2023-01-25,2023-02-16,0.0,1.0,1
BH_A25_F60_M100_W50_X100S40D20,60,100,0.5,100,40,-0.2,0.2659503147650628,-0.6417897427869388,0.41438854041229656,615.8738454649556,1175,-0.5745477212741925,-0.6417897427869388,-0.2504213365903688,-0.5643134086518344,0.9089453559149452,-0.14723087963306447,-0.3800512739945099,-0.5971769495549545,254.61152466648,-0.5971769495549545,0.40480604231969086,-0.5971769495549545,0.7494162288382954,0.741311681928257,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.9670447407707545,0.6801551905193647,2023-01-25,2023-02-16,1.0,1.0,0
BH_A25_F60_M100_W50_X100S40D22,60,100,0.5,100,40,-0.22,0.2693295393710571,-0.6464915102980138,0.4166018193292345,662.2536957733624,1098,-0.5587625695758704,-0.6292510212040379,-0.25042133659036825,-0.5643134086518345,0.908945355914945,-0.14723087963306436,-0.45594687895654695,-0.6464915102980138,264.0278830387001,-0.6464915102980138,0.407925471351378,-0.6464915102980138,0.7545242265032107,0.7463355098562684,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.967044740770752,0.6801551905193645,2023-01-25,2023-02-16,1.0,1.0000000000000002,0
BH_A25_F60_M100_W50_X100S50D18,60,100,0.5,100,50,-0.18,0.21785641666503297,-0.629251021204038,0.346215436008632,214.46424356070594,1098,-0.5103061517387737,-0.629251021204038,-0.21418068772234322,-0.5643134086518344,0.9089453559149445,-0.14723087963306447,-0.4002217382514516,-0.6102830784976279,72.767368074654,-0.6102830784976279,0.30174124011205294,-0.6102830784976279,0.7075306479859895,0.6995769422362096,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.131404589676506,0.11045295858983899,2023-01-25,2023-02-16,0.0,1.0000000000000002,1
BH_A25_F60_M100_W50_X100S50D20,60,100,0.5,100,50,-0.2,0.2710990954834247,-0.6417897427869388,0.4224110754811862,687.8650020477978,1175,-0.5745477212741925,-0.6417897427869388,-0.1628010628508012,-0.5643134086518344,0.9089453559149456,-0.14723087963306447,-0.38005127399450933,-0.5971769495549542,254.61152466648036,-0.5971769495549542,0.40480604231969086,-0.5971769495549542,0.75,0.7418954530899616,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.9670447407707545,0.6801551905193647,2023-01-25,2023-02-16,1.0,1.0000000000000002,0
BH_A25_F60_M100_W50_X100S50D22,60,100,0.5,100,50,-0.22,0.26813433455080204,-0.6464915102980135,0.4147530636979285,645.4775708255808,1098,-0.5587625695758704,-0.6292510212040379,-0.26940956632137314,-0.5730360211176697,0.9089453559149461,-0.14723087963306436,-0.4559468789565466,-0.6464915102980135,264.0278830387004,-0.6464915102980135,0.40792547135137824,-0.6464915102980135,0.7570052539404554,0.748816537293513,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.967044740770751,0.6801551905193643,2023-01-25,2023-02-16,1.0,1.0,0
BH_A25_F60_M100_W50_X110S30D18,60,100,0.5,110,30,-0.18,0.21881794391408693,-0.6273979248948713,0.3487705891771203,219.12417521186163,1140,-0.5574543198601033,-0.6273979248948713,-0.1764569006085882,-0.5236193833854152,0.908945355914945,-0.14723087963306447,-0.2943769343601992,-0.5415084766818411,78.57975464406891,-0.5567780366106212,0.3078086802675255,-0.5567780366106212,0.7040280210157618,0.6957581466195214,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.9544391623688089,0.09317677357821641,2023-01-25,2023-02-16,0.0,1.0,1
BH_A25_F60_M100_W50_X110S30D20,60,100,0.5,110,30,-0.2,0.20453520553212368,-0.6273979248948713,0.3260055499329173,158.9484615455599,1140,-0.5574543198601033,-0.6273979248948713,-0.26562584569257064,-0.5645312519475085,0.9089453559149452,-0.14723087963306436,-0.38005127399450933,-0.5971769495549542,63.73476546003931,-0.5971769495549542,0.2913577400992453,-0.5971769495549542,0.7068009340338587,0.6985310596376184,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.954439162368811,0.09317677357821663,2023-01-25,2023-02-16,0.0,1.0,1
BH_A25_F60_M100_W50_X110S30D22,60,100,0.5,110,30,-0.22,0.21785778363142216,-0.6464915102980133,0.3369847556559501,214.47080014286018,1140,-0.5574543198601033,-0.6273979248948713,-0.25042133659037,-0.5643134086518344,0.9089453559149441,-0.14723087963306436,-0.4559468789565465,-0.6464915102980133,84.57552851182676,-0.6464915102980133,0.3136463440530781,-0.6464915102980133,0.7122008172796264,0.703930942883386,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.4918565112009836,0.14564194538116393,2023-01-25,2023-02-16,0.0,1.0000000000000002,1
