strategy,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,blend
BH_A25_F70_M110_W80_X120S50D20,70,110,0.8,120,50,-0.2,0.3027519047172458,-0.6057861178106141,0.4997669900581885,1344.1693753402621,1035,-0.2405325042806714,-0.536358589477516,-0.1682325193094364,-0.5643134086518344,0.789182372154764,-0.14723087963306436,-0.27119081860988725,-0.5499605073457781,280.6434191295747,-0.6057861178106141,0.41318437324497803,-0.6057861178106141,0.747081144191477,0.7439359041930294,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.902557741164824,0.6738596708069218,2023-01-27,2023-01-27,1.0,1.0,0,1.1760623906399232
BH_A25_F70_M110_W65_X100S40D20,70,110,0.65,100,40,-0.2,0.2970318688306415,-0.6070790609108915,0.4892803721231303,1192.3472813636527,893,-0.1986491583973089,-0.42672386801322726,-0.22268610667239364,-0.5722338927256799,0.7833142099521329,-0.14723087963306436,-0.342218968286655,-0.5725947153292281,252.361357914751,-0.6070790609108915,0.4040446557011299,-0.6070790609108915,0.7443082311733801,0.7392171741668102,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.970887790899462,0.6805303668803216,2023-01-27,2023-02-28,1.0,1.0,0,1.1751415730015577
BH_A25_F70_M110_W80_X110S50D20,70,110,0.8,110,50,-0.2,0.30105892579029336,-0.6057861178106145,0.4969723091020265,1297.3945279841737,890,-0.2204832366800653,-0.45491635433091504,-0.11081291762236911,-0.5643134086518344,0.7891823721547635,-0.14723087963306436,-0.3589019958440888,-0.5834348183400774,246.74802307404968,-0.6057861178106145,0.4021172508602451,-0.6057861178106145,0.7447460595446584,0.7418869774102509,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.902557741164817,0.6738596708069211,2023-01-27,2023-01-27,1.0,1.0,0,1.1748378434901825
BH_A25_F80_M120_W35_X100S40D20,80,120,0.35,100,40,-0.2,0.2976300019493747,-0.5960664019195403,0.4993235669564717,1207.4145311792215,753,-0.26135072458041686,-0.41360878676346124,-0.29419244315489235,-0.5643134086518345,1.1938242172670086,-0.14723087963306436,-0.35307256451363367,-0.549960507345778,305.54099160916746,-0.5960664019195403,0.42054329060032325,-0.5960664019195403,0.7450379451255108,0.7331719801676374,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.303396049153328,0.6153667301204377,2023-02-03,2023-03-20,1.0,1.0,0,1.1746903439315366
BH_A25_F60_M110_W35_X110S50D22,60,110,0.35,110,50,-0.22,0.28837548431843874,-0.614233022998194,0.4694887339511972,993.5578074792849,1038,-0.35560943167019765,-0.4574878454909548,-0.2922633096574314,-0.5730360211176696,0.9032933212481475,-0.14723087963306447,-0.40630074256417137,-0.614233022998194,287.3560011054969,-0.614233022998194,0.41522672917642334,-0.614233022998194,0.7571511967308815,0.7441093520384432,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.34761249340388,0.7173079779534631,2023-01-25,2023-02-28,1.0,1.0,0,1.174096946439485
BH_A25_F70_M120_W80_X110S50D18,70,120,0.8,110,50,-0.18,0.30080212060672773,-0.591770427437857,0.5083088080441728,1290.4377325325374,874,-0.2303906112020423,-0.46184416919976834,-0.12322350120278502,-0.5643134086518344,0.789182372154764,-0.14723087963306436,-0.393541981621617,-0.591770427437857,252.1247056070873,-0.591770427437857,0.4039642113677855,-0.591770427437857,0.7438704028021016,0.7399885795586106,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.7269667968392115,0.6567176691928989,2023-01-27,2023-01-27,1.0,1.0,0,1.173619780107977
BH_A25_F70_M120_W65_X120S40D20,70,120,0.65,120,40,-0.2,0.2999435703554023,-0.6070790609108911,0.4940766197821949,1267.439717795652,893,-0.163793955275375,-0.4365003743564886,-0.25752470421926166,-0.5809107321144649,0.783314209952134,-0.14723087963306436,-0.29849671481935514,-0.5499605073457781,269.2021133873041,-0.6070790609108911,0.4095955605456232,-0.6070790609108911,0.7434325744308231,0.736859505469111,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.663273745523427,0.6504996583914275,2023-01-27,2023-03-20,1.0,1.0,0,1.1736127925381972
BH_A25_F70_M100_W100_X120S30D20,70,100,1.0,120,30,-0.2,0.29988685656314984,-0.6040665013334161,0.4964467585955846,1265.9345066268247,890,-0.2623999532734683,-0.49938969989009185,-0.1955105364718498,-0.5923870700017801,0.7969870376596462,-0.14723087963306436,-0.2724705549580879,-0.5499605073457781,281.37528458766815,-0.6040665013334161,0.4134092554387847,-0.6040665013334161,0.7429947460595446,0.7429947460595446,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.811678661191241,0.6649876339170282,2023-01-27,2023-01-27,1.0,1.0000000000000002,0,1.1733448176190233
BH_A25_F70_M110_W100_X120S30D20,70,110,1.0,120,30,-0.2,0.29988685656314984,-0.6040665013334161,0.4964467585955846,1265.9345066268247,890,-0.2623999532734683,-0.49938969989009185,-0.1955105364718498,-0.5923870700017801,0.7969870376596462,-0.14723087963306436,-0.2724705549580879,-0.5499605073457781,281.37528458766815,-0.6040665013334161,0.4134092554387847,-0.6040665013334161,0.7429947460595446,0.7429947460595446,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.811678661191241,0.6649876339170282,2023-01-27,2023-01-27,1.0,1.0000000000000002,0,1.1733448176190233
BH_A25_F70_M120_W100_X120S30D20,70,120,1.0,120,30,-0.2,0.29988685656314984,-0.6040665013334161,0.4964467585955846,1265.9345066268247,890,-0.2623999532734683,-0.49938969989009185,-0.1955105364718498,-0.5923870700017801,0.7969870376596462,-0.14723087963306436,-0.2724705549580879,-0.5499605073457781,281.37528458766815,-0.6040665013334161,0.4134092554387847,-0.6040665013334161,0.7429947460595446,0.7429947460595446,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.811678661191241,0.6649876339170282,2023-01-27,2023-01-27,1.0,1.0000000000000002,0,1.1733448176190233
